QSPRID	pchembl_value_Mean_Label	pchembl_value_Mean_Prediction	Fold
A2A_LIGANDS_3376	8.7	9.36	0.0
A2A_LIGANDS_1490	6.45	5.844	0.0
A2A_LIGANDS_845	8.36	8.614	0.0
A2A_LIGANDS_2298	4.73	4.888	0.0
A2A_LIGANDS_2651	5.9	6.577	0.0
A2A_LIGANDS_2935	7.85	7.764	0.0
A2A_LIGANDS_3665	7.42	7.176	0.0
A2A_LIGANDS_783	6.08	5.568	0.0
A2A_LIGANDS_1795	6.79	6.636	0.0
A2A_LIGANDS_3780	6.8	6.771	0.0
A2A_LIGANDS_2574	8.07	8.202	0.0
A2A_LIGANDS_57	5.2	5.074	0.0
A2A_LIGANDS_1253	8.175	7.657	0.0
A2A_LIGANDS_2107	5.33	5.524	0.0
A2A_LIGANDS_1376	8.51	8.34	0.0
A2A_LIGANDS_553	6.26	6.24	0.0
A2A_LIGANDS_1818	5.8	6.24	0.0
A2A_LIGANDS_4059	7.05	6.832	0.0
A2A_LIGANDS_672	6.2	5.89	0.0
A2A_LIGANDS_3874	6.96	7.106	0.0
A2A_LIGANDS_1190	6.27	7.694	0.0
A2A_LIGANDS_3199	5.36	6.018	0.0
A2A_LIGANDS_1965	7.88	7.914	0.0
A2A_LIGANDS_788	6.93	6.768	0.0
A2A_LIGANDS_2423	6.55	6.82	0.0
A2A_LIGANDS_3117	7.16	7.534	0.0
A2A_LIGANDS_2468	5.99	7.338	0.0
A2A_LIGANDS_497	6.58	6.512	0.0
A2A_LIGANDS_3384	4.33	6.049	0.0
A2A_LIGANDS_3769	5.8	5.838	0.0
A2A_LIGANDS_3850	6.14	7.01	0.0
A2A_LIGANDS_2752	6.4	6.18	0.0
A2A_LIGANDS_2474	5.36	5.786	0.0
A2A_LIGANDS_2024	7.04	6.486	0.0
A2A_LIGANDS_1518	6.07	5.696	0.0
A2A_LIGANDS_3790	6.52	5.61	0.0
A2A_LIGANDS_2522	7.77	7.977	0.0
A2A_LIGANDS_3408	7.17	6.99	0.0
A2A_LIGANDS_2981	5.88	6.476	0.0
A2A_LIGANDS_1665	7.6	7.3	0.0
A2A_LIGANDS_1847	5.54	6.23	0.0
A2A_LIGANDS_1956	7.72	7.53	0.0
A2A_LIGANDS_3734	6.32	5.73	0.0
A2A_LIGANDS_3578	6.94	6.568	0.0
A2A_LIGANDS_3365	5.79	5.678	0.0
A2A_LIGANDS_1230	6.8	6.654	0.0
A2A_LIGANDS_970	7.08	7.002	0.0
A2A_LIGANDS_2696	5.85	6.846	0.0
A2A_LIGANDS_1713	5.72	7.534	0.0
A2A_LIGANDS_142	4.79	4.982	0.0
A2A_LIGANDS_3206	7.72	7.715	0.0
A2A_LIGANDS_2284	5.527	6.572	0.0
A2A_LIGANDS_3935	7.12	6.778	0.0
A2A_LIGANDS_1567	8.615	7.95	0.0
A2A_LIGANDS_2013	7.37	7.565	0.0
A2A_LIGANDS_4078	8.22	8.481	0.0
A2A_LIGANDS_792	6.5	6.782	0.0
A2A_LIGANDS_1980	5.57	5.296	0.0
A2A_LIGANDS_2653	6.24	6.042	0.0
A2A_LIGANDS_277	6.03	8.03	0.0
A2A_LIGANDS_674	8.04	8.509	0.0
A2A_LIGANDS_1985	8.15	7.682	0.0
A2A_LIGANDS_1547	8.05	7.73	0.0
A2A_LIGANDS_3125	6.3	6.864	0.0
A2A_LIGANDS_556	6.32	6.766	0.0
A2A_LIGANDS_1591	6.15	7.648	0.0
A2A_LIGANDS_3836	6.74	6.958	0.0
A2A_LIGANDS_3368	8.07	6.262	0.0
A2A_LIGANDS_974	5.853	6.531	0.0
A2A_LIGANDS_2437	7.0	7.04	0.0
A2A_LIGANDS_3668	7.05	6.802	0.0
A2A_LIGANDS_3360	4.97	7.224	0.0
A2A_LIGANDS_2548	5.37	5.508	0.0
A2A_LIGANDS_1771	6.8	7.884	0.0
A2A_LIGANDS_545	5.51	6.962	0.0
A2A_LIGANDS_15	6.05	6.236	0.0
A2A_LIGANDS_363	7.52	7.498	0.0
A2A_LIGANDS_1121	7.43	7.796	0.0
A2A_LIGANDS_726	5.66	5.74	0.0
A2A_LIGANDS_1817	5.71	6.266	0.0
A2A_LIGANDS_3813	5.49	5.669	0.0
A2A_LIGANDS_2743	6.58	6.314	0.0
A2A_LIGANDS_2718	7.78	6.672	0.0
A2A_LIGANDS_3332	6.2	7.118	0.0
A2A_LIGANDS_692	5.56	5.686	0.0
A2A_LIGANDS_1386	6.01	7.113	0.0
A2A_LIGANDS_2040	6.19	6.45	0.0
A2A_LIGANDS_2089	6.97	7.538	0.0
A2A_LIGANDS_904	6.06	7.044	0.0
A2A_LIGANDS_3246	7.01	7.266	0.0
A2A_LIGANDS_3335	6.83	5.95	0.0
A2A_LIGANDS_81	8.55	7.976	0.0
A2A_LIGANDS_3827	8.09	8.0	0.0
A2A_LIGANDS_2001	6.94	6.474	0.0
A2A_LIGANDS_1201	6.22	5.274	0.0
A2A_LIGANDS_2912	7.3	8.466	0.0
A2A_LIGANDS_3580	5.72	6.462	0.0
A2A_LIGANDS_951	6.09	6.771	0.0
A2A_LIGANDS_1086	5.06	5.377	0.0
A2A_LIGANDS_147	7.51	6.822	0.0
A2A_LIGANDS_1002	5.15	4.86	0.0
A2A_LIGANDS_3606	8.28	7.166	0.0
A2A_LIGANDS_1332	8.64	7.68	0.0
A2A_LIGANDS_1934	9.22	8.154	0.0
A2A_LIGANDS_2787	7.25	7.424	0.0
A2A_LIGANDS_4039	8.18	7.21	0.0
A2A_LIGANDS_2597	7.07	7.298	0.0
A2A_LIGANDS_922	9.3	6.868	0.0
A2A_LIGANDS_1692	7.1	7.994	0.0
A2A_LIGANDS_2601	5.44	6.124	0.0
A2A_LIGANDS_1772	5.77	5.664	0.0
A2A_LIGANDS_131	9.22	8.452	0.0
A2A_LIGANDS_3106	9.92	8.338	0.0
A2A_LIGANDS_375	5.81	6.466	0.0
A2A_LIGANDS_1604	8.51	8.225	0.0
A2A_LIGANDS_901	7.92	6.976	0.0
A2A_LIGANDS_1828	6.75	7.03	0.0
A2A_LIGANDS_531	6.5	6.354	0.0
A2A_LIGANDS_117	7.04	6.84	0.0
A2A_LIGANDS_74	6.92	7.19	0.0
A2A_LIGANDS_3310	8.52	7.176	0.0
A2A_LIGANDS_3326	6.31	6.422	0.0
A2A_LIGANDS_2859	5.12	5.588	0.0
A2A_LIGANDS_3605	5.34	5.357	0.0
A2A_LIGANDS_1646	8.41	8.217	0.0
A2A_LIGANDS_882	5.77	5.664	0.0
A2A_LIGANDS_3576	8.82	8.398	0.0
A2A_LIGANDS_1968	8.77	7.772	0.0
A2A_LIGANDS_3725	7.97	7.328	0.0
A2A_LIGANDS_3540	6.91	6.098	0.0
A2A_LIGANDS_1489	7.35	7.192	0.0
A2A_LIGANDS_3585	7.6	7.126	0.0
A2A_LIGANDS_666	6.67	6.772	0.0
A2A_LIGANDS_3560	7.25	6.846	0.0
A2A_LIGANDS_1875	5.69	6.212	0.0
A2A_LIGANDS_3031	7.0	6.516	0.0
A2A_LIGANDS_248	10.0	8.832	0.0
A2A_LIGANDS_2145	8.14	8.481	0.0
A2A_LIGANDS_2724	8.89	7.682	0.0
A2A_LIGANDS_1893	6.72	7.054	0.0
A2A_LIGANDS_384	7.1	7.65	0.0
A2A_LIGANDS_3352	5.84	6.398	0.0
A2A_LIGANDS_373	6.0	5.832	0.0
A2A_LIGANDS_3900	7.91	7.47	0.0
A2A_LIGANDS_3525	5.96	6.372	0.0
A2A_LIGANDS_1617	7.45	6.808	0.0
A2A_LIGANDS_389	8.52	7.176	0.0
A2A_LIGANDS_539	9.3	8.87	0.0
A2A_LIGANDS_1145	6.91	7.542	0.0
A2A_LIGANDS_2220	8.09	7.729	0.0
A2A_LIGANDS_1205	9.19	8.234	0.0
A2A_LIGANDS_3236	8.443	8.204	0.0
A2A_LIGANDS_1540	6.58	7.586	0.0
A2A_LIGANDS_1542	8.82	8.484	0.0
A2A_LIGANDS_2782	8.39	8.558	0.0
A2A_LIGANDS_1821	5.15	5.448	0.0
A2A_LIGANDS_2786	6.14	6.513	0.0
A2A_LIGANDS_2504	6.44	6.172	0.0
A2A_LIGANDS_1649	6.71	7.126	0.0
A2A_LIGANDS_3267	6.55	6.855	0.0
A2A_LIGANDS_114	6.8	6.739	0.0
A2A_LIGANDS_3553	9.3	9.142	0.0
A2A_LIGANDS_2082	10.0	8.838	0.0
A2A_LIGANDS_3805	6.2	6.534	0.0
A2A_LIGANDS_2809	5.96	5.704	0.0
A2A_LIGANDS_2070	7.81	7.598	0.0
A2A_LIGANDS_550	7.1	6.266	0.0
A2A_LIGANDS_1008	5.48	6.862	0.0
A2A_LIGANDS_1092	7.8	7.438	0.0
A2A_LIGANDS_153	6.74	6.392	0.0
A2A_LIGANDS_2837	7.29	7.71	0.0
A2A_LIGANDS_1470	7.64	7.838	0.0
A2A_LIGANDS_1141	7.64	7.37	0.0
A2A_LIGANDS_740	8.74	7.856	0.0
A2A_LIGANDS_1115	4.44	6.15	0.0
A2A_LIGANDS_1906	7.455	6.731	0.0
A2A_LIGANDS_684	4.98	5.118	0.0
A2A_LIGANDS_35	8.742	8.742	0.0
A2A_LIGANDS_3983	5.92	5.614	0.0
A2A_LIGANDS_245	8.37	8.274	0.0
A2A_LIGANDS_1409	7.23	7.156	0.0
A2A_LIGANDS_1816	8.43	7.8	0.0
A2A_LIGANDS_4050	7.24	7.022	0.0
A2A_LIGANDS_2975	7.05	8.22	0.0
A2A_LIGANDS_980	5.663	6.461	0.0
A2A_LIGANDS_3911	6.917	6.562	0.0
A2A_LIGANDS_3583	5.44	5.786	0.0
A2A_LIGANDS_3120	6.49	5.65	0.0
A2A_LIGANDS_2085	7.26	6.956	0.0
A2A_LIGANDS_3446	8.33	7.522	0.0
A2A_LIGANDS_160	6.6	6.25	0.0
A2A_LIGANDS_103	8.74	8.464	0.0
A2A_LIGANDS_586	4.83	7.482	0.0
A2A_LIGANDS_1154	6.42	6.374	0.0
A2A_LIGANDS_2863	6.08	7.108	0.0
A2A_LIGANDS_2056	6.82	6.744	0.0
A2A_LIGANDS_452	8.05	7.303	0.0
A2A_LIGANDS_2598	6.87	7.523	0.0
A2A_LIGANDS_3002	6.24	6.89	0.0
A2A_LIGANDS_1794	6.87	7.257	0.0
A2A_LIGANDS_197	6.82	6.486	0.0
A2A_LIGANDS_766	7.978	7.86	0.0
A2A_LIGANDS_3474	7.5	7.006	0.0
A2A_LIGANDS_698	6.3	7.657	0.0
A2A_LIGANDS_1136	9.045	8.792	0.0
A2A_LIGANDS_683	6.51	6.798	0.0
A2A_LIGANDS_1306	4.6	5.376	0.0
A2A_LIGANDS_1408	6.95	6.917	0.0
A2A_LIGANDS_2237	7.55	6.822	0.0
A2A_LIGANDS_1051	6.71	6.514	0.0
A2A_LIGANDS_3927	8.46	7.994	0.0
A2A_LIGANDS_1923	7.27	7.202	0.0
A2A_LIGANDS_95	7.31	7.088	0.0
A2A_LIGANDS_1484	6.96	6.652	0.0
A2A_LIGANDS_3916	7.7	6.72	0.0
A2A_LIGANDS_3840	7.52	7.046	0.0
A2A_LIGANDS_3645	5.57	6.752	0.0
A2A_LIGANDS_3104	6.19	6.738	0.0
A2A_LIGANDS_3065	5.99	6.886	0.0
A2A_LIGANDS_2278	6.6	7.496	0.0
A2A_LIGANDS_3884	6.41	6.587	0.0
A2A_LIGANDS_2235	7.06	7.242	0.0
A2A_LIGANDS_1275	7.6	8.37	0.0
A2A_LIGANDS_815	7.89	7.94	0.0
A2A_LIGANDS_2449	5.42	6.51	0.0
A2A_LIGANDS_2945	5.24	5.426	0.0
A2A_LIGANDS_975	8.19	6.882	0.0
A2A_LIGANDS_3380	5.71	5.722	0.0
A2A_LIGANDS_466	9.11	8.99	0.0
A2A_LIGANDS_3772	5.5	6.304	0.0
A2A_LIGANDS_3330	8.02	7.055	1.0
A2A_LIGANDS_274	5.99	6.048	1.0
A2A_LIGANDS_1171	6.21	5.668	1.0
A2A_LIGANDS_2765	6.1	6.09	1.0
A2A_LIGANDS_442	8.66	9.067	1.0
A2A_LIGANDS_2748	7.26	7.494	1.0
A2A_LIGANDS_1891	8.3	8.548	1.0
A2A_LIGANDS_1621	8.72	8.576	1.0
A2A_LIGANDS_2494	6.89	6.752	1.0
A2A_LIGANDS_985	5.85	6.05	1.0
A2A_LIGANDS_650	5.98	6.504	1.0
A2A_LIGANDS_1488	5.92	6.24	1.0
A2A_LIGANDS_416	7.17	6.652	1.0
A2A_LIGANDS_449	7.06	6.766	1.0
A2A_LIGANDS_4058	5.19	6.15	1.0
A2A_LIGANDS_3950	7.64	7.168	1.0
A2A_LIGANDS_2607	7.4	7.068	1.0
A2A_LIGANDS_1222	7.22	6.678	1.0
A2A_LIGANDS_3516	8.62	6.928	1.0
A2A_LIGANDS_3036	6.03	5.534	1.0
A2A_LIGANDS_2481	6.75	6.534	1.0
A2A_LIGANDS_259	6.7	5.798	1.0
A2A_LIGANDS_485	5.15	6.096	1.0
A2A_LIGANDS_3692	7.3	7.78	1.0
A2A_LIGANDS_1918	4.65	5.006	1.0
A2A_LIGANDS_781	7.54	7.564	1.0
A2A_LIGANDS_343	7.6	6.679	1.0
A2A_LIGANDS_1189	8.92	9.008	1.0
A2A_LIGANDS_2872	5.08	5.544	1.0
A2A_LIGANDS_3719	5.78	7.184	1.0
A2A_LIGANDS_1255	7.04	7.26	1.0
A2A_LIGANDS_874	5.61	6.158	1.0
A2A_LIGANDS_905	9.52	8.944	1.0
A2A_LIGANDS_1945	5.08	5.236	1.0
A2A_LIGANDS_3432	6.98	7.12	1.0
A2A_LIGANDS_1070	6.26	6.872	1.0
A2A_LIGANDS_1211	6.4	6.668	1.0
A2A_LIGANDS_2147	7.0	6.802	1.0
A2A_LIGANDS_1078	5.05	5.956	1.0
A2A_LIGANDS_2359	7.1	7.65	1.0
A2A_LIGANDS_3281	6.83	6.569	1.0
A2A_LIGANDS_2407	8.22	8.914	1.0
A2A_LIGANDS_3404	5.08	5.908	1.0
A2A_LIGANDS_1037	8.12	7.512	1.0
A2A_LIGANDS_208	7.06	7.2	1.0
A2A_LIGANDS_361	7.3	7.256	1.0
A2A_LIGANDS_2969	6.38	7.004	1.0
A2A_LIGANDS_1151	7.05	6.206	1.0
A2A_LIGANDS_3740	7.62	8.434	1.0
A2A_LIGANDS_4020	5.21	5.678	1.0
A2A_LIGANDS_2683	5.81	6.498	1.0
A2A_LIGANDS_350	10.57	8.624	1.0
A2A_LIGANDS_2011	7.77	7.684	1.0
A2A_LIGANDS_1725	8.11	7.433	1.0
A2A_LIGANDS_3797	6.07	6.734	1.0
A2A_LIGANDS_2503	6.29	6.192	1.0
A2A_LIGANDS_2428	5.76	6.634	1.0
A2A_LIGANDS_1284	6.37	5.79	1.0
A2A_LIGANDS_498	8.12	9.038	1.0
A2A_LIGANDS_1866	7.44	6.886	1.0
A2A_LIGANDS_2083	8.46	8.182	1.0
A2A_LIGANDS_855	7.31	6.742	1.0
A2A_LIGANDS_78	6.38	7.02	1.0
A2A_LIGANDS_944	5.49	6.418	1.0
A2A_LIGANDS_3833	7.11	6.502	1.0
A2A_LIGANDS_2250	6.79	6.726	1.0
A2A_LIGANDS_3873	8.435	7.826	1.0
A2A_LIGANDS_2346	6.56	7.53	1.0
A2A_LIGANDS_104	6.25	6.4	1.0
A2A_LIGANDS_1283	9.52	9.032	1.0
A2A_LIGANDS_1352	5.98	7.158	1.0
A2A_LIGANDS_982	7.99	7.856	1.0
A2A_LIGANDS_2880	8.68	8.226	1.0
A2A_LIGANDS_2196	6.68	6.73	1.0
A2A_LIGANDS_1747	6.18	6.958	1.0
A2A_LIGANDS_3933	5.675	6.877	1.0
A2A_LIGANDS_2409	6.16	6.861	1.0
A2A_LIGANDS_3244	7.0	7.038	1.0
A2A_LIGANDS_3903	6.17	6.778	1.0
A2A_LIGANDS_1691	6.38	6.826	1.0
A2A_LIGANDS_243	8.27	8.126	1.0
A2A_LIGANDS_3143	7.68	7.788	1.0
A2A_LIGANDS_3131	8.28	7.888	1.0
A2A_LIGANDS_340	8.5	7.866	1.0
A2A_LIGANDS_3033	8.7	8.318	1.0
A2A_LIGANDS_2887	7.3	7.27	1.0
A2A_LIGANDS_3730	7.35	7.232	1.0
A2A_LIGANDS_3619	6.34	6.044	1.0
A2A_LIGANDS_1271	6.34	7.082	1.0
A2A_LIGANDS_3295	6.61	6.852	1.0
A2A_LIGANDS_3306	8.85	7.795	1.0
A2A_LIGANDS_1326	6.0	5.624	1.0
A2A_LIGANDS_2682	7.96	7.396	1.0
A2A_LIGANDS_2622	8.74	7.734	1.0
A2A_LIGANDS_2383	6.31	6.766	1.0
A2A_LIGANDS_2170	5.57	5.732	1.0
A2A_LIGANDS_560	8.46	8.132	1.0
A2A_LIGANDS_3914	6.17	6.05	1.0
A2A_LIGANDS_998	6.4	6.806	1.0
A2A_LIGANDS_1100	8.77	8.938	1.0
A2A_LIGANDS_530	6.94	6.534	1.0
A2A_LIGANDS_1072	8.66	8.464	1.0
A2A_LIGANDS_3162	6.61	7.164	1.0
A2A_LIGANDS_1849	6.8	6.588	1.0
A2A_LIGANDS_1609	8.96	8.982	1.0
A2A_LIGANDS_3664	6.82	6.956	1.0
A2A_LIGANDS_3707	6.85	6.628	1.0
A2A_LIGANDS_1357	6.41	6.806	1.0
A2A_LIGANDS_2997	6.01	5.908	1.0
A2A_LIGANDS_3182	5.51	5.973	1.0
A2A_LIGANDS_3996	6.42	6.588	1.0
A2A_LIGANDS_2302	6.31	6.64	1.0
A2A_LIGANDS_3926	8.7	9.198	1.0
A2A_LIGANDS_782	6.76	6.812	1.0
A2A_LIGANDS_2510	6.46	5.852	1.0
A2A_LIGANDS_1177	5.88	6.566	1.0
A2A_LIGANDS_3536	8.6	8.014	1.0
A2A_LIGANDS_941	5.31	6.57	1.0
A2A_LIGANDS_2256	7.0	5.682	1.0
A2A_LIGANDS_866	6.63	6.846	1.0
A2A_LIGANDS_3759	7.53	7.03	1.0
A2A_LIGANDS_304	8.17	7.908	1.0
A2A_LIGANDS_2755	6.73	7.16	1.0
A2A_LIGANDS_1477	5.08	5.942	1.0
A2A_LIGANDS_2318	7.35	7.762	1.0
A2A_LIGANDS_2333	6.87	7.399	1.0
A2A_LIGANDS_1677	6.85	6.512	1.0
A2A_LIGANDS_3180	5.39	7.494	1.0
A2A_LIGANDS_113	8.27	6.972	1.0
A2A_LIGANDS_1216	6.98	6.77	1.0
A2A_LIGANDS_3328	4.61	4.956	1.0
A2A_LIGANDS_2857	5.8	6.025	1.0
A2A_LIGANDS_3156	6.03	7.002	1.0
A2A_LIGANDS_3544	8.99	9.198	1.0
A2A_LIGANDS_619	7.62	7.766	1.0
A2A_LIGANDS_3340	8.39	7.854	1.0
A2A_LIGANDS_2046	7.0	6.464	1.0
A2A_LIGANDS_3539	6.96	6.486	1.0
A2A_LIGANDS_2998	6.62	5.81	1.0
A2A_LIGANDS_2575	8.44	8.25	1.0
A2A_LIGANDS_3944	7.84	7.722	1.0
A2A_LIGANDS_1535	8.18	6.56	1.0
A2A_LIGANDS_1712	5.23	5.386	1.0
A2A_LIGANDS_1927	7.79	6.537	1.0
A2A_LIGANDS_749	8.55	7.865	1.0
A2A_LIGANDS_13	8.24	8.078	1.0
A2A_LIGANDS_3057	5.77	7.648	1.0
A2A_LIGANDS_3712	6.91	8.206	1.0
A2A_LIGANDS_2864	6.95	6.98	1.0
A2A_LIGANDS_1328	7.59	8.092	1.0
A2A_LIGANDS_2163	5.92	6.452	1.0
A2A_LIGANDS_1949	4.92	4.612	1.0
A2A_LIGANDS_2334	5.455	5.558	1.0
A2A_LIGANDS_591	8.07	8.042	1.0
A2A_LIGANDS_273	8.21	7.524	1.0
A2A_LIGANDS_3992	6.52	5.93	1.0
A2A_LIGANDS_2754	5.21	6.656	1.0
A2A_LIGANDS_4036	5.6	7.094	1.0
A2A_LIGANDS_1709	6.57	6.65	1.0
A2A_LIGANDS_1410	5.33	5.968	1.0
A2A_LIGANDS_20	6.31	6.402	1.0
A2A_LIGANDS_2293	6.0	6.432	1.0
A2A_LIGANDS_947	5.78	6.784	1.0
A2A_LIGANDS_686	9.14	8.642	1.0
A2A_LIGANDS_3482	8.03	8.214	1.0
A2A_LIGANDS_483	5.77	5.562	1.0
A2A_LIGANDS_2309	6.34	6.746	1.0
A2A_LIGANDS_2064	6.65	6.316	1.0
A2A_LIGANDS_3611	4.72	5.336	1.0
A2A_LIGANDS_4004	6.94	7.178	1.0
A2A_LIGANDS_1711	6.81	6.974	1.0
A2A_LIGANDS_2030	5.84	6.376	1.0
A2A_LIGANDS_1911	8.11	9.204	1.0
A2A_LIGANDS_2759	5.38	5.82	1.0
A2A_LIGANDS_3338	8.7	8.302	1.0
A2A_LIGANDS_1868	5.55	5.084	1.0
A2A_LIGANDS_3114	8.43	8.164	1.0
A2A_LIGANDS_3168	6.62	7.01	1.0
A2A_LIGANDS_4045	8.46	8.114	1.0
A2A_LIGANDS_3463	8.85	9.001	1.0
A2A_LIGANDS_4016	7.75	6.73	1.0
A2A_LIGANDS_1194	6.36	7.491	1.0
A2A_LIGANDS_628	7.05	7.084	1.0
A2A_LIGANDS_3667	6.1	6.7	1.0
A2A_LIGANDS_3651	8.85	8.024	1.0
A2A_LIGANDS_215	5.5	5.994	1.0
A2A_LIGANDS_3095	8.32	8.353	1.0
A2A_LIGANDS_2248	5.09	5.494	1.0
A2A_LIGANDS_757	6.44	8.219	1.0
A2A_LIGANDS_2654	9.4	9.108	1.0
A2A_LIGANDS_1333	6.55	8.414	1.0
A2A_LIGANDS_3230	5.92	5.806	1.0
A2A_LIGANDS_1599	4.39	6.282	1.0
A2A_LIGANDS_2662	7.47	7.668	1.0
A2A_LIGANDS_3732	7.96	8.234	1.0
A2A_LIGANDS_774	7.52	7.26	1.0
A2A_LIGANDS_943	6.82	7.418	1.0
A2A_LIGANDS_2661	5.62	5.821	1.0
A2A_LIGANDS_3137	7.02	6.746	1.0
A2A_LIGANDS_54	7.57	6.618	1.0
A2A_LIGANDS_3794	8.6	8.422	1.0
A2A_LIGANDS_848	6.82	6.506	1.0
A2A_LIGANDS_2687	8.02	7.542	1.0
A2A_LIGANDS_3395	7.83	7.366	1.0
A2A_LIGANDS_3103	9.35	9.055	1.0
A2A_LIGANDS_355	6.4	6.44	1.0
A2A_LIGANDS_2784	7.73	6.922	1.0
A2A_LIGANDS_3263	6.62	6.592	1.0
A2A_LIGANDS_129	7.94	7.187	1.0
A2A_LIGANDS_3949	6.2	6.268	1.0
A2A_LIGANDS_1202	6.7	6.99	1.0
A2A_LIGANDS_820	7.13	6.77	1.0
A2A_LIGANDS_3964	6.67	6.804	1.0
