QSPRID	pchembl_value_Median_class_Label	pchembl_value_Median_class_Prediction	pchembl_value_Median_class_ProbabilityClass_0	pchembl_value_Median_class_ProbabilityClass_1
A2A_LIGANDS_3579	False	1	0.14	0.86
A2A_LIGANDS_0315	False	0	0.82	0.18
A2A_LIGANDS_4081	True	1	0.06	0.94
A2A_LIGANDS_1047	True	0	0.66	0.34
A2A_LIGANDS_3642	True	1	0.21	0.79
A2A_LIGANDS_3869	True	0	0.5	0.5
A2A_LIGANDS_1104	True	1	0.22	0.78
A2A_LIGANDS_1566	True	1	0.26	0.74
A2A_LIGANDS_2823	False	1	0.43	0.57
A2A_LIGANDS_0869	True	1	0.22	0.78
A2A_LIGANDS_2550	True	1	0.0	1.0
A2A_LIGANDS_1289	True	1	0.38	0.62
A2A_LIGANDS_3937	True	1	0.26	0.74
A2A_LIGANDS_0414	False	1	0.43	0.57
A2A_LIGANDS_4026	True	1	0.06	0.94
A2A_LIGANDS_3590	False	0	0.98	0.02
A2A_LIGANDS_0999	True	1	0.05	0.95
A2A_LIGANDS_0978	False	1	0.2	0.8
A2A_LIGANDS_2592	True	0	0.63	0.37
A2A_LIGANDS_3362	False	0	0.76	0.24
A2A_LIGANDS_0070	True	1	0.38	0.62
A2A_LIGANDS_2281	True	1	0.01	0.99
A2A_LIGANDS_3703	True	1	0.07	0.93
A2A_LIGANDS_0211	True	1	0.02	0.98
A2A_LIGANDS_2096	False	1	0.4	0.6
A2A_LIGANDS_3942	False	1	0.09	0.91
A2A_LIGANDS_3486	True	1	0.05	0.95
A2A_LIGANDS_1730	False	1	0.08	0.92
A2A_LIGANDS_1292	True	1	0.0	1.0
A2A_LIGANDS_0014	True	1	0.01	0.99
A2A_LIGANDS_3959	True	1	0.05	0.95
A2A_LIGANDS_2010	False	0	0.95	0.05
A2A_LIGANDS_1113	True	1	0.19	0.81
A2A_LIGANDS_4013	True	1	0.04	0.96
A2A_LIGANDS_0270	True	1	0.14	0.86
A2A_LIGANDS_0538	False	0	0.77	0.23
A2A_LIGANDS_3456	True	1	0.04	0.96
A2A_LIGANDS_0008	True	1	0.0	1.0
A2A_LIGANDS_1552	True	1	0.05	0.95
A2A_LIGANDS_1803	False	0	0.97	0.03
A2A_LIGANDS_3737	True	1	0.04	0.96
A2A_LIGANDS_3138	False	0	0.89	0.11
A2A_LIGANDS_0818	True	0	0.52	0.48
A2A_LIGANDS_2211	True	1	0.41	0.59
A2A_LIGANDS_2159	True	1	0.43	0.57
A2A_LIGANDS_2986	False	0	0.51	0.49
A2A_LIGANDS_3577	False	0	1.0	0.0
A2A_LIGANDS_2119	True	1	0.03	0.97
A2A_LIGANDS_0251	True	1	0.07	0.93
A2A_LIGANDS_1146	False	0	0.92	0.08
A2A_LIGANDS_1842	False	0	0.71	0.29
A2A_LIGANDS_0296	True	1	0.01	0.99
A2A_LIGANDS_0755	True	0	0.57	0.43
A2A_LIGANDS_0544	False	0	0.73	0.27
A2A_LIGANDS_1729	True	1	0.23	0.77
A2A_LIGANDS_4069	True	1	0.0	1.0
A2A_LIGANDS_2666	False	0	0.97	0.03
A2A_LIGANDS_1999	True	1	0.09	0.91
A2A_LIGANDS_1094	False	0	0.96	0.04
A2A_LIGANDS_3620	False	0	0.7	0.3
A2A_LIGANDS_2436	True	1	0.01	0.99
A2A_LIGANDS_0032	True	1	0.0	1.0
A2A_LIGANDS_2378	True	1	0.06	0.94
A2A_LIGANDS_3188	False	0	0.71	0.29
A2A_LIGANDS_2507	False	0	0.99	0.01
A2A_LIGANDS_3307	False	0	0.84	0.16
A2A_LIGANDS_2603	False	0	1.0	0.0
A2A_LIGANDS_2514	True	1	0.23	0.77
A2A_LIGANDS_3655	False	0	0.52	0.48
A2A_LIGANDS_1770	False	1	0.23	0.77
A2A_LIGANDS_1175	False	0	0.99	0.01
A2A_LIGANDS_0910	True	1	0.05	0.95
A2A_LIGANDS_1814	True	1	0.03	0.97
A2A_LIGANDS_0568	True	1	0.28	0.72
A2A_LIGANDS_3122	True	1	0.05	0.95
A2A_LIGANDS_1429	True	0	0.5	0.5
A2A_LIGANDS_3617	True	1	0.04	0.96
A2A_LIGANDS_0438	True	1	0.22	0.78
A2A_LIGANDS_0889	False	0	0.78	0.22
A2A_LIGANDS_3717	True	1	0.37	0.63
A2A_LIGANDS_1417	True	1	0.31	0.69
A2A_LIGANDS_2168	True	1	0.07	0.93
A2A_LIGANDS_2957	False	1	0.24	0.76
A2A_LIGANDS_2414	True	1	0.2	0.8
A2A_LIGANDS_1502	True	1	0.03	0.97
A2A_LIGANDS_0471	True	1	0.0	1.0
A2A_LIGANDS_3551	True	1	0.0	1.0
A2A_LIGANDS_3371	True	1	0.09	0.91
A2A_LIGANDS_0811	True	1	0.04	0.96
A2A_LIGANDS_3271	True	0	0.85	0.15
A2A_LIGANDS_1590	False	1	0.04	0.96
A2A_LIGANDS_0465	False	1	0.4	0.6
A2A_LIGANDS_3492	False	0	0.98	0.02
A2A_LIGANDS_4079	False	0	0.92	0.08
A2A_LIGANDS_1378	True	1	0.16	0.84
A2A_LIGANDS_0318	True	1	0.01	0.99
A2A_LIGANDS_0718	False	0	0.96	0.04
A2A_LIGANDS_3498	False	1	0.04	0.96
A2A_LIGANDS_0043	True	1	0.01	0.99
A2A_LIGANDS_2980	False	0	0.63	0.37
A2A_LIGANDS_1178	True	1	0.02	0.98
A2A_LIGANDS_3161	True	1	0.03	0.97
A2A_LIGANDS_2379	False	0	0.68	0.32
A2A_LIGANDS_3212	True	1	0.37	0.63
A2A_LIGANDS_0402	True	1	0.01	0.99
A2A_LIGANDS_1405	True	1	0.05	0.95
A2A_LIGANDS_2415	True	1	0.0	1.0
A2A_LIGANDS_1859	True	1	0.26	0.74
A2A_LIGANDS_4007	True	1	0.0	1.0
A2A_LIGANDS_2634	True	1	0.18	0.82
A2A_LIGANDS_1023	True	1	0.03	0.97
A2A_LIGANDS_2222	True	1	0.03	0.97
A2A_LIGANDS_1826	False	0	0.72	0.28
A2A_LIGANDS_3631	False	0	0.87	0.13
A2A_LIGANDS_1860	False	0	0.98	0.02
A2A_LIGANDS_1580	True	1	0.04	0.96
A2A_LIGANDS_2384	False	1	0.44	0.56
A2A_LIGANDS_0017	True	1	0.24	0.76
A2A_LIGANDS_2218	True	1	0.02	0.98
A2A_LIGANDS_0596	True	1	0.04	0.96
A2A_LIGANDS_2462	False	1	0.02	0.98
A2A_LIGANDS_3169	True	1	0.03	0.97
A2A_LIGANDS_1536	True	1	0.0	1.0
A2A_LIGANDS_0746	True	0	0.62	0.38
A2A_LIGANDS_1896	False	0	0.98	0.02
A2A_LIGANDS_1074	False	0	1.0	0.0
A2A_LIGANDS_3749	True	1	0.23	0.77
A2A_LIGANDS_0680	True	1	0.03	0.97
A2A_LIGANDS_2763	False	1	0.09	0.91
A2A_LIGANDS_2166	False	0	0.97	0.03
A2A_LIGANDS_0457	False	1	0.25	0.75
A2A_LIGANDS_2700	False	0	0.84	0.16
A2A_LIGANDS_2476	True	1	0.17	0.83
A2A_LIGANDS_3594	False	0	0.92	0.08
A2A_LIGANDS_3601	True	1	0.26	0.74
A2A_LIGANDS_1995	True	1	0.31	0.69
A2A_LIGANDS_0463	True	0	0.72	0.28
A2A_LIGANDS_3010	True	1	0.0	1.0
A2A_LIGANDS_1424	True	1	0.08	0.92
A2A_LIGANDS_2927	True	1	0.17	0.83
A2A_LIGANDS_2208	True	1	0.04	0.96
A2A_LIGANDS_1164	True	1	0.18	0.82
A2A_LIGANDS_1128	False	0	0.76	0.24
A2A_LIGANDS_2425	True	1	0.42	0.58
A2A_LIGANDS_0655	False	1	0.05	0.95
A2A_LIGANDS_1726	False	0	0.95	0.05
A2A_LIGANDS_1159	True	1	0.15	0.85
A2A_LIGANDS_0205	True	1	0.08	0.92
A2A_LIGANDS_1756	False	0	0.81	0.19
A2A_LIGANDS_2004	True	1	0.07	0.93
A2A_LIGANDS_3209	False	0	0.98	0.02
A2A_LIGANDS_2260	True	1	0.02	0.98
A2A_LIGANDS_2953	True	1	0.02	0.98
A2A_LIGANDS_3192	False	0	0.99	0.01
A2A_LIGANDS_1550	True	1	0.33	0.67
A2A_LIGANDS_0490	False	1	0.06	0.94
A2A_LIGANDS_3729	True	1	0.23	0.77
A2A_LIGANDS_3609	True	1	0.12	0.88
A2A_LIGANDS_1588	True	1	0.09	0.91
A2A_LIGANDS_1702	False	0	0.53	0.47
A2A_LIGANDS_1228	True	1	0.01	0.99
A2A_LIGANDS_1564	True	1	0.02	0.98
A2A_LIGANDS_1543	False	0	0.97	0.03
A2A_LIGANDS_0879	True	1	0.44	0.56
A2A_LIGANDS_2287	False	1	0.06	0.94
A2A_LIGANDS_3818	True	1	0.07	0.93
A2A_LIGANDS_0093	True	1	0.1	0.9
A2A_LIGANDS_2412	True	1	0.05	0.95
A2A_LIGANDS_0023	False	0	0.98	0.02
A2A_LIGANDS_1623	False	0	0.95	0.05
A2A_LIGANDS_3411	False	0	0.99	0.01
A2A_LIGANDS_3320	False	1	0.31	0.69
A2A_LIGANDS_1743	False	0	0.53	0.47
A2A_LIGANDS_3915	True	1	0.06	0.94
A2A_LIGANDS_0564	True	1	0.15	0.85
A2A_LIGANDS_2037	True	1	0.2	0.8
A2A_LIGANDS_3634	True	1	0.03	0.97
A2A_LIGANDS_3513	True	1	0.13	0.87
A2A_LIGANDS_2097	False	0	0.97	0.03
A2A_LIGANDS_2826	True	1	0.1	0.9
A2A_LIGANDS_3269	True	1	0.09	0.91
A2A_LIGANDS_1270	False	0	0.79	0.21
A2A_LIGANDS_4076	False	0	0.97	0.03
A2A_LIGANDS_2259	True	1	0.16	0.84
A2A_LIGANDS_1444	True	1	0.05	0.95
A2A_LIGANDS_1116	False	0	1.0	0.0
A2A_LIGANDS_0099	False	0	0.96	0.04
A2A_LIGANDS_0432	True	1	0.06	0.94
A2A_LIGANDS_2377	False	1	0.29	0.71
A2A_LIGANDS_2417	True	1	0.04	0.96
A2A_LIGANDS_1558	False	0	0.97	0.03
A2A_LIGANDS_1532	True	1	0.0	1.0
A2A_LIGANDS_0120	True	1	0.14	0.86
A2A_LIGANDS_2357	True	1	0.06	0.94
A2A_LIGANDS_1659	True	1	0.02	0.98
A2A_LIGANDS_0156	False	0	0.96	0.04
A2A_LIGANDS_1936	True	1	0.04	0.96
A2A_LIGANDS_2374	True	0	0.58	0.42
A2A_LIGANDS_1260	True	1	0.07	0.93
A2A_LIGANDS_3300	True	1	0.18	0.82
A2A_LIGANDS_3879	True	1	0.03	0.97
A2A_LIGANDS_2656	False	0	0.91	0.09
A2A_LIGANDS_2154	True	1	0.1	0.9
A2A_LIGANDS_0240	True	1	0.06	0.94
A2A_LIGANDS_2929	True	1	0.29	0.71
A2A_LIGANDS_1815	True	1	0.12	0.88
A2A_LIGANDS_3334	True	1	0.02	0.98
A2A_LIGANDS_3178	True	1	0.26	0.74
A2A_LIGANDS_3250	False	1	0.22	0.78
A2A_LIGANDS_1627	True	1	0.06	0.94
A2A_LIGANDS_1912	True	1	0.03	0.97
A2A_LIGANDS_1362	True	0	0.84	0.16
A2A_LIGANDS_2002	False	0	0.66	0.34
A2A_LIGANDS_3650	True	1	0.0	1.0
A2A_LIGANDS_0865	True	0	0.88	0.12
A2A_LIGANDS_1789	False	0	1.0	0.0
A2A_LIGANDS_1377	False	0	0.94	0.06
A2A_LIGANDS_1831	True	1	0.08	0.92
A2A_LIGANDS_3089	True	1	0.48	0.52
A2A_LIGANDS_0594	False	0	0.99	0.01
A2A_LIGANDS_3032	True	1	0.0	1.0
A2A_LIGANDS_0177	True	1	0.03	0.97
A2A_LIGANDS_2679	False	0	0.65	0.35
A2A_LIGANDS_3075	True	1	0.04	0.96
A2A_LIGANDS_2233	False	0	1.0	0.0
A2A_LIGANDS_0051	True	1	0.03	0.97
A2A_LIGANDS_1138	True	0	1.0	0.0
A2A_LIGANDS_1778	False	0	0.66	0.34
A2A_LIGANDS_0073	False	0	0.81	0.19
A2A_LIGANDS_3116	False	0	0.99	0.01
A2A_LIGANDS_2090	False	0	0.87	0.13
A2A_LIGANDS_2091	True	1	0.0	1.0
A2A_LIGANDS_3612	True	1	0.03	0.97
A2A_LIGANDS_2408	False	1	0.33	0.67
A2A_LIGANDS_1309	True	1	0.1	0.9
A2A_LIGANDS_3336	True	1	0.05	0.95
A2A_LIGANDS_2697	True	1	0.07	0.93
A2A_LIGANDS_2488	False	1	0.31	0.69
A2A_LIGANDS_1510	True	1	0.2	0.8
A2A_LIGANDS_1457	False	0	0.58	0.42
A2A_LIGANDS_0157	False	0	0.92	0.08
A2A_LIGANDS_2707	True	1	0.0	1.0
A2A_LIGANDS_1632	True	1	0.0	1.0
A2A_LIGANDS_0534	True	1	0.03	0.97
A2A_LIGANDS_0052	False	0	0.8	0.2
A2A_LIGANDS_2014	False	0	0.54	0.46
A2A_LIGANDS_0220	True	1	0.28	0.72
A2A_LIGANDS_1052	False	0	0.83	0.17
A2A_LIGANDS_0026	True	1	0.11	0.89
A2A_LIGANDS_3390	False	0	0.98	0.02
A2A_LIGANDS_3555	True	1	0.06	0.94
A2A_LIGANDS_0214	False	0	0.79	0.21
A2A_LIGANDS_3396	False	0	0.9	0.1
A2A_LIGANDS_2834	True	1	0.19	0.81
A2A_LIGANDS_1779	True	1	0.21	0.79
A2A_LIGANDS_1242	True	1	0.01	0.99
A2A_LIGANDS_2387	True	1	0.09	0.91
A2A_LIGANDS_0321	False	0	0.66	0.34
A2A_LIGANDS_3316	True	1	0.03	0.97
A2A_LIGANDS_3339	False	1	0.39	0.61
A2A_LIGANDS_3811	True	1	0.11	0.89
A2A_LIGANDS_1614	True	1	0.02	0.98
A2A_LIGANDS_3190	True	1	0.09	0.91
A2A_LIGANDS_2177	True	1	0.02	0.98
A2A_LIGANDS_1739	True	1	0.01	0.99
A2A_LIGANDS_3777	False	1	0.15	0.85
A2A_LIGANDS_4022	False	0	0.54	0.46
A2A_LIGANDS_2527	False	1	0.1	0.9
A2A_LIGANDS_0044	False	0	0.99	0.01
A2A_LIGANDS_0731	False	0	0.96	0.04
A2A_LIGANDS_0495	False	1	0.02	0.98
A2A_LIGANDS_3113	True	1	0.28	0.72
A2A_LIGANDS_3045	True	1	0.25	0.75
A2A_LIGANDS_2210	True	1	0.09	0.91
A2A_LIGANDS_0354	False	0	0.57	0.43
A2A_LIGANDS_0576	False	0	0.99	0.01
A2A_LIGANDS_3214	True	1	0.28	0.72
A2A_LIGANDS_2951	False	0	0.99	0.01
A2A_LIGANDS_0598	True	1	0.01	0.99
A2A_LIGANDS_1261	False	0	0.57	0.43
A2A_LIGANDS_3290	True	1	0.19	0.81
A2A_LIGANDS_1675	False	1	0.27	0.73
A2A_LIGANDS_0897	False	0	1.0	0.0
A2A_LIGANDS_0408	True	1	0.07	0.93
A2A_LIGANDS_3266	True	1	0.03	0.97
A2A_LIGANDS_2092	False	1	0.0	1.0
A2A_LIGANDS_0256	True	1	0.3	0.7
A2A_LIGANDS_3543	True	1	0.42	0.58
A2A_LIGANDS_0761	False	0	0.92	0.08
A2A_LIGANDS_1538	False	0	0.97	0.03
A2A_LIGANDS_1322	False	0	1.0	0.0
A2A_LIGANDS_0843	True	1	0.47	0.53
A2A_LIGANDS_2283	True	1	0.16	0.84
A2A_LIGANDS_1786	True	1	0.17	0.83
A2A_LIGANDS_3669	True	1	0.06	0.94
A2A_LIGANDS_1370	False	0	0.61	0.39
A2A_LIGANDS_2353	True	1	0.08	0.92
A2A_LIGANDS_3038	True	1	0.04	0.96
A2A_LIGANDS_0291	True	1	0.18	0.82
A2A_LIGANDS_1657	False	0	0.99	0.01
A2A_LIGANDS_3791	True	1	0.0	1.0
A2A_LIGANDS_0134	True	1	0.02	0.98
A2A_LIGANDS_2792	True	1	0.18	0.82
A2A_LIGANDS_2404	False	1	0.39	0.61
A2A_LIGANDS_1157	True	1	0.14	0.86
A2A_LIGANDS_2034	True	1	0.16	0.84
A2A_LIGANDS_0263	False	0	0.75	0.25
A2A_LIGANDS_1992	False	0	0.85	0.15
A2A_LIGANDS_2466	False	0	0.97	0.03
A2A_LIGANDS_1295	True	1	0.13	0.87
A2A_LIGANDS_1964	False	0	0.8	0.2
A2A_LIGANDS_0817	False	1	0.19	0.81
A2A_LIGANDS_0056	False	0	0.67	0.33
A2A_LIGANDS_0831	False	0	0.6	0.4
A2A_LIGANDS_0693	False	1	0.0	1.0
A2A_LIGANDS_0551	True	1	0.21	0.79
A2A_LIGANDS_2441	True	1	0.01	0.99
A2A_LIGANDS_3287	True	0	0.52	0.48
A2A_LIGANDS_2138	True	1	0.01	0.99
A2A_LIGANDS_1721	False	1	0.09	0.91
A2A_LIGANDS_0810	False	0	0.82	0.18
A2A_LIGANDS_1749	True	1	0.04	0.96
A2A_LIGANDS_2484	False	0	0.93	0.07
A2A_LIGANDS_1798	True	1	0.13	0.87
A2A_LIGANDS_0393	True	1	0.22	0.78
A2A_LIGANDS_3253	True	1	0.23	0.77
A2A_LIGANDS_3591	False	0	0.83	0.17
A2A_LIGANDS_0170	False	0	0.98	0.02
A2A_LIGANDS_0642	True	1	0.07	0.93
A2A_LIGANDS_2229	True	1	0.01	0.99
A2A_LIGANDS_1091	True	1	0.16	0.84
A2A_LIGANDS_1615	True	1	0.24	0.76
A2A_LIGANDS_3323	True	1	0.05	0.95
A2A_LIGANDS_2533	False	0	0.58	0.42
A2A_LIGANDS_0188	True	0	0.54	0.46
A2A_LIGANDS_0012	False	0	0.97	0.03
A2A_LIGANDS_1200	True	0	0.7	0.3
A2A_LIGANDS_0322	True	1	0.09	0.91
A2A_LIGANDS_2958	False	0	0.98	0.02
A2A_LIGANDS_0605	False	1	0.07	0.93
A2A_LIGANDS_0803	True	1	0.01	0.99
A2A_LIGANDS_0751	False	1	0.44	0.56
A2A_LIGANDS_3599	True	1	0.21	0.79
A2A_LIGANDS_3402	True	1	0.0	1.0
A2A_LIGANDS_3133	True	1	0.03	0.97
A2A_LIGANDS_0676	True	1	0.12	0.88
A2A_LIGANDS_3220	False	0	0.91	0.09
A2A_LIGANDS_3393	False	0	0.56	0.44
A2A_LIGANDS_1689	False	0	0.76	0.24
A2A_LIGANDS_1880	True	1	0.34	0.66
A2A_LIGANDS_3208	True	1	0.0	1.0
A2A_LIGANDS_3213	True	1	0.13	0.87
A2A_LIGANDS_3026	True	1	0.07	0.93
A2A_LIGANDS_1512	True	1	0.11	0.89
A2A_LIGANDS_2184	False	0	0.78	0.22
A2A_LIGANDS_3256	False	0	0.69	0.31
A2A_LIGANDS_0238	False	0	0.63	0.37
A2A_LIGANDS_0174	True	1	0.0	1.0
A2A_LIGANDS_3159	True	1	0.1	0.9
A2A_LIGANDS_1811	True	1	0.2	0.8
A2A_LIGANDS_2620	True	1	0.01	0.99
A2A_LIGANDS_3684	False	0	0.94	0.06
A2A_LIGANDS_2225	True	1	0.26	0.74
A2A_LIGANDS_0907	True	1	0.14	0.86
A2A_LIGANDS_1426	True	1	0.01	0.99
A2A_LIGANDS_3088	True	0	0.55	0.45
A2A_LIGANDS_1991	False	1	0.06	0.94
A2A_LIGANDS_3437	False	0	0.98	0.02
A2A_LIGANDS_0410	True	1	0.02	0.98
A2A_LIGANDS_1186	True	1	0.0	1.0
A2A_LIGANDS_1029	False	1	0.04	0.96
A2A_LIGANDS_2335	True	1	0.03	0.97
A2A_LIGANDS_1652	True	1	0.0	1.0
A2A_LIGANDS_1583	False	1	0.27	0.73
A2A_LIGANDS_2246	False	0	0.94	0.06
A2A_LIGANDS_0990	True	1	0.04	0.96
A2A_LIGANDS_0227	True	1	0.01	0.99
A2A_LIGANDS_1830	True	1	0.01	0.99
A2A_LIGANDS_1210	False	0	0.65	0.35
A2A_LIGANDS_3455	False	1	0.11	0.89
A2A_LIGANDS_0351	False	0	0.99	0.01
A2A_LIGANDS_2473	True	1	0.03	0.97
A2A_LIGANDS_1766	False	0	0.93	0.07
A2A_LIGANDS_3381	False	1	0.26	0.74
A2A_LIGANDS_1337	True	0	0.58	0.42
A2A_LIGANDS_0857	True	0	0.82	0.18
A2A_LIGANDS_3388	False	0	0.61	0.39
A2A_LIGANDS_2861	False	0	0.99	0.01
A2A_LIGANDS_1436	True	1	0.01	0.99
A2A_LIGANDS_0069	False	1	0.23	0.77
A2A_LIGANDS_2342	True	1	0.01	0.99
A2A_LIGANDS_0045	False	0	1.0	0.0
A2A_LIGANDS_1114	True	1	0.03	0.97
A2A_LIGANDS_3566	True	1	0.03	0.97
A2A_LIGANDS_0183	False	1	0.24	0.76
A2A_LIGANDS_0829	True	1	0.01	0.99
A2A_LIGANDS_1018	True	0	0.56	0.44
A2A_LIGANDS_0948	True	1	0.31	0.69
A2A_LIGANDS_0511	False	0	1.0	0.0
A2A_LIGANDS_2903	False	0	0.68	0.32
A2A_LIGANDS_2910	True	1	0.47	0.53
A2A_LIGANDS_1867	True	1	0.21	0.79
A2A_LIGANDS_1474	True	1	0.18	0.82
A2A_LIGANDS_0139	False	0	0.53	0.47
A2A_LIGANDS_2355	True	1	0.01	0.99
A2A_LIGANDS_0862	True	1	0.11	0.89
A2A_LIGANDS_0309	False	0	0.54	0.46
A2A_LIGANDS_0266	True	1	0.02	0.98
A2A_LIGANDS_1953	False	0	0.56	0.44
A2A_LIGANDS_2215	True	0	0.5	0.5
A2A_LIGANDS_3273	False	1	0.12	0.88
A2A_LIGANDS_0063	True	1	0.04	0.96
A2A_LIGANDS_2624	True	1	0.14	0.86
A2A_LIGANDS_2543	True	1	0.04	0.96
A2A_LIGANDS_1042	True	1	0.28	0.72
A2A_LIGANDS_1406	True	1	0.27	0.73
A2A_LIGANDS_0144	True	0	0.91	0.09
A2A_LIGANDS_3529	True	1	0.28	0.72
A2A_LIGANDS_3875	True	1	0.02	0.98
A2A_LIGANDS_1578	True	1	0.35	0.65
A2A_LIGANDS_2093	False	1	0.05	0.95
A2A_LIGANDS_0486	False	0	0.83	0.17
A2A_LIGANDS_2829	False	0	0.62	0.38
A2A_LIGANDS_1161	False	0	0.97	0.03
A2A_LIGANDS_3695	True	1	0.0	1.0
A2A_LIGANDS_3689	False	0	0.5	0.5
A2A_LIGANDS_3403	False	0	1.0	0.0
A2A_LIGANDS_2618	False	1	0.46	0.54
A2A_LIGANDS_1487	True	1	0.1	0.9
A2A_LIGANDS_2673	True	1	0.01	0.99
A2A_LIGANDS_2153	True	1	0.09	0.91
A2A_LIGANDS_1822	False	0	0.99	0.01
A2A_LIGANDS_0279	True	1	0.14	0.86
A2A_LIGANDS_3155	False	0	0.65	0.35
A2A_LIGANDS_3629	True	0	0.54	0.46
A2A_LIGANDS_0358	False	0	0.81	0.19
A2A_LIGANDS_2884	True	1	0.11	0.89
A2A_LIGANDS_0299	False	0	0.93	0.07
A2A_LIGANDS_1073	False	1	0.1	0.9
A2A_LIGANDS_2186	True	0	0.52	0.48
A2A_LIGANDS_1950	False	0	0.65	0.35
A2A_LIGANDS_1832	False	1	0.31	0.69
