QSPRID	pchembl_value_Median_class_Label	pchembl_value_Median_class_Prediction	pchembl_value_Median_class_ProbabilityClass_0	pchembl_value_Median_class_ProbabilityClass_1	Fold
QSPRID_0164	False	0	0.75	0.25	1.0
QSPRID_0165	True	0	0.618	0.382	0.0
QSPRID_0167	False	1	0.342	0.658	0.0
QSPRID_0168	True	1	0.263	0.737	0.0
QSPRID_0168	True	1	0.092	0.908	1.0
QSPRID_0169	False	1	0.487	0.513	0.0
QSPRID_0171	True	1	0.382	0.618	0.0
QSPRID_0172	True	0	0.539	0.461	1.0
QSPRID_0172	True	1	0.368	0.632	0.0
QSPRID_0175	True	0	0.526	0.474	0.0
QSPRID_0176	True	1	0.132	0.868	1.0
QSPRID_0176	True	1	0.276	0.724	0.0
QSPRID_0180	False	0	0.579	0.421	0.0
QSPRID_0181	True	1	0.382	0.618	0.0
QSPRID_0182	True	1	0.342	0.658	0.0
QSPRID_0185	True	0	0.5	0.5	0.0
QSPRID_0185	True	1	0.461	0.539	1.0
QSPRID_0186	True	1	0.329	0.671	0.0
QSPRID_0187	True	1	0.276	0.724	0.0
QSPRID_0189	True	1	0.303	0.697	0.0
QSPRID_0190	True	0	0.579	0.421	0.0
QSPRID_0190	True	0	0.697	0.303	1.0
QSPRID_0191	True	1	0.395	0.605	0.0
QSPRID_0193	True	1	0.382	0.618	0.0
QSPRID_0195	True	1	0.197	0.803	0.0
QSPRID_0195	True	1	0.053	0.947	1.0
QSPRID_0197	True	1	0.329	0.671	0.0
QSPRID_0198	False	1	0.211	0.789	0.0
QSPRID_0199	True	1	0.303	0.697	0.0
QSPRID_0200	True	1	0.434	0.566	0.0
QSPRID_0200	True	0	0.526	0.474	1.0
QSPRID_0201	False	1	0.434	0.566	1.0
QSPRID_0201	False	1	0.355	0.645	0.0
QSPRID_0202	False	1	0.224	0.776	1.0
QSPRID_0202	False	0	0.513	0.487	0.0
QSPRID_0204	True	1	0.408	0.592	0.0
QSPRID_0206	True	1	0.132	0.868	0.0
QSPRID_0207	True	1	0.276	0.724	0.0
QSPRID_0208	True	1	0.408	0.592	0.0
QSPRID_0209	False	1	0.408	0.592	0.0
QSPRID_0210	True	1	0.329	0.671	0.0
QSPRID_0212	True	1	0.026	0.974	0.0
QSPRID_0213	True	1	0.211	0.789	0.0
QSPRID_0215	False	0	0.711	0.289	1.0
QSPRID_0215	False	0	0.553	0.447	0.0
QSPRID_0216	False	1	0.289	0.711	1.0
QSPRID_0216	False	1	0.368	0.632	0.0
QSPRID_0217	False	0	0.553	0.447	1.0
QSPRID_0217	False	1	0.368	0.632	0.0
QSPRID_0218	False	0	0.566	0.434	1.0
QSPRID_0218	False	1	0.303	0.697	0.0
QSPRID_0219	True	0	0.579	0.421	0.0
QSPRID_0221	True	1	0.447	0.553	1.0
QSPRID_0221	True	1	0.421	0.579	0.0
QSPRID_0223	True	0	0.513	0.487	0.0
QSPRID_0224	True	1	0.382	0.618	0.0
QSPRID_0225	False	1	0.382	0.618	0.0
QSPRID_0225	False	1	0.145	0.855	1.0
QSPRID_0226	True	0	0.5	0.5	0.0
QSPRID_0226	True	0	0.605	0.395	1.0
QSPRID_0228	True	1	0.461	0.539	0.0
QSPRID_0228	True	1	0.368	0.632	1.0
QSPRID_0231	True	1	0.382	0.618	1.0
QSPRID_0231	True	1	0.237	0.763	0.0
QSPRID_0232	True	1	0.276	0.724	0.0
QSPRID_0232	True	1	0.105	0.895	1.0
QSPRID_0233	True	1	0.316	0.684	0.0
QSPRID_0234	True	1	0.408	0.592	0.0
QSPRID_0235	True	1	0.382	0.618	0.0
QSPRID_0236	True	0	0.579	0.421	1.0
QSPRID_0236	True	1	0.342	0.658	0.0
QSPRID_0237	False	1	0.184	0.816	0.0
QSPRID_0237	False	1	0.184	0.816	1.0
QSPRID_0242	False	1	0.316	0.684	0.0
QSPRID_0243	True	1	0.447	0.553	0.0
QSPRID_0244	True	1	0.303	0.697	1.0
QSPRID_0244	True	1	0.263	0.737	0.0
QSPRID_0245	True	1	0.211	0.789	0.0
QSPRID_0246	False	1	0.303	0.697	0.0
QSPRID_0247	True	1	0.461	0.539	1.0
QSPRID_0247	True	1	0.289	0.711	0.0
QSPRID_0248	True	0	0.526	0.474	0.0
QSPRID_0248	True	1	0.145	0.855	1.0
QSPRID_0249	True	1	0.184	0.816	0.0
QSPRID_0250	True	1	0.355	0.645	0.0
QSPRID_0252	True	0	0.605	0.395	0.0
QSPRID_0252	True	0	1.0	0.0	1.0
QSPRID_0253	True	0	0.724	0.276	1.0
QSPRID_0253	True	1	0.355	0.645	0.0
QSPRID_0255	True	0	0.553	0.447	0.0
QSPRID_0258	True	1	0.0	1.0	1.0
QSPRID_0258	True	1	0.289	0.711	0.0
QSPRID_0259	True	0	0.513	0.487	1.0
QSPRID_0259	True	1	0.461	0.539	0.0
QSPRID_0260	False	1	0.434	0.566	0.0
QSPRID_0260	False	0	0.684	0.316	1.0
QSPRID_0261	False	1	0.171	0.829	0.0
QSPRID_0262	True	1	0.329	0.671	1.0
QSPRID_0262	True	0	0.513	0.487	0.0
QSPRID_0264	True	1	0.342	0.658	0.0
QSPRID_0265	False	0	0.566	0.434	1.0
QSPRID_0265	False	1	0.421	0.579	0.0
QSPRID_0267	True	1	0.474	0.526	1.0
QSPRID_0267	True	1	0.237	0.763	0.0
QSPRID_0268	True	1	0.276	0.724	0.0
QSPRID_0269	True	1	0.408	0.592	0.0
QSPRID_0269	True	1	0.329	0.671	1.0
QSPRID_0271	True	1	0.487	0.513	0.0
QSPRID_0272	True	1	0.171	0.829	1.0
QSPRID_0272	True	1	0.184	0.816	0.0
QSPRID_0273	True	1	0.263	0.737	1.0
QSPRID_0273	True	1	0.355	0.645	0.0
QSPRID_0274	False	1	0.118	0.882	1.0
QSPRID_0274	False	1	0.25	0.75	0.0
QSPRID_0275	False	1	0.276	0.724	0.0
QSPRID_0276	True	1	0.079	0.921	0.0
QSPRID_0277	False	1	0.408	0.592	1.0
QSPRID_0277	False	1	0.263	0.737	0.0
QSPRID_0278	True	1	0.368	0.632	0.0
QSPRID_0280	True	1	0.355	0.645	0.0
QSPRID_0281	False	0	0.803	0.197	1.0
QSPRID_0281	False	0	0.737	0.263	0.0
QSPRID_0282	False	1	0.303	0.697	0.0
QSPRID_0283	True	1	0.237	0.763	0.0
QSPRID_0283	True	1	0.263	0.737	1.0
QSPRID_0284	True	1	0.421	0.579	1.0
QSPRID_0284	True	1	0.355	0.645	0.0
QSPRID_0285	True	1	0.342	0.658	0.0
QSPRID_0286	True	1	0.329	0.671	0.0
QSPRID_0286	True	1	0.171	0.829	1.0
QSPRID_0287	True	0	0.658	0.342	0.0
QSPRID_0288	True	1	0.329	0.671	1.0
QSPRID_0288	True	1	0.461	0.539	0.0
QSPRID_0290	True	1	0.421	0.579	0.0
QSPRID_0292	True	1	0.184	0.816	0.0
QSPRID_0293	True	1	0.276	0.724	0.0
QSPRID_0293	True	1	0.105	0.895	1.0
QSPRID_0294	True	1	0.395	0.605	0.0
QSPRID_0297	False	0	0.592	0.408	0.0
QSPRID_0297	False	1	0.289	0.711	1.0
QSPRID_0300	False	1	0.145	0.855	0.0
QSPRID_0300	False	0	0.539	0.461	1.0
QSPRID_0301	True	1	0.237	0.763	0.0
QSPRID_0301	True	0	0.526	0.474	1.0
QSPRID_0302	True	1	0.197	0.803	0.0
QSPRID_0303	True	1	0.263	0.737	0.0
QSPRID_0304	True	1	0.368	0.632	0.0
QSPRID_0306	False	1	0.276	0.724	0.0
QSPRID_0306	False	1	0.171	0.829	1.0
QSPRID_0307	False	1	0.145	0.855	0.0
QSPRID_0311	False	0	0.789	0.211	1.0
QSPRID_0311	False	1	0.408	0.592	0.0
QSPRID_0312	True	1	0.013	0.987	0.0
QSPRID_0313	True	1	0.329	0.671	0.0
QSPRID_0316	True	1	0.184	0.816	0.0
QSPRID_0316	True	1	0.184	0.816	1.0
QSPRID_0317	True	1	0.289	0.711	1.0
QSPRID_0317	True	1	0.474	0.526	0.0
QSPRID_0319	True	1	0.184	0.816	0.0
QSPRID_0320	False	1	0.382	0.618	0.0
QSPRID_0320	False	0	0.566	0.434	1.0
QSPRID_0326	True	1	0.342	0.658	0.0
QSPRID_0326	True	1	0.434	0.566	1.0
QSPRID_0327	True	0	0.579	0.421	0.0
QSPRID_0328	False	0	0.816	0.184	0.0
QSPRID_0329	True	1	0.316	0.684	0.0
QSPRID_0330	False	1	0.263	0.737	0.0
QSPRID_0330	False	1	0.263	0.737	1.0
QSPRID_0333	True	1	0.368	0.632	0.0
QSPRID_0334	True	1	0.053	0.947	0.0
QSPRID_0335	False	0	0.579	0.421	1.0
QSPRID_0335	False	0	0.5	0.5	0.0
QSPRID_0336	True	1	0.263	0.737	0.0
QSPRID_0336	True	0	0.5	0.5	1.0
QSPRID_0337	True	1	0.421	0.579	0.0
QSPRID_0338	True	1	0.434	0.566	0.0
QSPRID_0339	False	1	0.342	0.658	0.0
QSPRID_0340	True	1	0.039	0.961	0.0
QSPRID_0341	True	1	0.118	0.882	1.0
QSPRID_0341	True	1	0.421	0.579	0.0
QSPRID_0342	True	1	0.263	0.737	0.0
QSPRID_0343	True	1	0.316	0.684	0.0
QSPRID_0344	False	0	0.539	0.461	0.0
QSPRID_0345	False	1	0.276	0.724	0.0
QSPRID_0347	True	0	0.566	0.434	0.0
QSPRID_0348	False	0	0.5	0.5	0.0
QSPRID_0349	False	0	0.618	0.382	0.0
QSPRID_0350	True	1	0.289	0.711	0.0
QSPRID_0350	True	1	0.487	0.513	1.0
QSPRID_0352	True	1	0.197	0.803	0.0
QSPRID_0353	True	1	0.224	0.776	0.0
QSPRID_0353	True	0	0.553	0.447	1.0
QSPRID_0355	False	0	0.605	0.395	1.0
QSPRID_0355	False	1	0.474	0.526	0.0
QSPRID_0356	True	1	0.145	0.855	1.0
QSPRID_0356	True	1	0.211	0.789	0.0
QSPRID_0359	True	1	0.487	0.513	1.0
QSPRID_0359	True	0	0.513	0.487	0.0
QSPRID_0360	True	1	0.461	0.539	0.0
QSPRID_0360	True	1	0.342	0.658	1.0
QSPRID_0360	True	1	0.053	0.947	2.0
QSPRID_0361	True	1	0.421	0.579	0.0
QSPRID_0362	True	1	0.408	0.592	0.0
QSPRID_0363	True	1	0.224	0.776	0.0
QSPRID_0364	True	1	0.421	0.579	0.0
QSPRID_0364	True	1	0.25	0.75	1.0
QSPRID_0365	True	1	0.342	0.658	0.0
QSPRID_0367	True	1	0.368	0.632	0.0
QSPRID_0369	True	0	0.605	0.395	0.0
QSPRID_0370	True	1	0.355	0.645	1.0
QSPRID_0370	True	1	0.158	0.842	0.0
QSPRID_0371	False	1	0.408	0.592	0.0
QSPRID_0371	False	0	0.658	0.342	1.0
QSPRID_0372	True	0	0.513	0.487	0.0
QSPRID_0372	True	1	0.316	0.684	1.0
QSPRID_0373	False	0	0.776	0.224	1.0
QSPRID_0373	False	0	0.618	0.382	0.0
QSPRID_0374	True	1	0.25	0.75	0.0
QSPRID_0375	False	1	0.132	0.868	1.0
QSPRID_0375	False	1	0.237	0.763	0.0
QSPRID_0376	False	1	0.382	0.618	0.0
QSPRID_0377	False	0	0.5	0.5	0.0
QSPRID_0377	False	1	0.276	0.724	1.0
QSPRID_0377	False	0	0.553	0.447	2.0
QSPRID_0378	True	1	0.276	0.724	0.0
QSPRID_0379	True	0	0.618	0.382	0.0
QSPRID_0380	True	1	0.263	0.737	0.0
QSPRID_0381	True	1	0.329	0.671	0.0
QSPRID_0382	True	0	0.526	0.474	0.0
QSPRID_0382	True	1	0.408	0.592	1.0
QSPRID_0383	False	1	0.25	0.75	1.0
QSPRID_0383	False	1	0.329	0.671	0.0
QSPRID_0384	True	1	0.211	0.789	0.0
QSPRID_0385	False	0	0.658	0.342	0.0
QSPRID_0385	False	0	0.908	0.092	1.0
QSPRID_0386	False	1	0.421	0.579	0.0
QSPRID_0386	False	0	0.605	0.395	1.0
QSPRID_0388	False	1	0.303	0.697	0.0
QSPRID_0388	False	0	0.763	0.237	1.0
QSPRID_0389	True	1	0.329	0.671	0.0
QSPRID_0390	True	1	0.105	0.895	0.0
QSPRID_0391	True	1	0.237	0.763	0.0
QSPRID_0392	False	1	0.329	0.671	0.0
QSPRID_0394	True	0	0.566	0.434	0.0
QSPRID_0395	True	0	0.526	0.474	0.0
QSPRID_0395	True	1	0.382	0.618	1.0
QSPRID_0396	True	1	0.211	0.789	0.0
QSPRID_0397	False	1	0.289	0.711	0.0
QSPRID_0397	False	0	0.618	0.382	1.0
QSPRID_0398	False	1	0.197	0.803	0.0
QSPRID_0399	True	1	0.237	0.763	0.0
QSPRID_0399	True	1	0.158	0.842	1.0
QSPRID_0400	False	0	0.763	0.237	0.0
QSPRID_0401	True	0	0.526	0.474	1.0
QSPRID_0401	True	1	0.132	0.868	2.0
QSPRID_0401	True	0	0.5	0.5	0.0
QSPRID_0403	True	1	0.289	0.711	0.0
QSPRID_0404	True	0	0.5	0.5	1.0
QSPRID_0404	True	1	0.355	0.645	0.0
QSPRID_0405	True	1	0.329	0.671	0.0
QSPRID_0405	True	1	0.421	0.579	1.0
QSPRID_0406	False	0	0.921	0.079	1.0
QSPRID_0406	False	1	0.395	0.605	0.0
QSPRID_0407	True	1	0.171	0.829	0.0
QSPRID_0407	True	1	0.092	0.908	1.0
QSPRID_0409	True	0	0.592	0.408	0.0
QSPRID_0409	True	1	0.039	0.961	1.0
QSPRID_0412	True	1	0.118	0.882	0.0
QSPRID_0412	True	1	0.263	0.737	1.0
QSPRID_0413	False	0	0.539	0.461	0.0
QSPRID_0416	True	0	0.645	0.355	0.0
QSPRID_0417	True	1	0.342	0.658	0.0
QSPRID_0418	True	1	0.329	0.671	0.0
QSPRID_0419	False	0	0.579	0.421	0.0
QSPRID_0420	True	1	0.355	0.645	0.0
QSPRID_0422	True	0	0.526	0.474	1.0
QSPRID_0422	True	1	0.237	0.763	0.0
QSPRID_0423	True	1	0.158	0.842	1.0
QSPRID_0423	True	1	0.263	0.737	0.0
QSPRID_0424	True	1	0.197	0.803	0.0
QSPRID_0424	True	1	0.171	0.829	1.0
QSPRID_0425	False	1	0.224	0.776	0.0
QSPRID_0425	False	1	0.039	0.961	1.0
QSPRID_0426	True	1	0.342	0.658	0.0
QSPRID_0427	False	1	0.461	0.539	1.0
QSPRID_0427	False	1	0.276	0.724	0.0
QSPRID_0428	False	0	0.579	0.421	0.0
QSPRID_0431	False	0	0.618	0.382	0.0
QSPRID_0434	True	1	0.329	0.671	0.0
QSPRID_0435	True	1	0.263	0.737	0.0
QSPRID_0435	True	1	0.368	0.632	1.0
QSPRID_0436	True	1	0.132	0.868	0.0
QSPRID_0437	False	1	0.25	0.75	0.0
QSPRID_0440	True	1	0.434	0.566	0.0
QSPRID_0441	False	1	0.289	0.711	0.0
QSPRID_0441	False	1	0.039	0.961	1.0
QSPRID_0442	True	1	0.079	0.921	0.0
QSPRID_0444	True	1	0.066	0.934	0.0
QSPRID_0445	True	1	0.171	0.829	1.0
QSPRID_0445	True	1	0.276	0.724	0.0
QSPRID_0446	True	1	0.276	0.724	0.0
QSPRID_0447	False	1	0.395	0.605	0.0
QSPRID_0448	False	0	0.671	0.329	1.0
QSPRID_0448	False	1	0.421	0.579	0.0
QSPRID_0449	True	1	0.224	0.776	0.0
QSPRID_0449	True	1	0.105	0.895	1.0
QSPRID_0451	False	0	0.592	0.408	0.0
QSPRID_0452	True	1	0.053	0.947	0.0
QSPRID_0453	False	0	0.539	0.461	1.0
QSPRID_0453	False	0	0.579	0.421	0.0
QSPRID_0454	False	1	0.303	0.697	0.0
QSPRID_0455	True	1	0.276	0.724	0.0
QSPRID_0456	True	1	0.25	0.75	0.0
QSPRID_0458	True	1	0.211	0.789	0.0
QSPRID_0459	False	1	0.039	0.961	0.0
QSPRID_0460	True	1	0.132	0.868	0.0
QSPRID_0462	True	1	0.053	0.947	1.0
QSPRID_0462	True	1	0.461	0.539	0.0
QSPRID_0464	True	1	0.382	0.618	0.0
QSPRID_0466	True	1	0.316	0.684	0.0
QSPRID_0466	True	1	0.316	0.684	1.0
QSPRID_0467	True	0	0.724	0.276	0.0
QSPRID_0467	True	0	0.632	0.368	1.0
QSPRID_0469	True	1	0.342	0.658	0.0
QSPRID_0470	False	1	0.342	0.658	0.0
QSPRID_0472	True	1	0.118	0.882	1.0
QSPRID_0472	True	1	0.355	0.645	0.0
QSPRID_0473	True	1	0.329	0.671	1.0
QSPRID_0473	True	1	0.382	0.618	0.0
QSPRID_0474	True	1	0.355	0.645	0.0
QSPRID_0475	True	1	0.184	0.816	1.0
QSPRID_0475	True	1	0.421	0.579	0.0
QSPRID_0476	True	1	0.434	0.566	0.0
QSPRID_0476	True	1	0.118	0.882	1.0
QSPRID_0477	False	0	0.539	0.461	0.0
QSPRID_0477	False	0	0.803	0.197	1.0
QSPRID_0480	True	1	0.316	0.684	0.0
QSPRID_0482	False	1	0.487	0.513	0.0
QSPRID_0483	False	1	0.25	0.75	0.0
QSPRID_0484	True	1	0.355	0.645	1.0
QSPRID_0484	True	1	0.447	0.553	0.0
QSPRID_0485	False	1	0.342	0.658	0.0
QSPRID_0487	False	1	0.474	0.526	0.0
QSPRID_0488	True	1	0.382	0.618	1.0
QSPRID_0488	True	1	0.316	0.684	0.0
QSPRID_0489	True	1	0.053	0.947	1.0
QSPRID_0489	True	0	0.579	0.421	0.0
QSPRID_0491	True	1	0.053	0.947	1.0
QSPRID_0491	True	1	0.263	0.737	0.0
QSPRID_0492	False	0	0.789	0.211	1.0
QSPRID_0492	False	0	0.724	0.276	0.0
QSPRID_0493	True	1	0.421	0.579	0.0
QSPRID_0493	True	1	0.408	0.592	1.0
QSPRID_0494	False	1	0.25	0.75	0.0
QSPRID_0496	True	0	0.553	0.447	0.0
QSPRID_0497	True	0	0.605	0.395	1.0
QSPRID_0497	True	1	0.342	0.658	0.0
QSPRID_0498	True	0	0.513	0.487	1.0
QSPRID_0498	True	0	0.658	0.342	0.0
QSPRID_0499	False	1	0.487	0.513	0.0
QSPRID_0500	True	1	0.237	0.763	0.0
QSPRID_0500	True	1	0.211	0.789	1.0
QSPRID_0502	True	1	0.224	0.776	0.0
QSPRID_0502	True	1	0.487	0.513	1.0
QSPRID_0503	False	1	0.289	0.711	0.0
QSPRID_0504	True	1	0.237	0.763	0.0
QSPRID_0505	False	0	0.658	0.342	1.0
QSPRID_0505	False	0	0.605	0.395	0.0
QSPRID_0506	False	1	0.368	0.632	0.0
QSPRID_0507	True	1	0.25	0.75	1.0
QSPRID_0507	True	1	0.197	0.803	0.0
QSPRID_0508	True	1	0.276	0.724	0.0
QSPRID_0508	True	0	0.592	0.408	1.0
QSPRID_0509	True	1	0.224	0.776	0.0
QSPRID_0509	True	1	0.211	0.789	1.0
QSPRID_0510	False	1	0.487	0.513	1.0
QSPRID_0510	False	0	0.579	0.421	0.0
QSPRID_0512	True	1	0.25	0.75	0.0
QSPRID_0513	True	1	0.355	0.645	0.0
QSPRID_0514	False	1	0.079	0.921	1.0
