QSPRID	pchembl_value_Median_class_Label	pchembl_value_Median_class_Prediction	pchembl_value_Median_class_ProbabilityClass_0	pchembl_value_Median_class_ProbabilityClass_1	Fold
A2A_LIGANDS_236	True	1	0.26	0.74	0.0
A2A_LIGANDS_237	False	1	0.255	0.745	0.0
A2A_LIGANDS_245	True	1	0.05	0.95	0.0
A2A_LIGANDS_251	True	1	0.09	0.91	0.0
A2A_LIGANDS_254	False	1	0.095	0.905	0.0
A2A_LIGANDS_257	True	1	0.0	1.0	0.0
A2A_LIGANDS_263	False	0	0.695	0.305	0.0
A2A_LIGANDS_277	False	1	0.03	0.97	0.0
A2A_LIGANDS_282	False	0	0.9	0.1	0.0
A2A_LIGANDS_287	True	1	0.305	0.695	0.0
A2A_LIGANDS_288	True	1	0.395	0.605	0.0
A2A_LIGANDS_289	False	0	0.945	0.055	0.0
A2A_LIGANDS_297	False	0	0.575	0.425	0.0
A2A_LIGANDS_298	True	0	0.76	0.24	0.0
A2A_LIGANDS_306	False	1	0.125	0.875	0.0
A2A_LIGANDS_309	False	1	0.15	0.85	0.0
A2A_LIGANDS_312	True	1	0.0	1.0	0.0
A2A_LIGANDS_313	True	1	0.075	0.925	0.0
A2A_LIGANDS_325	False	0	0.7	0.3	0.0
A2A_LIGANDS_329	True	1	0.125	0.875	0.0
A2A_LIGANDS_334	True	1	0.065	0.935	0.0
A2A_LIGANDS_343	True	0	0.83	0.17	0.0
A2A_LIGANDS_344	False	1	0.46	0.54	0.0
A2A_LIGANDS_355	False	0	1.0	0.0	0.0
A2A_LIGANDS_357	True	1	0.3125	0.6875	0.0
A2A_LIGANDS_362	True	1	0.015	0.985	0.0
A2A_LIGANDS_364	True	1	0.0	1.0	0.0
A2A_LIGANDS_365	True	1	0.055	0.945	0.0
A2A_LIGANDS_378	True	1	0.12	0.88	0.0
A2A_LIGANDS_382	True	1	0.05	0.95	0.0
A2A_LIGANDS_384	True	1	0.08	0.92	0.0
A2A_LIGANDS_386	False	0	0.775	0.225	0.0
A2A_LIGANDS_389	True	1	0.23	0.77	0.0
A2A_LIGANDS_393	True	1	0.14	0.86	0.0
A2A_LIGANDS_397	False	0	1.0	0.0	0.0
A2A_LIGANDS_400	False	0	0.995	0.005	0.0
A2A_LIGANDS_401	True	1	0.065	0.935	0.0
A2A_LIGANDS_407	True	0	1.0	0.0	0.0
A2A_LIGANDS_408	True	1	0.02	0.98	0.0
A2A_LIGANDS_420	True	1	0.025	0.975	0.0
A2A_LIGANDS_423	True	1	0.045	0.955	0.0
A2A_LIGANDS_431	False	0	0.955	0.045	0.0
A2A_LIGANDS_449	True	1	0.03	0.97	0.0
A2A_LIGANDS_451	False	0	0.705	0.295	0.0
A2A_LIGANDS_481	True	1	0.22	0.78	0.0
A2A_LIGANDS_488	True	1	0.185	0.815	0.0
A2A_LIGANDS_498	True	1	0.005	0.995	0.0
A2A_LIGANDS_507	True	1	0.065	0.935	0.0
A2A_LIGANDS_510	False	0	0.795	0.205	0.0
A2A_LIGANDS_511	False	0	0.95	0.05	0.0
A2A_LIGANDS_518	True	1	0.0	1.0	0.0
A2A_LIGANDS_522	True	1	0.15	0.85	0.0
A2A_LIGANDS_531	False	0	0.98	0.02	0.0
A2A_LIGANDS_540	False	0	0.54	0.46	0.0
A2A_LIGANDS_542	True	1	0.055	0.945	0.0
A2A_LIGANDS_543	False	0	1.0	0.0	0.0
A2A_LIGANDS_548	True	1	0.025	0.975	0.0
A2A_LIGANDS_552	True	1	0.44	0.56	0.0
A2A_LIGANDS_553	False	0	0.905	0.095	0.0
A2A_LIGANDS_556	False	0	0.58	0.42	0.0
A2A_LIGANDS_558	True	1	0.04	0.96	0.0
A2A_LIGANDS_564	True	1	0.19	0.81	0.0
A2A_LIGANDS_565	True	1	0.005	0.995	0.0
A2A_LIGANDS_574	False	1	0.485	0.515	0.0
A2A_LIGANDS_580	False	1	0.025	0.975	0.0
A2A_LIGANDS_585	True	1	0.355	0.645	0.0
A2A_LIGANDS_589	True	1	0.0	1.0	0.0
A2A_LIGANDS_590	True	1	0.005	0.995	0.0
A2A_LIGANDS_597	False	0	0.575	0.425	0.0
A2A_LIGANDS_598	True	1	0.04	0.96	0.0
A2A_LIGANDS_605	False	1	0.105	0.895	0.0
A2A_LIGANDS_606	False	0	0.94	0.06	0.0
A2A_LIGANDS_616	False	0	0.97	0.03	0.0
A2A_LIGANDS_627	True	0	0.74	0.26	0.0
A2A_LIGANDS_632	False	0	0.905	0.095	0.0
A2A_LIGANDS_633	True	1	0.08	0.92	0.0
A2A_LIGANDS_639	True	0	0.59	0.41	0.0
A2A_LIGANDS_658	True	1	0.0	1.0	0.0
A2A_LIGANDS_659	False	0	0.56	0.44	0.0
A2A_LIGANDS_663	True	1	0.14	0.86	0.0
A2A_LIGANDS_668	True	1	0.055	0.945	0.0
A2A_LIGANDS_672	False	0	0.54	0.46	0.0
A2A_LIGANDS_679	True	1	0.305	0.695	0.0
A2A_LIGANDS_683	True	1	0.075	0.925	0.0
A2A_LIGANDS_692	False	0	0.8625	0.1375	0.0
A2A_LIGANDS_695	True	1	0.07	0.93	0.0
A2A_LIGANDS_697	False	1	0.39	0.61	0.0
A2A_LIGANDS_707	False	0	0.805	0.195	0.0
A2A_LIGANDS_708	True	1	0.015	0.985	0.0
A2A_LIGANDS_710	False	1	0.27	0.73	0.0
A2A_LIGANDS_711	True	1	0.04	0.96	0.0
A2A_LIGANDS_716	True	1	0.03	0.97	0.0
A2A_LIGANDS_724	True	1	0.4	0.6	0.0
A2A_LIGANDS_729	True	1	0.0	1.0	0.0
A2A_LIGANDS_730	False	0	0.735	0.265	0.0
A2A_LIGANDS_747	True	1	0.2425	0.7575	0.0
A2A_LIGANDS_750	False	0	0.67	0.33	0.0
A2A_LIGANDS_752	True	0	0.695	0.305	0.0
A2A_LIGANDS_754	False	0	0.9	0.1	0.0
A2A_LIGANDS_756	False	0	0.555	0.445	0.0
A2A_LIGANDS_757	False	1	0.155	0.845	0.0
A2A_LIGANDS_762	True	0	0.5	0.5	0.0
A2A_LIGANDS_767	True	1	0.42	0.58	0.0
A2A_LIGANDS_768	True	1	0.125	0.875	0.0
A2A_LIGANDS_769	False	0	0.94	0.06	0.0
A2A_LIGANDS_779	True	1	0.025	0.975	0.0
A2A_LIGANDS_790	False	0	0.965	0.035	0.0
A2A_LIGANDS_804	False	0	0.585	0.415	0.0
A2A_LIGANDS_819	True	1	0.0	1.0	0.0
A2A_LIGANDS_834	False	1	0.28	0.72	0.0
A2A_LIGANDS_843	True	0	0.555	0.445	0.0
A2A_LIGANDS_849	False	0	0.7	0.3	0.0
A2A_LIGANDS_852	True	0	0.8	0.2	0.0
A2A_LIGANDS_854	True	1	0.07	0.93	0.0
A2A_LIGANDS_855	True	1	0.095	0.905	0.0
A2A_LIGANDS_859	False	0	0.995	0.005	0.0
A2A_LIGANDS_871	True	1	0.09	0.91	0.0
A2A_LIGANDS_874	False	0	0.91	0.09	0.0
A2A_LIGANDS_878	False	1	0.115	0.885	0.0
A2A_LIGANDS_885	False	0	0.725	0.275	0.0
A2A_LIGANDS_890	False	0	0.515	0.485	0.0
A2A_LIGANDS_907	True	1	0.285	0.715	0.0
A2A_LIGANDS_916	False	1	0.4875	0.5125	0.0
A2A_LIGANDS_918	False	0	0.985	0.015	0.0
A2A_LIGANDS_923	True	1	0.225	0.775	0.0
A2A_LIGANDS_938	False	0	0.7	0.3	0.0
A2A_LIGANDS_950	True	1	0.0	1.0	0.0
A2A_LIGANDS_955	True	1	0.13	0.87	0.0
A2A_LIGANDS_957	False	0	1.0	0.0	0.0
A2A_LIGANDS_960	False	0	0.55	0.45	0.0
A2A_LIGANDS_961	False	0	0.745	0.255	0.0
A2A_LIGANDS_971	True	1	0.305	0.695	0.0
A2A_LIGANDS_980	False	0	0.58	0.42	0.0
A2A_LIGANDS_990	True	1	0.01	0.99	0.0
A2A_LIGANDS_994	False	1	0.455	0.545	0.0
A2A_LIGANDS_1000	False	1	0.215	0.785	0.0
A2A_LIGANDS_1004	False	0	1.0	0.0	0.0
A2A_LIGANDS_1009	False	1	0.31	0.69	0.0
A2A_LIGANDS_1011	False	1	0.395	0.605	0.0
A2A_LIGANDS_1014	True	1	0.06	0.94	0.0
A2A_LIGANDS_1016	True	1	0.12	0.88	0.0
A2A_LIGANDS_1018	True	1	0.135	0.865	0.0
A2A_LIGANDS_1025	False	0	0.81	0.19	0.0
A2A_LIGANDS_1026	False	1	0.03	0.97	0.0
A2A_LIGANDS_1038	False	1	0.175	0.825	0.0
A2A_LIGANDS_1042	True	0	0.625	0.375	0.0
A2A_LIGANDS_1052	False	0	0.86	0.14	0.0
A2A_LIGANDS_1053	True	1	0.27	0.73	0.0
A2A_LIGANDS_1054	True	1	0.0825	0.9175	0.0
A2A_LIGANDS_1056	False	0	0.71	0.29	0.0
A2A_LIGANDS_1058	True	1	0.015	0.985	0.0
A2A_LIGANDS_1078	False	0	0.6225	0.3775	0.0
A2A_LIGANDS_1081	False	1	0.15	0.85	0.0
A2A_LIGANDS_1088	False	0	0.975	0.025	0.0
A2A_LIGANDS_1090	True	0	1.0	0.0	0.0
A2A_LIGANDS_1101	False	0	0.855	0.145	0.0
A2A_LIGANDS_1103	True	1	0.425	0.575	0.0
A2A_LIGANDS_1111	False	0	0.925	0.075	0.0
A2A_LIGANDS_1113	True	1	0.31	0.69	0.0
A2A_LIGANDS_1122	False	1	0.025	0.975	0.0
A2A_LIGANDS_1126	True	1	0.005	0.995	0.0
A2A_LIGANDS_1129	True	1	0.15	0.85	0.0
A2A_LIGANDS_1132	False	0	0.99	0.01	0.0
A2A_LIGANDS_1134	False	0	0.96	0.04	0.0
A2A_LIGANDS_1142	True	0	0.71	0.29	0.0
A2A_LIGANDS_1153	False	0	0.965	0.035	0.0
A2A_LIGANDS_1159	True	1	0.015	0.985	0.0
A2A_LIGANDS_1165	True	1	0.375	0.625	0.0
A2A_LIGANDS_1171	False	0	0.975	0.025	0.0
A2A_LIGANDS_1174	True	1	0.095	0.905	0.0
A2A_LIGANDS_1177	False	1	0.285	0.715	0.0
A2A_LIGANDS_1189	True	1	0.02	0.98	0.0
A2A_LIGANDS_1206	True	1	0.365	0.635	0.0
A2A_LIGANDS_1209	True	1	0.125	0.875	0.0
A2A_LIGANDS_1213	True	0	0.98	0.02	0.0
A2A_LIGANDS_1221	False	1	0.325	0.675	0.0
A2A_LIGANDS_1245	True	1	0.055	0.945	0.0
A2A_LIGANDS_1257	False	0	0.775	0.225	0.0
A2A_LIGANDS_1261	False	0	0.7	0.3	0.0
A2A_LIGANDS_1271	False	1	0.165	0.835	0.0
A2A_LIGANDS_1272	True	1	0.38	0.62	0.0
A2A_LIGANDS_1277	True	1	0.465	0.535	0.0
A2A_LIGANDS_1285	True	1	0.02	0.98	0.0
A2A_LIGANDS_1288	True	1	0.03	0.97	0.0
A2A_LIGANDS_1290	False	0	0.91	0.09	0.0
A2A_LIGANDS_1292	True	1	0.0	1.0	0.0
A2A_LIGANDS_1297	False	1	0.46	0.54	0.0
A2A_LIGANDS_1298	True	1	0.07	0.93	0.0
A2A_LIGANDS_1301	True	0	0.58	0.42	0.0
A2A_LIGANDS_1306	False	0	0.855	0.145	0.0
A2A_LIGANDS_1310	True	1	0.125	0.875	0.0
A2A_LIGANDS_1320	False	0	0.65	0.35	0.0
A2A_LIGANDS_1325	True	1	0.055	0.945	0.0
A2A_LIGANDS_1332	True	1	0.015	0.985	0.0
A2A_LIGANDS_1335	False	1	0.31	0.69	0.0
A2A_LIGANDS_1337	True	0	0.91	0.09	0.0
A2A_LIGANDS_1339	True	1	0.455	0.545	0.0
A2A_LIGANDS_1344	True	1	0.165	0.835	0.0
A2A_LIGANDS_1373	False	1	0.36	0.64	0.0
A2A_LIGANDS_1374	True	1	0.025	0.975	0.0
A2A_LIGANDS_1382	True	1	0.01	0.99	0.0
A2A_LIGANDS_1383	True	0	0.54	0.46	0.0
A2A_LIGANDS_1402	True	0	0.55	0.45	0.0
A2A_LIGANDS_1410	False	0	0.56	0.44	0.0
A2A_LIGANDS_1420	True	1	0.235	0.765	0.0
A2A_LIGANDS_1434	True	1	0.065	0.935	0.0
A2A_LIGANDS_1438	True	1	0.425	0.575	0.0
A2A_LIGANDS_1453	True	1	0.035	0.965	0.0
A2A_LIGANDS_1454	True	1	0.195	0.805	0.0
A2A_LIGANDS_1458	False	0	0.57	0.43	0.0
A2A_LIGANDS_1461	True	1	0.0	1.0	0.0
A2A_LIGANDS_1467	True	1	0.005	0.995	0.0
A2A_LIGANDS_1472	True	0	0.62	0.38	0.0
A2A_LIGANDS_1478	True	1	0.085	0.915	0.0
A2A_LIGANDS_1489	True	1	0.065	0.935	0.0
A2A_LIGANDS_1497	True	1	0.0	1.0	0.0
A2A_LIGANDS_1501	True	1	0.0	1.0	0.0
A2A_LIGANDS_1505	True	1	0.075	0.925	0.0
A2A_LIGANDS_1512	True	1	0.045	0.955	0.0
A2A_LIGANDS_1513	True	1	0.15	0.85	0.0
A2A_LIGANDS_1515	True	1	0.205	0.795	0.0
A2A_LIGANDS_1519	False	0	0.935	0.065	0.0
A2A_LIGANDS_1520	False	0	0.55	0.45	0.0
A2A_LIGANDS_1527	False	0	1.0	0.0	0.0
A2A_LIGANDS_1528	False	0	0.915	0.085	0.0
A2A_LIGANDS_1529	False	0	0.87	0.13	0.0
A2A_LIGANDS_1535	True	1	0.26	0.74	0.0
A2A_LIGANDS_1545	False	0	0.73	0.27	0.0
A2A_LIGANDS_1559	False	1	0.425	0.575	0.0
A2A_LIGANDS_1561	True	1	0.04	0.96	0.0
A2A_LIGANDS_1564	True	1	0.005	0.995	0.0
A2A_LIGANDS_1567	True	1	0.18	0.82	0.0
A2A_LIGANDS_1569	False	0	0.58	0.42	0.0
A2A_LIGANDS_1579	False	0	0.76	0.24	0.0
A2A_LIGANDS_1581	True	0	0.92	0.08	0.0
A2A_LIGANDS_1583	False	1	0.105	0.895	0.0
A2A_LIGANDS_1592	True	0	0.805	0.195	0.0
A2A_LIGANDS_1605	True	1	0.025	0.975	0.0
A2A_LIGANDS_1606	False	0	1.0	0.0	0.0
A2A_LIGANDS_1609	True	1	0.0	1.0	0.0
A2A_LIGANDS_1619	True	1	0.125	0.875	0.0
A2A_LIGANDS_1639	False	0	0.79	0.21	0.0
A2A_LIGANDS_1647	True	1	0.02	0.98	0.0
A2A_LIGANDS_1648	True	1	0.05	0.95	0.0
A2A_LIGANDS_1663	True	1	0.025	0.975	0.0
A2A_LIGANDS_1668	False	0	0.96	0.04	0.0
A2A_LIGANDS_1685	True	1	0.055	0.945	0.0
A2A_LIGANDS_1686	True	0	0.835	0.165	0.0
A2A_LIGANDS_1692	True	1	0.185	0.815	0.0
A2A_LIGANDS_1696	True	1	0.0	1.0	0.0
A2A_LIGANDS_1697	False	0	0.54	0.46	0.0
A2A_LIGANDS_1710	False	0	0.655	0.345	0.0
A2A_LIGANDS_1714	True	1	0.05	0.95	0.0
A2A_LIGANDS_1715	True	1	0.105	0.895	0.0
A2A_LIGANDS_1718	False	0	0.635	0.365	0.0
A2A_LIGANDS_1731	True	1	0.0	1.0	0.0
A2A_LIGANDS_1746	True	1	0.15	0.85	0.0
A2A_LIGANDS_1747	False	0	0.815	0.185	0.0
A2A_LIGANDS_1761	True	1	0.03	0.97	0.0
A2A_LIGANDS_1764	True	1	0.17	0.83	0.0
A2A_LIGANDS_1774	False	0	0.785	0.215	0.0
A2A_LIGANDS_1779	True	1	0.26	0.74	0.0
A2A_LIGANDS_1785	True	1	0.185	0.815	0.0
A2A_LIGANDS_1797	False	0	0.835	0.165	0.0
A2A_LIGANDS_1798	True	1	0.14	0.86	0.0
A2A_LIGANDS_1800	True	1	0.0	1.0	0.0
A2A_LIGANDS_1817	False	1	0.255	0.745	0.0
A2A_LIGANDS_1822	False	0	0.96	0.04	0.0
A2A_LIGANDS_1823	False	0	0.61	0.39	0.0
A2A_LIGANDS_1826	False	1	0.335	0.665	0.0
A2A_LIGANDS_1841	True	1	0.05	0.95	0.0
A2A_LIGANDS_1851	True	1	0.04	0.96	0.0
A2A_LIGANDS_1852	False	1	0.285	0.715	0.0
A2A_LIGANDS_1862	False	0	0.55	0.45	0.0
A2A_LIGANDS_1863	False	0	0.92	0.08	0.0
A2A_LIGANDS_1873	True	1	0.325	0.675	0.0
A2A_LIGANDS_1899	False	0	0.88	0.12	0.0
A2A_LIGANDS_1905	True	1	0.005	0.995	0.0
A2A_LIGANDS_1906	True	1	0.16	0.84	0.0
A2A_LIGANDS_1908	False	1	0.26	0.74	0.0
A2A_LIGANDS_1909	True	1	0.105	0.895	0.0
A2A_LIGANDS_1932	False	1	0.325	0.675	0.0
A2A_LIGANDS_1934	True	1	0.01	0.99	0.0
A2A_LIGANDS_1935	True	0	0.62	0.38	0.0
A2A_LIGANDS_1943	False	0	0.765	0.235	0.0
A2A_LIGANDS_1946	False	0	0.965	0.035	0.0
A2A_LIGANDS_1958	True	1	0.38	0.62	0.0
A2A_LIGANDS_1960	True	1	0.32	0.68	0.0
A2A_LIGANDS_1962	False	0	0.955	0.045	0.0
A2A_LIGANDS_1967	True	1	0.015	0.985	0.0
A2A_LIGANDS_1968	True	1	0.03	0.97	0.0
A2A_LIGANDS_1974	True	1	0.005	0.995	0.0
A2A_LIGANDS_1985	True	1	0.08	0.92	0.0
A2A_LIGANDS_1986	False	0	0.73	0.27	0.0
A2A_LIGANDS_2017	True	1	0.09	0.91	0.0
A2A_LIGANDS_2030	False	0	0.985	0.015	0.0
A2A_LIGANDS_2050	False	0	0.64	0.36	0.0
A2A_LIGANDS_2059	True	1	0.01	0.99	0.0
A2A_LIGANDS_2062	True	1	0.345	0.655	0.0
A2A_LIGANDS_2064	True	0	0.695	0.305	0.0
A2A_LIGANDS_2066	True	1	0.395	0.605	0.0
A2A_LIGANDS_2069	False	1	0.445	0.555	0.0
A2A_LIGANDS_2088	False	1	0.31	0.69	0.0
A2A_LIGANDS_2092	False	1	0.185	0.815	0.0
A2A_LIGANDS_2100	True	1	0.0	1.0	0.0
A2A_LIGANDS_2108	False	0	0.955	0.045	0.0
A2A_LIGANDS_2117	False	0	0.875	0.125	0.0
A2A_LIGANDS_2145	True	1	0.06	0.94	0.0
A2A_LIGANDS_2146	True	1	0.345	0.655	0.0
A2A_LIGANDS_2156	True	1	0.03	0.97	0.0
A2A_LIGANDS_2158	True	1	0.185	0.815	0.0
A2A_LIGANDS_2162	True	1	0.34	0.66	0.0
A2A_LIGANDS_2168	True	1	0.055	0.945	0.0
A2A_LIGANDS_2170	False	0	0.68	0.32	0.0
A2A_LIGANDS_2171	True	1	0.0	1.0	0.0
A2A_LIGANDS_2172	False	1	0.08	0.92	0.0
A2A_LIGANDS_2176	True	1	0.17	0.83	0.0
A2A_LIGANDS_2185	True	1	0.29	0.71	0.0
A2A_LIGANDS_2193	True	1	0.0	1.0	0.0
A2A_LIGANDS_2201	True	1	0.055	0.945	0.0
A2A_LIGANDS_2217	True	1	0.095	0.905	0.0
A2A_LIGANDS_2219	True	0	0.715	0.285	0.0
A2A_LIGANDS_2229	True	1	0.01	0.99	0.0
A2A_LIGANDS_2235	True	1	0.04	0.96	0.0
A2A_LIGANDS_2243	True	1	0.26	0.74	0.0
A2A_LIGANDS_2249	True	1	0.005	0.995	0.0
A2A_LIGANDS_2259	True	1	0.115	0.885	0.0
A2A_LIGANDS_2260	True	1	0.03	0.97	0.0
A2A_LIGANDS_2262	True	1	0.325	0.675	0.0
A2A_LIGANDS_2266	True	1	0.06	0.94	0.0
A2A_LIGANDS_2268	False	0	0.76	0.24	0.0
A2A_LIGANDS_2280	False	1	0.0	1.0	0.0
A2A_LIGANDS_2285	True	1	0.0	1.0	0.0
A2A_LIGANDS_2289	True	1	0.055	0.945	0.0
A2A_LIGANDS_2292	True	1	0.035	0.965	0.0
A2A_LIGANDS_2293	False	1	0.24	0.76	0.0
A2A_LIGANDS_2314	True	1	0.1	0.9	0.0
A2A_LIGANDS_2315	False	1	0.09	0.91	0.0
A2A_LIGANDS_2321	False	0	0.565	0.435	0.0
A2A_LIGANDS_2322	True	1	0.005	0.995	0.0
A2A_LIGANDS_2332	False	1	0.295	0.705	0.0
A2A_LIGANDS_2336	True	1	0.1425	0.8575	0.0
A2A_LIGANDS_2337	False	1	0.315	0.685	0.0
A2A_LIGANDS_2348	False	0	0.985	0.015	0.0
A2A_LIGANDS_2357	True	1	0.005	0.995	0.0
A2A_LIGANDS_2366	True	1	0.46	0.54	0.0
A2A_LIGANDS_2375	True	1	0.015	0.985	0.0
A2A_LIGANDS_2400	True	0	0.54	0.46	0.0
A2A_LIGANDS_2403	True	0	0.895	0.105	0.0
A2A_LIGANDS_2416	True	1	0.005	0.995	0.0
A2A_LIGANDS_2427	True	0	0.64	0.36	0.0
A2A_LIGANDS_2433	True	1	0.08	0.92	0.0
A2A_LIGANDS_2442	False	0	0.965	0.035	0.0
A2A_LIGANDS_2444	True	1	0.205	0.795	0.0
A2A_LIGANDS_2445	True	1	0.0	1.0	0.0
A2A_LIGANDS_2473	True	1	0.11	0.89	0.0
A2A_LIGANDS_2475	True	1	0.12	0.88	0.0
A2A_LIGANDS_2478	True	0	0.54	0.46	0.0
A2A_LIGANDS_2486	False	1	0.08	0.92	0.0
A2A_LIGANDS_2500	True	1	0.3	0.7	0.0
A2A_LIGANDS_2511	True	1	0.18	0.82	0.0
A2A_LIGANDS_2512	True	1	0.1	0.9	0.0
A2A_LIGANDS_2517	True	1	0.115	0.885	0.0
A2A_LIGANDS_2518	False	0	0.945	0.055	0.0
A2A_LIGANDS_2528	True	1	0.195	0.805	0.0
A2A_LIGANDS_2535	True	1	0.25	0.75	0.0
A2A_LIGANDS_2538	True	1	0.42	0.58	0.0
A2A_LIGANDS_2545	True	1	0.25	0.75	0.0
A2A_LIGANDS_2550	True	1	0.0	1.0	0.0
A2A_LIGANDS_2577	False	0	0.995	0.005	0.0
A2A_LIGANDS_2579	False	0	0.6475	0.3525	0.0
A2A_LIGANDS_2582	False	0	0.965	0.035	0.0
A2A_LIGANDS_2587	True	1	0.085	0.915	0.0
A2A_LIGANDS_2588	False	1	0.15	0.85	0.0
A2A_LIGANDS_2596	True	1	0.4	0.6	0.0
A2A_LIGANDS_2613	False	0	0.9375	0.0625	0.0
A2A_LIGANDS_2615	True	1	0.06	0.94	0.0
A2A_LIGANDS_2625	True	1	0.08	0.92	0.0
A2A_LIGANDS_2629	False	0	0.5	0.5	0.0
A2A_LIGANDS_2631	True	1	0.06	0.94	0.0
A2A_LIGANDS_2638	True	1	0.12	0.88	0.0
A2A_LIGANDS_2639	True	1	0.075	0.925	0.0
A2A_LIGANDS_2642	False	1	0.365	0.635	0.0
A2A_LIGANDS_2644	False	1	0.4075	0.5925	0.0
A2A_LIGANDS_2676	True	1	0.135	0.865	0.0
A2A_LIGANDS_2686	True	1	0.045	0.955	0.0
A2A_LIGANDS_2690	True	1	0.01	0.99	0.0
A2A_LIGANDS_2691	True	0	0.765	0.235	0.0
A2A_LIGANDS_2696	False	1	0.31	0.69	0.0
A2A_LIGANDS_2720	True	1	0.04	0.96	0.0
A2A_LIGANDS_2722	False	1	0.04	0.96	0.0
A2A_LIGANDS_2733	False	1	0.485	0.515	0.0
A2A_LIGANDS_2735	True	1	0.04	0.96	0.0
A2A_LIGANDS_2750	True	1	0.005	0.995	0.0
A2A_LIGANDS_2751	False	1	0.18	0.82	0.0
A2A_LIGANDS_2753	True	1	0.105	0.895	0.0
A2A_LIGANDS_2761	True	1	0.025	0.975	0.0
A2A_LIGANDS_2773	True	0	0.705	0.295	0.0
A2A_LIGANDS_2774	False	0	0.605	0.395	0.0
A2A_LIGANDS_2775	True	1	0.34	0.66	0.0
A2A_LIGANDS_2779	True	1	0.005	0.995	0.0
A2A_LIGANDS_2789	True	1	0.03	0.97	0.0
A2A_LIGANDS_2790	False	1	0.145	0.855	0.0
A2A_LIGANDS_2813	True	1	0.03	0.97	0.0
A2A_LIGANDS_2815	True	1	0.05	0.95	0.0
A2A_LIGANDS_2821	True	1	0.1775	0.8225	0.0
A2A_LIGANDS_2823	False	1	0.015	0.985	0.0
A2A_LIGANDS_2824	True	1	0.005	0.995	0.0
A2A_LIGANDS_2828	True	0	0.685	0.315	0.0
A2A_LIGANDS_2829	False	0	0.79	0.21	0.0
A2A_LIGANDS_2831	True	1	0.015	0.985	0.0
A2A_LIGANDS_2839	True	1	0.06	0.94	0.0
A2A_LIGANDS_2842	False	1	0.42	0.58	0.0
A2A_LIGANDS_2845	True	1	0.185	0.815	0.0
A2A_LIGANDS_2846	True	1	0.075	0.925	0.0
