QSPRID	GABAAalpha_Label	GABAAalpha_Prediction
tutorial_data_4685	8.948	7.802
tutorial_data_1284	8.79	8.23
tutorial_data_0650	5.204	6.278
tutorial_data_0558	7.492	7.205
tutorial_data_0561	7.98	6.981
tutorial_data_2322	6.72	7.965
tutorial_data_7754	9.0	6.823
tutorial_data_6517	6.117	6.635
tutorial_data_8104	6.565	7.307
tutorial_data_5876	7.705	7.753
tutorial_data_3597	9.4	8.138
tutorial_data_1658	4.72	5.611
tutorial_data_5497	7.54	7.315
tutorial_data_1036	6.973	6.785
tutorial_data_7932	7.25	7.186
tutorial_data_5468	8.06	9.493
tutorial_data_2675	6.77	6.808
tutorial_data_0186	4.57	3.66
tutorial_data_0580	4.69	5.439
tutorial_data_7973	5.0	6.637
tutorial_data_5151	8.66	8.54
tutorial_data_1588	7.6	5.906
tutorial_data_1228	5.039	5.329
tutorial_data_0666	5.51	6.429
tutorial_data_0627	7.06	7.734
tutorial_data_4249	7.8	8.006
tutorial_data_0512	6.767	6.539
tutorial_data_0226	6.0	6.694
tutorial_data_7139	6.53	6.003
tutorial_data_6466	4.0	5.827
tutorial_data_2451	6.652	6.003
tutorial_data_1226	5.039	5.937
tutorial_data_2444	7.37	5.3
tutorial_data_5416	8.42	8.942
tutorial_data_6049	7.2	6.526
tutorial_data_8209	7.7	7.68
tutorial_data_8059	5.79	6.325
tutorial_data_0722	7.547	7.452
tutorial_data_3054	9.0	7.77
tutorial_data_7738	7.72	6.271
tutorial_data_1640	9.52	9.42
tutorial_data_8076	6.301	7.045
tutorial_data_1975	8.02	8.119
tutorial_data_3647	8.8	8.251
tutorial_data_6739	7.82	7.473
tutorial_data_3237	7.27	8.348
tutorial_data_6747	7.76	7.685
tutorial_data_3701	8.52	8.039
tutorial_data_5480	7.85	9.587
tutorial_data_5178	6.885	7.69
tutorial_data_1664	5.82	5.983
tutorial_data_3580	9.22	8.304
tutorial_data_2605	6.3	6.133
tutorial_data_7945	6.75	6.867
tutorial_data_2848	8.07	7.827
tutorial_data_3612	8.89	8.102
tutorial_data_1611	8.722	8.381
tutorial_data_8084	7.038	7.507
tutorial_data_1621	7.9	8.14
tutorial_data_4708	8.87	8.349
tutorial_data_5873	9.62	7.938
tutorial_data_5099	8.2	7.887
tutorial_data_1999	8.0	6.197
tutorial_data_2884	4.47	5.321
tutorial_data_5466	8.127	8.35
tutorial_data_5401	9.468	7.685
tutorial_data_8206	7.488	7.961
tutorial_data_1445	7.465	7.552
tutorial_data_1238	6.675	6.267
tutorial_data_3598	7.98	7.619
tutorial_data_2331	9.028	7.936
tutorial_data_3191	7.51	8.539
tutorial_data_2528	7.8	7.328
tutorial_data_7466	8.3	7.245
tutorial_data_3573	7.43	7.434
tutorial_data_7710	6.77	6.65
tutorial_data_5938	8.289	6.352
tutorial_data_1319	5.039	5.446
tutorial_data_5840	9.108	9.643
tutorial_data_3721	7.93	8.196
tutorial_data_5561	7.481	7.948
tutorial_data_5148	7.89	8.695
tutorial_data_0297	8.54	8.318
tutorial_data_1109	7.607	6.224
tutorial_data_8167	5.763	6.568
tutorial_data_1458	5.36	5.568
tutorial_data_0868	6.41	5.812
tutorial_data_6732	8.19	7.804
tutorial_data_4995	5.57	5.941
tutorial_data_1808	7.46	7.831
tutorial_data_1202	5.0	5.584
tutorial_data_7749	5.45	6.026
tutorial_data_1669	5.19	5.928
tutorial_data_1633	9.22	8.835
tutorial_data_1696	8.178	6.683
tutorial_data_6767	6.09	6.117
tutorial_data_4269	6.21	6.664
tutorial_data_8190	6.139	6.391
tutorial_data_5916	9.447	9.072
tutorial_data_0320	8.18	6.67
tutorial_data_4727	7.85	8.312
tutorial_data_1227	5.039	5.401
tutorial_data_3547	7.06	7.08
tutorial_data_0693	4.96	6.221
tutorial_data_5443	7.34	7.256
tutorial_data_1703	7.298	6.738
tutorial_data_0348	7.12	6.136
tutorial_data_4417	6.0	7.316
tutorial_data_3467	4.0	5.082
tutorial_data_3650	8.25	8.504
tutorial_data_1219	4.625	5.512
tutorial_data_4423	9.1	7.965
tutorial_data_2473	7.05	7.175
tutorial_data_3661	7.88	8.173
tutorial_data_7813	7.099	7.414
tutorial_data_0274	5.0	5.643
tutorial_data_1272	8.22	7.639
tutorial_data_5465	9.343	8.275
tutorial_data_4146	5.5	5.608
tutorial_data_4726	7.99	8.379
tutorial_data_7769	5.52	5.399
tutorial_data_2178	7.587	6.791
tutorial_data_3892	8.52	8.169
tutorial_data_5694	8.267	8.521
tutorial_data_7113	6.578	6.911
tutorial_data_3708	8.64	7.798
tutorial_data_3053	7.86	7.713
tutorial_data_5501	7.595	7.624
tutorial_data_2578	6.725	7.184
tutorial_data_3734	9.3	8.395
tutorial_data_4712	8.39	8.406
tutorial_data_4549	9.042	7.43
tutorial_data_8107	7.642	7.501
tutorial_data_3622	8.64	8.252
tutorial_data_2279	7.57	7.909
tutorial_data_0636	8.17	7.662
tutorial_data_3635	8.77	7.794
tutorial_data_5878	7.64	7.496
tutorial_data_3124	6.82	6.56
tutorial_data_4147	5.5	5.685
tutorial_data_1606	7.97	8.184
tutorial_data_1645	8.19	8.968
tutorial_data_8204	6.755	7.919
tutorial_data_4411	9.087	7.376
tutorial_data_5874	7.72	7.363
tutorial_data_3752	7.46	7.646
tutorial_data_1806	7.85	7.852
tutorial_data_7074	5.285	5.66
tutorial_data_0725	8.505	6.858
tutorial_data_1661	5.75	5.756
tutorial_data_1539	8.54	7.882
tutorial_data_0086	6.533	6.46
tutorial_data_5092	6.752	7.699
tutorial_data_5407	8.021	7.667
tutorial_data_4714	9.55	8.305
tutorial_data_2475	8.8	8.315
tutorial_data_2439	7.307	6.468
tutorial_data_3682	7.55	8.25
tutorial_data_5464	9.67	8.433
tutorial_data_7872	8.67	8.064
tutorial_data_0438	8.638	9.625
tutorial_data_2917	7.195	6.315
tutorial_data_3713	8.82	8.318
tutorial_data_2482	7.27	7.464
tutorial_data_7108	6.54	7.659
tutorial_data_6745	7.65	7.892
tutorial_data_4716	8.245	8.365
tutorial_data_2450	6.5	6.113
tutorial_data_0869	6.7	6.077
tutorial_data_0060	6.88	7.622
tutorial_data_6159	7.73	7.092
tutorial_data_3529	7.37	7.327
tutorial_data_0180	5.42	4.673
tutorial_data_2674	5.325	6.087
tutorial_data_2397	8.14	7.216
tutorial_data_3029	7.28	7.181
tutorial_data_0832	5.523	6.228
tutorial_data_0727	8.065	7.288
tutorial_data_1204	5.0	5.974
tutorial_data_1697	8.45	7.07
tutorial_data_0826	6.805	6.563
tutorial_data_8083	7.81	7.199
tutorial_data_1199	4.5	5.03
tutorial_data_6700	7.91	7.632
tutorial_data_7770	7.15	6.076
tutorial_data_4304	5.5	6.193
tutorial_data_0867	6.89	6.07
tutorial_data_6760	6.18	6.631
tutorial_data_7291	8.696	6.88
tutorial_data_2935	7.358	7.624
tutorial_data_1988	6.99	7.534
tutorial_data_8102	7.735	7.102
tutorial_data_0821	6.427	6.374
tutorial_data_6648	8.385	8.135
tutorial_data_3252	6.523	7.024
tutorial_data_4186	8.035	7.746
tutorial_data_3767	7.65	7.279
tutorial_data_0062	8.64	8.525
tutorial_data_4913	7.198	7.525
tutorial_data_0195	4.6	4.407
tutorial_data_2880	7.705	6.887
tutorial_data_0069	7.346	7.423
tutorial_data_1285	8.49	7.685
tutorial_data_5559	9.34	8.028
tutorial_data_1620	8.05	7.434
tutorial_data_1867	7.966	6.332
tutorial_data_0427	5.0	6.333
tutorial_data_0543	7.47	7.978
tutorial_data_3551	10.0	8.04
tutorial_data_7761	5.6	6.386
tutorial_data_4251	6.264	6.169
tutorial_data_7467	7.19	6.928
tutorial_data_3703	8.35	8.111
tutorial_data_2710	7.86	7.902
tutorial_data_8110	9.022	7.417
tutorial_data_1841	5.039	5.872
tutorial_data_1608	7.822	8.108
tutorial_data_2992	8.962	8.846
tutorial_data_5001	5.0	6.199
tutorial_data_0577	8.268	6.592
tutorial_data_8075	6.738	7.516
tutorial_data_3544	8.12	7.748
tutorial_data_6060	5.62	6.687
tutorial_data_2696	6.6	6.4
tutorial_data_3719	8.39	8.23
tutorial_data_0100	6.35	6.356
tutorial_data_1103	8.338	6.666
tutorial_data_1080	5.94	6.069
tutorial_data_0190	4.77	3.668
tutorial_data_0422	7.4	7.47
tutorial_data_1802	6.67	8.239
tutorial_data_3533	8.43	7.809
tutorial_data_1777	8.84	7.685
tutorial_data_6048	6.82	6.783
tutorial_data_1916	7.72	7.11
tutorial_data_7938	6.627	6.853
tutorial_data_0082	5.56	7.287
tutorial_data_3543	7.75	7.382
tutorial_data_5477	8.96	9.709
tutorial_data_4520	8.265	7.333
tutorial_data_1721	6.465	6.38
tutorial_data_0193	5.03	4.256
tutorial_data_8031	6.293	6.252
tutorial_data_5146	8.7	8.076
tutorial_data_2498	6.96	6.685
tutorial_data_5091	7.627	6.551
tutorial_data_1609	7.682	7.751
tutorial_data_3276	7.3	6.398
tutorial_data_2878	6.783	7.156
tutorial_data_0067	6.43	7.379
tutorial_data_7161	6.66	6.828
tutorial_data_5560	8.865	8.191
tutorial_data_2702	5.69	6.084
tutorial_data_4578	5.0	6.744
tutorial_data_2850	7.0	7.722
tutorial_data_4504	7.325	7.771
tutorial_data_5456	9.28	9.667
tutorial_data_7133	7.61	7.469
tutorial_data_5875	7.57	8.214
tutorial_data_7997	8.1	6.293
tutorial_data_5905	7.01	7.765
tutorial_data_1190	6.595	6.064
tutorial_data_0081	6.441	6.994
tutorial_data_5679	7.118	6.555
tutorial_data_0433	7.42	8.019
tutorial_data_0929	4.17	5.036
tutorial_data_1198	4.43	5.273
tutorial_data_6471	7.23	6.212
tutorial_data_8064	7.443	7.066
tutorial_data_3057	7.48	7.44
tutorial_data_8048	5.22	6.855
tutorial_data_2280	5.02	7.34
tutorial_data_1314	6.64	5.903
tutorial_data_1384	5.039	5.732
tutorial_data_5188	6.528	7.229
tutorial_data_4993	5.05	5.903
tutorial_data_4980	7.41	8.144
tutorial_data_5788	7.495	7.485
tutorial_data_1203	5.0	5.456
tutorial_data_5180	6.955	7.653
tutorial_data_3646	8.57	8.106
tutorial_data_1656	6.35	5.582
tutorial_data_0450	9.22	9.353
tutorial_data_4144	5.5	5.882
tutorial_data_4506	6.31	7.858
tutorial_data_8090	7.892	7.718
tutorial_data_3888	6.058	7.434
tutorial_data_0876	8.64	7.65
tutorial_data_8079	7.54	7.76
tutorial_data_3629	8.52	8.516
tutorial_data_3754	7.68	7.821
tutorial_data_6059	5.75	6.635
tutorial_data_7735	6.42	6.572
tutorial_data_8077	6.301	7.618
tutorial_data_6751	7.78	7.745
tutorial_data_5090	8.096	6.74
tutorial_data_0440	9.13	9.501
tutorial_data_6735	7.75	7.785
tutorial_data_7998	7.32	6.289
tutorial_data_6380	8.32	5.835
tutorial_data_0329	4.523	6.908
tutorial_data_7943	7.255	6.392
tutorial_data_1377	8.398	7.36
tutorial_data_2449	6.44	5.765
tutorial_data_0076	6.669	7.56
tutorial_data_1366	4.66	5.116
tutorial_data_5207	7.998	8.7
tutorial_data_1135	9.92	8.364
tutorial_data_8169	7.29	7.238
tutorial_data_0470	4.62	6.291
tutorial_data_6755	7.7	7.419
tutorial_data_6494	4.0	5.707
tutorial_data_7080	6.17	5.75
tutorial_data_1107	9.92	7.935
tutorial_data_3789	4.0	5.74
tutorial_data_0817	5.523	6.029
tutorial_data_8072	7.875	7.613
tutorial_data_5183	6.34	7.28
tutorial_data_4688	8.522	7.394
tutorial_data_0184	4.26	4.385
tutorial_data_3536	8.13	7.796
tutorial_data_6371	6.095	5.468
tutorial_data_3605	7.93	7.843
tutorial_data_2326	7.835	7.374
tutorial_data_5478	9.55	9.746
tutorial_data_5463	9.645	8.255
tutorial_data_5143	6.87	7.81
