QSPRID	pchembl_value_Median_class_Label	pchembl_value_Median_class_Prediction	pchembl_value_Median_class_ProbabilityClass_0	pchembl_value_Median_class_ProbabilityClass_1
A2A_LIGANDS_0327	True	1	0.235	0.765
A2A_LIGANDS_0334	True	1	0.315	0.685
A2A_LIGANDS_0343	True	1	0.115	0.885
A2A_LIGANDS_0353	True	1	0.025	0.975
A2A_LIGANDS_0371	True	1	0.36	0.64
A2A_LIGANDS_0373	True	1	0.21	0.79
A2A_LIGANDS_0377	False	0	0.675	0.325
A2A_LIGANDS_0384	False	1	0.315	0.685
A2A_LIGANDS_0386	False	0	0.905	0.095
A2A_LIGANDS_0392	True	1	0.05	0.95
A2A_LIGANDS_0395	True	1	0.26	0.74
A2A_LIGANDS_0396	True	1	0.132	0.868
A2A_LIGANDS_0397	True	1	0.03	0.97
A2A_LIGANDS_0400	True	1	0.455	0.545
A2A_LIGANDS_0416	True	1	0.245	0.755
A2A_LIGANDS_0437	True	1	0.02	0.98
A2A_LIGANDS_0439	True	1	0.32	0.68
A2A_LIGANDS_0441	True	1	0.135	0.865
A2A_LIGANDS_0446	True	1	0.175	0.825
A2A_LIGANDS_0455	False	0	0.86	0.14
A2A_LIGANDS_0459	True	1	0.025	0.975
A2A_LIGANDS_0461	True	1	0.095	0.905
A2A_LIGANDS_0463	True	1	0.1	0.9
A2A_LIGANDS_0465	True	1	0.065	0.935
A2A_LIGANDS_0468	True	1	0.278	0.722
A2A_LIGANDS_0470	True	1	0.155	0.845
A2A_LIGANDS_0471	False	0	0.793	0.207
A2A_LIGANDS_0472	True	1	0.015	0.985
A2A_LIGANDS_0474	True	1	0.135	0.865
A2A_LIGANDS_0476	True	1	0.195	0.805
A2A_LIGANDS_0477	True	1	0.185	0.815
A2A_LIGANDS_0480	True	1	0.062	0.938
A2A_LIGANDS_0488	False	0	0.64	0.36
A2A_LIGANDS_0492	True	1	0.075	0.925
A2A_LIGANDS_0501	True	1	0.16	0.84
A2A_LIGANDS_0504	False	0	0.725	0.275
A2A_LIGANDS_0507	False	0	0.705	0.295
A2A_LIGANDS_0510	True	1	0.14	0.86
A2A_LIGANDS_0513	True	1	0.02	0.98
A2A_LIGANDS_0514	True	1	0.22	0.78
A2A_LIGANDS_0515	False	1	0.39	0.61
A2A_LIGANDS_0517	False	0	0.88	0.12
A2A_LIGANDS_0520	True	1	0.175	0.825
A2A_LIGANDS_0521	True	1	0.46	0.54
A2A_LIGANDS_0526	False	0	0.885	0.115
A2A_LIGANDS_0529	True	0	0.605	0.395
A2A_LIGANDS_0537	True	1	0.25	0.75
A2A_LIGANDS_0539	False	0	0.73	0.27
A2A_LIGANDS_0545	False	1	0.3	0.7
A2A_LIGANDS_0546	False	1	0.375	0.625
A2A_LIGANDS_0550	True	1	0.14	0.86
A2A_LIGANDS_0551	True	1	0.43	0.57
A2A_LIGANDS_0558	True	1	0.325	0.675
A2A_LIGANDS_0571	False	0	0.925	0.075
A2A_LIGANDS_0572	False	0	0.665	0.335
A2A_LIGANDS_0588	False	0	0.78	0.22
A2A_LIGANDS_0597	True	1	0.355	0.645
A2A_LIGANDS_0600	False	0	0.635	0.365
A2A_LIGANDS_0610	True	0	0.82	0.18
A2A_LIGANDS_0618	True	1	0.085	0.915
A2A_LIGANDS_0622	True	1	0.292	0.708
A2A_LIGANDS_0624	True	1	0.025	0.975
A2A_LIGANDS_0626	True	0	0.51	0.49
A2A_LIGANDS_0627	True	1	0.21	0.79
A2A_LIGANDS_0636	True	1	0.335	0.665
A2A_LIGANDS_0638	True	1	0.17	0.83
A2A_LIGANDS_0645	True	1	0.01	0.99
A2A_LIGANDS_0646	True	1	0.08	0.92
A2A_LIGANDS_0654	False	0	0.745	0.255
A2A_LIGANDS_0666	True	1	0.01	0.99
A2A_LIGANDS_0667	True	1	0.38	0.62
A2A_LIGANDS_0672	False	0	0.755	0.245
A2A_LIGANDS_0675	True	1	0.085	0.915
A2A_LIGANDS_0682	True	0	0.59	0.41
A2A_LIGANDS_0685	False	0	0.895	0.105
A2A_LIGANDS_0690	False	0	0.66	0.34
A2A_LIGANDS_0694	False	1	0.185	0.815
A2A_LIGANDS_0695	True	1	0.1	0.9
A2A_LIGANDS_0702	False	0	0.565	0.435
A2A_LIGANDS_0703	False	0	0.745	0.255
A2A_LIGANDS_0707	True	1	0.03	0.97
A2A_LIGANDS_0716	True	0	0.915	0.085
A2A_LIGANDS_0719	False	0	0.505	0.495
A2A_LIGANDS_0720	True	1	0.065	0.935
A2A_LIGANDS_0727	False	0	0.905	0.095
A2A_LIGANDS_0728	False	0	0.88	0.12
A2A_LIGANDS_0732	False	0	0.755	0.245
A2A_LIGANDS_0736	True	1	0.17	0.83
A2A_LIGANDS_0740	False	0	0.601	0.399
A2A_LIGANDS_0745	True	1	0.05	0.95
A2A_LIGANDS_0747	True	1	0.345	0.655
A2A_LIGANDS_0750	True	1	0.058	0.942
A2A_LIGANDS_0754	True	1	0.005	0.995
A2A_LIGANDS_0761	False	1	0.34	0.66
A2A_LIGANDS_0762	False	0	0.755	0.245
A2A_LIGANDS_0775	True	1	0.355	0.645
A2A_LIGANDS_0782	True	1	0.04	0.96
A2A_LIGANDS_0798	False	0	0.72	0.28
A2A_LIGANDS_0799	True	1	0.145	0.855
A2A_LIGANDS_0804	True	1	0.045	0.955
A2A_LIGANDS_0806	False	0	0.65	0.35
A2A_LIGANDS_0809	False	0	0.725	0.275
A2A_LIGANDS_0811	False	0	0.775	0.225
A2A_LIGANDS_0821	True	1	0.19	0.81
A2A_LIGANDS_0826	False	0	0.5	0.5
A2A_LIGANDS_0832	False	1	0.41	0.59
A2A_LIGANDS_0834	True	1	0.005	0.995
A2A_LIGANDS_0837	False	0	0.985	0.015
A2A_LIGANDS_0838	True	1	0.14	0.86
A2A_LIGANDS_0841	False	1	0.055	0.945
A2A_LIGANDS_0843	True	1	0.035	0.965
A2A_LIGANDS_0852	True	1	0.052	0.948
A2A_LIGANDS_0854	True	1	0.108	0.892
A2A_LIGANDS_0858	True	1	0.37	0.63
A2A_LIGANDS_0859	False	0	0.96	0.04
A2A_LIGANDS_0864	False	0	0.815	0.185
A2A_LIGANDS_0868	False	0	0.615	0.385
A2A_LIGANDS_0871	False	0	0.94	0.06
A2A_LIGANDS_0874	True	1	0.145	0.855
A2A_LIGANDS_0876	False	1	0.415	0.585
A2A_LIGANDS_0877	False	0	0.852	0.148
A2A_LIGANDS_0880	True	0	0.635	0.365
A2A_LIGANDS_0882	False	1	0.39	0.61
A2A_LIGANDS_0895	True	1	0.38	0.62
A2A_LIGANDS_0897	True	1	0.255	0.745
A2A_LIGANDS_0903	False	1	0.28	0.72
A2A_LIGANDS_0907	True	1	0.185	0.815
A2A_LIGANDS_0927	False	0	0.85	0.15
A2A_LIGANDS_0929	False	1	0.25	0.75
A2A_LIGANDS_0931	False	1	0.35	0.65
A2A_LIGANDS_0945	False	0	0.71	0.29
A2A_LIGANDS_0947	False	0	0.83	0.17
A2A_LIGANDS_0950	False	1	0.19	0.81
A2A_LIGANDS_0953	True	1	0.145	0.855
A2A_LIGANDS_0965	False	1	0.315	0.685
A2A_LIGANDS_0969	True	1	0.375	0.625
A2A_LIGANDS_0970	True	1	0.215	0.785
A2A_LIGANDS_0973	False	1	0.165	0.835
A2A_LIGANDS_0975	False	0	0.635	0.365
A2A_LIGANDS_0977	False	0	0.82	0.18
A2A_LIGANDS_0978	True	1	0.015	0.985
A2A_LIGANDS_0980	False	0	0.575	0.425
A2A_LIGANDS_0982	False	0	0.785	0.215
A2A_LIGANDS_0997	True	1	0.245	0.755
A2A_LIGANDS_1013	True	1	0.34	0.66
A2A_LIGANDS_1018	False	0	0.605	0.395
A2A_LIGANDS_1034	False	0	0.52	0.48
A2A_LIGANDS_1040	True	1	0.27	0.73
A2A_LIGANDS_1042	False	0	0.76	0.24
A2A_LIGANDS_1045	False	1	0.425	0.575
A2A_LIGANDS_1047	True	1	0.1	0.9
A2A_LIGANDS_1051	True	1	0.025	0.975
A2A_LIGANDS_1060	True	1	0.255	0.745
A2A_LIGANDS_1061	True	0	0.77	0.23
A2A_LIGANDS_1064	False	0	0.92	0.08
A2A_LIGANDS_1071	False	0	0.51	0.49
A2A_LIGANDS_1077	True	1	0.09	0.91
A2A_LIGANDS_1098	True	1	0.055	0.945
A2A_LIGANDS_1099	True	1	0.45	0.55
A2A_LIGANDS_1101	True	1	0.04	0.96
A2A_LIGANDS_1110	True	1	0.475	0.525
A2A_LIGANDS_1111	False	0	0.86	0.14
A2A_LIGANDS_1115	True	1	0.055	0.945
A2A_LIGANDS_1125	False	1	0.435	0.565
A2A_LIGANDS_1131	False	0	0.845	0.155
A2A_LIGANDS_1139	True	1	0.26	0.74
A2A_LIGANDS_1140	True	1	0.375	0.625
A2A_LIGANDS_1142	True	1	0.37	0.63
A2A_LIGANDS_1144	False	0	0.59	0.41
A2A_LIGANDS_1150	False	0	0.675	0.325
A2A_LIGANDS_1163	True	1	0.085	0.915
A2A_LIGANDS_1167	True	1	0.14	0.86
A2A_LIGANDS_1176	False	0	0.845	0.155
A2A_LIGANDS_1188	True	1	0.12	0.88
A2A_LIGANDS_1189	True	1	0.15	0.85
A2A_LIGANDS_1191	False	1	0.425	0.575
A2A_LIGANDS_1194	False	0	0.82	0.18
A2A_LIGANDS_1196	False	0	0.88	0.12
A2A_LIGANDS_1200	True	1	0.005	0.995
A2A_LIGANDS_1204	True	1	0.335	0.665
A2A_LIGANDS_1208	True	1	0.015	0.985
A2A_LIGANDS_1209	False	0	0.775	0.225
A2A_LIGANDS_1216	True	1	0.293	0.707
A2A_LIGANDS_1225	True	1	0.28	0.72
A2A_LIGANDS_1229	True	1	0.31	0.69
A2A_LIGANDS_1233	True	1	0.03	0.97
A2A_LIGANDS_1248	True	1	0.485	0.515
A2A_LIGANDS_1255	False	1	0.285	0.715
A2A_LIGANDS_1256	True	1	0.355	0.645
A2A_LIGANDS_1265	False	0	0.975	0.025
A2A_LIGANDS_1266	True	1	0.295	0.705
A2A_LIGANDS_1269	False	0	0.93	0.07
A2A_LIGANDS_1279	True	1	0.13	0.87
A2A_LIGANDS_1285	False	0	0.91	0.09
A2A_LIGANDS_1300	False	1	0.29	0.71
A2A_LIGANDS_1304	True	1	0.135	0.865
A2A_LIGANDS_1312	False	0	0.835	0.165
A2A_LIGANDS_1314	False	0	0.815	0.185
A2A_LIGANDS_1317	False	0	0.57	0.43
A2A_LIGANDS_1318	True	1	0.0	1.0
A2A_LIGANDS_1320	True	1	0.035	0.965
A2A_LIGANDS_1323	False	1	0.438	0.562
A2A_LIGANDS_1346	True	0	0.89	0.11
A2A_LIGANDS_1348	True	1	0.028	0.972
A2A_LIGANDS_1349	True	1	0.42	0.58
A2A_LIGANDS_1369	False	0	0.935	0.065
A2A_LIGANDS_1378	False	0	0.705	0.295
A2A_LIGANDS_1392	False	0	0.885	0.115
A2A_LIGANDS_1406	True	1	0.34	0.66
A2A_LIGANDS_1410	True	1	0.11	0.89
A2A_LIGANDS_1417	False	0	0.805	0.195
A2A_LIGANDS_1419	True	1	0.25	0.75
A2A_LIGANDS_1422	True	1	0.16	0.84
A2A_LIGANDS_1423	True	1	0.27	0.73
A2A_LIGANDS_1427	True	1	0.345	0.655
A2A_LIGANDS_1437	True	1	0.06	0.94
A2A_LIGANDS_1438	True	1	0.075	0.925
A2A_LIGANDS_1448	True	1	0.405	0.595
A2A_LIGANDS_1469	True	1	0.135	0.865
A2A_LIGANDS_1471	True	1	0.045	0.955
A2A_LIGANDS_1483	True	1	0.205	0.795
A2A_LIGANDS_1491	False	0	0.845	0.155
A2A_LIGANDS_1493	False	0	0.915	0.085
A2A_LIGANDS_1494	False	0	0.67	0.33
A2A_LIGANDS_1497	True	1	0.045	0.955
A2A_LIGANDS_1499	True	1	0.385	0.615
A2A_LIGANDS_1500	True	1	0.048	0.952
A2A_LIGANDS_1501	False	0	0.555	0.445
A2A_LIGANDS_1503	True	0	0.555	0.445
A2A_LIGANDS_1504	True	1	0.32	0.68
A2A_LIGANDS_1515	True	1	0.22	0.78
A2A_LIGANDS_1518	True	1	0.36	0.64
A2A_LIGANDS_1522	True	1	0.06	0.94
A2A_LIGANDS_1526	False	1	0.43	0.57
A2A_LIGANDS_1533	True	1	0.035	0.965
A2A_LIGANDS_1535	True	1	0.13	0.87
A2A_LIGANDS_1539	False	0	0.945	0.055
A2A_LIGANDS_1541	True	1	0.16	0.84
A2A_LIGANDS_1543	True	1	0.025	0.975
A2A_LIGANDS_1549	True	1	0.02	0.98
A2A_LIGANDS_1553	True	1	0.125	0.875
A2A_LIGANDS_1555	False	0	0.66	0.34
A2A_LIGANDS_1556	True	1	0.1	0.9
A2A_LIGANDS_1558	False	0	0.96	0.04
A2A_LIGANDS_1571	True	1	0.045	0.955
A2A_LIGANDS_1573	False	1	0.475	0.525
A2A_LIGANDS_1574	True	1	0.125	0.875
A2A_LIGANDS_1575	True	1	0.14	0.86
A2A_LIGANDS_1579	True	1	0.21	0.79
A2A_LIGANDS_1583	True	1	0.36	0.64
A2A_LIGANDS_1586	True	1	0.09	0.91
A2A_LIGANDS_1590	False	0	0.845	0.155
A2A_LIGANDS_1600	False	0	0.665	0.335
A2A_LIGANDS_1601	True	1	0.255	0.745
A2A_LIGANDS_1605	True	1	0.0	1.0
A2A_LIGANDS_1611	True	1	0.065	0.935
A2A_LIGANDS_1612	False	1	0.26	0.74
A2A_LIGANDS_1614	True	1	0.13	0.87
A2A_LIGANDS_1619	False	1	0.32	0.68
A2A_LIGANDS_1626	False	0	0.99	0.01
A2A_LIGANDS_1631	True	1	0.05	0.95
A2A_LIGANDS_1637	False	1	0.14	0.86
A2A_LIGANDS_1641	True	1	0.18	0.82
A2A_LIGANDS_1655	False	1	0.4	0.6
A2A_LIGANDS_1658	False	0	0.601	0.399
A2A_LIGANDS_1660	True	1	0.27	0.73
A2A_LIGANDS_1662	True	1	0.135	0.865
A2A_LIGANDS_1665	True	1	0.138	0.862
A2A_LIGANDS_1671	True	1	0.0	1.0
A2A_LIGANDS_1676	False	1	0.355	0.645
A2A_LIGANDS_1679	True	0	0.525	0.475
A2A_LIGANDS_1680	True	1	0.115	0.885
A2A_LIGANDS_1684	False	1	0.42	0.58
A2A_LIGANDS_1699	False	0	0.985	0.015
A2A_LIGANDS_1700	True	1	0.05	0.95
A2A_LIGANDS_1705	True	1	0.385	0.615
A2A_LIGANDS_1707	False	0	0.57	0.43
A2A_LIGANDS_1709	True	1	0.035	0.965
A2A_LIGANDS_1713	False	0	0.845	0.155
A2A_LIGANDS_1720	True	1	0.325	0.675
A2A_LIGANDS_1722	False	1	0.245	0.755
A2A_LIGANDS_1726	True	1	0.072	0.928
A2A_LIGANDS_1728	True	0	0.858	0.142
A2A_LIGANDS_1729	False	0	0.915	0.085
A2A_LIGANDS_1736	True	1	0.325	0.675
A2A_LIGANDS_1743	False	0	1.0	0.0
A2A_LIGANDS_1751	True	1	0.065	0.935
A2A_LIGANDS_1763	False	0	0.54	0.46
A2A_LIGANDS_1767	False	0	0.81	0.19
A2A_LIGANDS_1774	False	1	0.12	0.88
A2A_LIGANDS_1779	False	0	0.635	0.365
A2A_LIGANDS_1789	False	1	0.295	0.705
A2A_LIGANDS_1792	True	1	0.048	0.952
A2A_LIGANDS_1795	True	1	0.45	0.55
A2A_LIGANDS_1802	True	1	0.115	0.885
A2A_LIGANDS_1804	False	0	0.91	0.09
A2A_LIGANDS_1811	True	1	0.142	0.858
A2A_LIGANDS_1813	True	1	0.48	0.52
A2A_LIGANDS_1816	True	1	0.175	0.825
A2A_LIGANDS_1838	True	1	0.058	0.942
A2A_LIGANDS_1840	True	1	0.08	0.92
A2A_LIGANDS_1841	True	1	0.355	0.645
A2A_LIGANDS_1868	True	1	0.05	0.95
A2A_LIGANDS_1870	True	1	0.125	0.875
A2A_LIGANDS_1881	True	0	0.515	0.485
A2A_LIGANDS_1902	True	1	0.245	0.755
A2A_LIGANDS_1903	False	0	0.51	0.49
A2A_LIGANDS_1904	False	0	0.615	0.385
A2A_LIGANDS_1908	False	0	0.9	0.1
A2A_LIGANDS_1911	True	1	0.405	0.595
A2A_LIGANDS_1915	True	1	0.155	0.845
A2A_LIGANDS_1920	True	1	0.23	0.77
A2A_LIGANDS_1922	True	1	0.215	0.785
A2A_LIGANDS_1923	False	1	0.368	0.632
A2A_LIGANDS_1926	True	0	0.725	0.275
A2A_LIGANDS_1932	False	0	0.665	0.335
A2A_LIGANDS_1938	True	1	0.23	0.77
A2A_LIGANDS_1939	True	1	0.485	0.515
A2A_LIGANDS_1945	True	1	0.015	0.985
A2A_LIGANDS_1949	False	0	0.52	0.48
A2A_LIGANDS_1954	False	0	0.575	0.425
A2A_LIGANDS_1960	False	1	0.385	0.615
A2A_LIGANDS_1978	True	1	0.208	0.792
A2A_LIGANDS_1991	True	1	0.015	0.985
A2A_LIGANDS_1994	True	1	0.175	0.825
A2A_LIGANDS_1996	True	1	0.11	0.89
A2A_LIGANDS_1997	True	1	0.13	0.87
A2A_LIGANDS_1998	False	0	0.985	0.015
A2A_LIGANDS_1999	False	0	0.88	0.12
A2A_LIGANDS_2000	True	1	0.075	0.925
A2A_LIGANDS_2001	False	1	0.305	0.695
A2A_LIGANDS_2003	False	1	0.455	0.545
A2A_LIGANDS_2004	False	0	0.845	0.155
A2A_LIGANDS_2006	True	0	0.55	0.45
A2A_LIGANDS_2007	True	0	0.61	0.39
A2A_LIGANDS_2009	True	1	0.095	0.905
A2A_LIGANDS_2012	True	1	0.165	0.835
A2A_LIGANDS_2016	False	1	0.495	0.505
A2A_LIGANDS_2017	False	0	0.9	0.1
A2A_LIGANDS_2019	True	1	0.31	0.69
A2A_LIGANDS_2023	True	1	0.395	0.605
A2A_LIGANDS_2026	True	1	0.375	0.625
A2A_LIGANDS_2032	True	1	0.03	0.97
A2A_LIGANDS_2037	False	0	0.795	0.205
A2A_LIGANDS_2047	True	0	0.52	0.48
A2A_LIGANDS_2048	True	1	0.1	0.9
A2A_LIGANDS_2050	True	1	0.455	0.545
A2A_LIGANDS_2083	True	1	0.025	0.975
A2A_LIGANDS_2084	True	1	0.11	0.89
A2A_LIGANDS_2086	True	1	0.31	0.69
A2A_LIGANDS_2088	True	1	0.03	0.97
A2A_LIGANDS_2090	True	1	0.125	0.875
A2A_LIGANDS_2092	True	1	0.195	0.805
A2A_LIGANDS_2100	False	0	0.767	0.233
A2A_LIGANDS_2102	False	0	0.95	0.05
A2A_LIGANDS_2110	True	1	0.15	0.85
A2A_LIGANDS_2112	True	0	0.795	0.205
A2A_LIGANDS_2117	False	0	0.765	0.235
A2A_LIGANDS_2127	True	1	0.18	0.82
A2A_LIGANDS_2137	True	1	0.275	0.725
A2A_LIGANDS_2141	True	1	0.265	0.735
A2A_LIGANDS_2144	True	1	0.025	0.975
A2A_LIGANDS_2145	False	1	0.26	0.74
A2A_LIGANDS_2156	True	1	0.05	0.95
A2A_LIGANDS_2162	False	0	0.735	0.265
A2A_LIGANDS_2170	True	1	0.395	0.605
A2A_LIGANDS_2175	True	1	0.39	0.61
A2A_LIGANDS_2176	False	0	0.748	0.252
A2A_LIGANDS_2178	True	1	0.045	0.955
A2A_LIGANDS_2182	True	1	0.24	0.76
A2A_LIGANDS_2183	True	1	0.275	0.725
A2A_LIGANDS_2199	False	0	0.96	0.04
A2A_LIGANDS_2203	True	1	0.05	0.95
A2A_LIGANDS_2208	False	0	0.93	0.07
A2A_LIGANDS_2210	False	0	0.515	0.485
A2A_LIGANDS_2211	True	1	0.185	0.815
A2A_LIGANDS_2214	True	1	0.06	0.94
A2A_LIGANDS_2225	False	1	0.14	0.86
A2A_LIGANDS_2226	True	1	0.39	0.61
A2A_LIGANDS_2231	False	1	0.438	0.562
A2A_LIGANDS_2238	True	1	0.405	0.595
A2A_LIGANDS_2242	False	0	0.82	0.18
A2A_LIGANDS_2243	False	1	0.495	0.505
A2A_LIGANDS_2249	False	1	0.465	0.535
A2A_LIGANDS_2254	True	1	0.04	0.96
A2A_LIGANDS_2258	True	0	0.51	0.49
A2A_LIGANDS_2274	False	0	0.915	0.085
A2A_LIGANDS_2275	False	0	0.672	0.328
A2A_LIGANDS_2282	True	1	0.335	0.665
A2A_LIGANDS_2284	True	1	0.065	0.935
A2A_LIGANDS_2292	True	1	0.485	0.515
A2A_LIGANDS_2303	False	1	0.33	0.67
A2A_LIGANDS_2320	False	0	0.945	0.055
A2A_LIGANDS_2324	False	0	0.68	0.32
A2A_LIGANDS_2325	True	1	0.39	0.61
A2A_LIGANDS_2326	True	1	0.18	0.82
A2A_LIGANDS_2334	True	1	0.1	0.9
A2A_LIGANDS_2335	False	0	0.99	0.01
A2A_LIGANDS_2339	False	1	0.125	0.875
A2A_LIGANDS_2343	True	1	0.0	1.0
A2A_LIGANDS_2344	False	0	0.87	0.13
A2A_LIGANDS_2346	True	1	0.38	0.62
A2A_LIGANDS_2347	True	1	0.37	0.63
A2A_LIGANDS_2348	False	0	0.828	0.172
A2A_LIGANDS_2355	True	1	0.015	0.985
A2A_LIGANDS_2357	True	0	0.705	0.295
A2A_LIGANDS_2361	False	1	0.4	0.6
A2A_LIGANDS_2370	True	1	0.23	0.77
A2A_LIGANDS_2371	True	1	0.255	0.745
A2A_LIGANDS_2384	False	1	0.38	0.62
A2A_LIGANDS_2388	True	1	0.25	0.75
A2A_LIGANDS_2391	True	1	0.16	0.84
A2A_LIGANDS_2412	False	0	0.955	0.045
A2A_LIGANDS_2416	True	1	0.02	0.98
A2A_LIGANDS_2425	False	1	0.405	0.595
A2A_LIGANDS_2439	False	0	0.84	0.16
A2A_LIGANDS_2441	False	1	0.41	0.59
A2A_LIGANDS_2451	False	0	0.872	0.128
A2A_LIGANDS_2464	False	0	0.62	0.38
A2A_LIGANDS_2475	False	0	0.945	0.055
A2A_LIGANDS_2478	False	0	0.59	0.41
A2A_LIGANDS_2483	True	1	0.2	0.8
A2A_LIGANDS_2489	False	1	0.29	0.71
A2A_LIGANDS_2491	False	1	0.095	0.905
A2A_LIGANDS_2498	False	0	0.711	0.289
A2A_LIGANDS_2506	False	0	0.945	0.055
A2A_LIGANDS_2515	True	1	0.24	0.76
A2A_LIGANDS_2520	True	1	0.11	0.89
A2A_LIGANDS_2525	True	1	0.131	0.869
A2A_LIGANDS_2533	True	1	0.05	0.95
A2A_LIGANDS_2534	False	1	0.385	0.615
A2A_LIGANDS_2540	True	1	0.387	0.613
A2A_LIGANDS_2541	True	1	0.2	0.8
A2A_LIGANDS_2542	False	0	0.95	0.05
A2A_LIGANDS_2543	True	1	0.23	0.77
A2A_LIGANDS_2544	True	1	0.015	0.985
A2A_LIGANDS_2545	True	1	0.015	0.985
A2A_LIGANDS_2550	True	1	0.425	0.575
A2A_LIGANDS_2552	False	0	0.785	0.215
A2A_LIGANDS_2553	True	1	0.12	0.88
A2A_LIGANDS_2564	True	1	0.035	0.965
A2A_LIGANDS_2565	True	1	0.125	0.875
A2A_LIGANDS_2569	False	0	0.785	0.215
A2A_LIGANDS_2572	True	1	0.36	0.64
A2A_LIGANDS_2573	False	1	0.43	0.57
A2A_LIGANDS_2574	False	1	0.048	0.952
A2A_LIGANDS_2581	True	1	0.445	0.555
A2A_LIGANDS_2585	False	0	0.84	0.16
A2A_LIGANDS_2599	True	1	0.18	0.82
A2A_LIGANDS_2600	True	1	0.045	0.955
A2A_LIGANDS_2601	True	1	0.075	0.925
A2A_LIGANDS_2602	False	1	0.445	0.555
A2A_LIGANDS_2611	True	1	0.365	0.635
A2A_LIGANDS_2612	True	1	0.03	0.97
A2A_LIGANDS_2613	True	0	0.52	0.48
A2A_LIGANDS_2615	True	1	0.235	0.765
A2A_LIGANDS_2628	False	0	0.83	0.17
A2A_LIGANDS_2635	True	1	0.23	0.77
A2A_LIGANDS_2636	False	0	0.845	0.155
A2A_LIGANDS_2648	True	1	0.015	0.985
A2A_LIGANDS_2655	True	1	0.035	0.965
A2A_LIGANDS_2661	True	1	0.045	0.955
A2A_LIGANDS_2662	False	0	0.81	0.19
A2A_LIGANDS_2666	True	1	0.475	0.525
A2A_LIGANDS_2670	True	1	0.385	0.615
A2A_LIGANDS_2678	True	1	0.232	0.768
A2A_LIGANDS_2681	True	1	0.245	0.755
A2A_LIGANDS_2698	True	1	0.212	0.788
A2A_LIGANDS_2701	False	0	0.825	0.175
A2A_LIGANDS_2704	True	1	0.46	0.54
