QSPRID	O00222_imputed_Label	O15303_imputed_Label	P41594_imputed_Label	Q13255_imputed_Label	Q14416_imputed_Label	Q14831_imputed_Label	Q14832_imputed_Label	Q14833_imputed_Label	O00222_imputed_Prediction	O15303_imputed_Prediction	P41594_imputed_Prediction	Q13255_imputed_Prediction	Q14416_imputed_Prediction	Q14831_imputed_Prediction	Q14832_imputed_Prediction	Q14833_imputed_Prediction	Fold
tutorial_data_2389	5.0	4.955	7.623	5.0	5.0	5.0	5.0	5.0	5.071	5.145	6.691	6.286	6.825	4.752	6.044	6.274	0.0
tutorial_data_2182	5.071	4.955	6.461	6.286	6.825	4.752	6.044	5.0	5.071	4.955	6.461	6.286	6.825	4.752	6.044	6.028	0.0
tutorial_data_28	5.071	4.955	5.523	6.973	6.825	4.752	6.044	5.834	5.071	4.955	5.523	7.563	6.825	4.752	6.044	5.834	0.0
tutorial_data_5549	5.071	4.955	6.461	6.286	4.9	4.752	6.044	5.834	5.071	4.955	6.849	6.286	6.945	4.752	6.044	5.834	0.0
tutorial_data_5826	5.071	4.955	7.5	6.286	6.825	4.752	6.044	5.834	5.071	4.955	8.803	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_7242	5.071	4.955	6.535	6.286	6.825	4.752	6.044	5.834	5.071	4.955	6.499	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_1763	5.071	4.955	6.461	6.286	8.55	4.752	6.044	5.834	5.071	4.955	6.461	6.286	8.386	4.752	6.044	5.834	0.0
tutorial_data_6079	5.071	4.955	6.461	6.286	7.91	4.752	6.044	5.834	5.071	4.955	6.461	6.286	7.595	4.752	5.835	5.834	0.0
tutorial_data_6359	4.94	5.47	6.461	6.286	7.701	4.752	7.181	5.834	5.115	5.077	6.113	6.071	6.603	4.512	6.244	5.821	0.0
tutorial_data_1824	5.071	4.955	6.18	6.286	6.825	4.752	6.044	5.834	5.071	4.955	6.264	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_4491	5.071	4.955	6.02	6.286	6.825	4.752	6.044	5.834	5.071	4.955	6.406	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_3920	5.071	4.955	6.461	5.91	6.825	4.752	6.044	5.834	5.071	4.955	6.461	5.884	6.825	4.752	6.044	5.488	0.0
tutorial_data_3432	5.071	4.955	6.461	7.265	6.825	4.752	6.044	6.39	5.071	4.955	6.461	6.505	6.825	4.752	6.044	5.956	0.0
tutorial_data_366	5.071	4.955	6.09	8.01	6.825	4.752	6.044	5.834	5.071	4.955	5.496	7.192	6.825	4.752	6.044	5.834	0.0
tutorial_data_1830	5.071	4.955	6.461	5.2	6.825	4.752	6.044	5.834	5.071	4.955	6.461	8.339	6.825	4.752	6.044	5.834	0.0
tutorial_data_7180	5.071	4.955	6.002	6.286	6.825	4.752	6.044	5.834	5.071	4.955	6.68	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_8199	5.071	4.955	5.8	6.286	6.825	4.752	6.044	5.834	5.071	4.955	7.478	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_5498	5.071	4.955	6.461	6.286	6.825	4.752	6.044	5.84	5.071	4.955	6.461	6.286	6.825	4.752	6.044	6.256	0.0
tutorial_data_785	5.071	4.955	7.57	6.286	6.825	4.752	6.044	5.834	5.071	4.955	7.756	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_3036	5.071	4.955	6.461	6.286	7.32	4.752	6.044	5.834	5.071	4.955	6.461	6.286	7.474	4.752	6.044	5.834	0.0
tutorial_data_3339	5.071	4.955	6.461	5.62	6.825	4.752	6.044	5.834	5.071	4.955	6.461	6.68	6.825	4.752	6.044	5.834	0.0
tutorial_data_362	5.071	4.955	8.59	6.286	6.825	4.752	6.044	5.834	5.071	4.955	8.191	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_6835	5.071	4.955	5.0	6.286	6.825	4.752	6.044	5.834	5.071	5.145	6.557	6.286	6.825	4.752	6.044	6.0	0.0
tutorial_data_6695	5.071	4.955	6.1	6.286	6.825	4.752	6.044	5.834	5.071	4.955	5.076	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_5114	5.071	4.955	6.461	6.286	6.0	4.752	6.044	5.834	5.071	4.955	6.461	6.286	7.044	4.752	6.044	5.834	0.0
tutorial_data_5935	5.071	4.955	6.461	6.286	5.51	4.752	6.044	5.834	5.071	4.955	6.461	6.286	6.778	4.752	5.835	5.834	0.0
tutorial_data_2550	5.071	4.955	6.34	6.286	6.825	4.752	6.044	5.834	5.071	4.955	7.091	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_3047	5.071	4.955	5.748	6.286	6.825	4.752	6.044	5.834	5.071	4.955	5.63	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_4953	5.071	4.955	5.14	6.286	6.825	4.752	6.044	5.834	5.071	4.955	5.298	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_6228	5.81	5.08	6.461	6.286	6.825	4.0	6.044	6.39	5.129	4.937	6.461	6.286	6.825	4.301	6.044	5.635	0.0
tutorial_data_6549	5.071	4.955	5.77	6.286	6.825	4.752	6.044	5.834	5.071	4.955	5.626	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_307	5.071	4.955	6.461	6.286	8.22	4.752	6.044	5.834	5.071	4.955	6.461	6.286	7.176	4.752	6.044	5.834	0.0
tutorial_data_4304	5.071	4.955	5.565	6.286	6.825	4.752	6.044	5.834	5.071	4.955	6.214	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_4362	5.071	4.955	8.01	6.286	6.825	4.752	6.044	5.834	5.071	4.955	7.441	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_5634	5.071	4.955	6.461	6.286	6.825	4.752	6.044	6.84	5.071	4.955	6.461	6.286	6.825	4.752	6.044	6.238	0.0
tutorial_data_7444	5.071	4.955	7.26	6.286	6.825	4.752	6.044	5.834	5.071	4.955	7.267	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_4463	5.071	4.955	7.62	6.286	6.825	4.752	6.044	5.834	5.071	4.955	7.69	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_3094	5.071	4.955	5.75	6.286	6.825	4.752	6.044	5.834	5.071	4.955	5.7	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_7458	5.071	4.955	6.555	6.286	6.825	4.752	6.044	5.834	5.071	4.955	7.121	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_2980	5.071	4.955	6.461	7.35	6.825	4.752	6.044	5.834	5.071	4.955	6.461	6.678	6.825	4.752	6.044	5.834	0.0
tutorial_data_4350	5.071	4.955	6.2	6.286	6.825	4.752	6.044	5.834	5.071	4.955	6.272	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_6102	5.071	4.955	6.461	6.286	7.38	4.752	6.044	5.834	5.071	4.955	6.461	6.286	6.986	4.752	5.835	5.834	0.0
tutorial_data_5332	5.071	4.955	6.461	6.286	6.61	4.752	6.044	5.834	5.071	4.955	6.461	6.286	7.25	4.752	6.044	5.834	0.0
tutorial_data_884	5.071	4.955	6.902	6.286	6.825	4.752	6.044	5.834	5.071	4.955	6.423	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_558	5.0	4.955	6.461	8.291	5.0	4.752	6.044	5.834	5.071	4.955	5.636	7.374	6.825	4.752	6.044	5.834	0.0
tutorial_data_6400	5.071	4.955	6.461	7.68	6.825	4.752	6.044	5.834	5.071	5.145	6.501	6.43	6.423	4.752	5.575	6.274	0.0
tutorial_data_404	5.071	4.955	6.461	6.286	6.825	4.752	6.044	5.1	5.071	4.955	6.461	6.286	6.825	4.752	6.044	6.19	0.0
tutorial_data_1096	5.071	4.955	6.461	6.286	7.26	4.752	6.044	5.834	5.071	4.955	6.461	6.286	7.172	4.752	6.044	5.834	0.0
tutorial_data_7857	5.071	4.955	6.461	6.286	6.825	4.752	6.044	4.85	4.857	4.764	6.785	6.286	6.26	4.602	5.635	5.637	0.0
tutorial_data_4688	5.071	4.955	6.461	6.286	6.825	4.752	6.044	6.7	4.857	4.764	6.397	6.286	6.26	4.602	5.635	5.446	0.0
tutorial_data_4197	5.071	4.955	5.41	6.286	6.825	4.752	6.044	5.834	5.071	4.955	6.656	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_2061	5.071	4.955	4.95	7.64	6.825	4.752	6.044	5.834	5.071	4.955	5.595	8.044	6.825	4.752	6.044	5.834	0.0
tutorial_data_767	5.071	4.955	6.59	6.286	6.825	4.752	6.044	5.834	5.071	4.955	7.091	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_2280	5.071	4.955	7.05	6.286	6.825	4.752	6.044	5.834	5.071	4.955	7.314	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_505	5.071	4.955	6.461	6.286	6.06	4.752	6.044	5.834	5.071	4.955	6.461	6.286	5.702	4.752	6.044	5.834	0.0
tutorial_data_3153	5.071	4.955	6.461	6.286	6.825	4.752	6.044	5.851	5.071	5.145	6.461	6.286	6.825	4.752	6.044	6.519	0.0
tutorial_data_5731	5.071	4.955	6.081	6.286	6.825	4.752	6.044	5.834	5.071	4.955	6.438	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_7029	5.071	4.955	6.461	6.286	6.825	4.752	6.044	5.0	5.071	4.955	6.461	6.286	6.825	4.752	6.044	6.18	0.0
tutorial_data_943	5.071	4.955	6.567	6.286	6.825	4.752	6.044	5.834	5.071	4.955	6.799	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_736	5.071	4.955	7.5	6.286	6.825	4.752	6.044	5.834	5.071	4.955	7.56	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_7541	5.071	4.955	6.601	6.286	6.825	4.752	6.044	5.834	5.057	4.955	6.142	6.029	6.46	4.802	5.835	5.667	0.0
tutorial_data_1058	5.071	4.955	6.461	6.286	5.19	4.752	5.6	5.834	5.071	4.955	6.461	6.286	5.522	4.752	5.951	5.834	0.0
tutorial_data_7845	5.071	4.955	6.461	6.286	6.825	4.752	6.044	6.62	5.071	4.955	6.461	6.286	6.825	4.752	6.044	6.66	0.0
tutorial_data_5673	5.071	4.955	6.461	6.286	6.825	4.752	6.044	6.51	5.071	5.145	6.938	6.286	6.825	4.752	6.044	6.122	0.0
tutorial_data_5936	5.071	4.955	8.0	6.286	6.825	4.752	6.044	5.834	5.071	5.145	7.35	6.286	6.825	4.752	6.044	6.278	0.0
tutorial_data_7574	5.071	4.955	6.86	6.286	6.825	4.752	6.27	5.834	5.071	4.955	6.96	6.286	6.825	4.752	6.702	5.834	0.0
tutorial_data_4825	5.071	4.955	9.297	6.286	6.825	4.752	6.044	5.834	5.071	4.955	7.448	5.829	6.825	4.752	6.044	5.834	0.0
tutorial_data_2460	5.071	4.955	6.461	6.286	6.825	5.0	6.044	5.834	5.783	4.955	6.461	6.286	6.825	5.3	6.044	5.533	0.0
tutorial_data_604	5.071	4.955	5.46	5.0	6.825	4.752	6.044	5.834	5.071	4.955	7.594	5.734	6.825	4.752	6.044	5.834	0.0
tutorial_data_4811	5.071	4.955	7.02	6.286	6.825	4.752	6.044	5.834	5.071	4.955	7.191	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_4942	5.071	4.955	7.498	6.286	6.825	4.752	6.044	5.834	5.071	4.955	5.594	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_2819	5.071	4.955	5.55	6.286	6.825	4.752	6.044	5.834	5.071	4.955	5.695	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_1324	5.071	4.955	6.461	6.286	6.04	4.752	6.044	5.834	5.071	4.955	6.461	6.286	5.874	4.752	6.044	5.834	0.0
tutorial_data_5703	5.071	4.955	6.461	6.286	6.825	4.752	6.044	5.7	5.071	5.145	6.849	6.286	6.825	4.752	6.044	6.203	0.0
tutorial_data_1422	5.071	4.955	6.461	6.286	6.2	4.752	6.044	5.834	5.071	4.955	6.461	6.286	5.67	4.752	6.044	5.834	0.0
tutorial_data_3837	5.071	4.955	6.461	6.286	5.96	4.752	6.044	5.834	5.071	4.955	6.461	6.286	5.819	4.752	6.044	5.834	0.0
tutorial_data_2556	5.071	4.955	6.461	6.8	6.825	4.752	6.044	5.834	5.071	5.145	6.849	6.254	6.825	4.752	6.044	6.274	0.0
tutorial_data_3838	5.071	4.955	6.461	6.286	5.818	4.752	6.044	5.834	5.071	4.955	6.461	6.286	5.671	4.752	6.044	5.834	0.0
tutorial_data_7063	5.071	4.955	6.461	6.286	6.825	4.752	6.044	5.57	5.071	5.145	6.849	6.286	6.825	4.752	6.044	6.203	0.0
tutorial_data_4970	5.071	4.955	7.04	6.286	6.825	4.752	6.044	5.834	5.071	4.955	7.944	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_3068	5.071	4.955	6.461	6.286	6.825	4.752	6.044	8.0	5.071	4.955	6.461	6.029	6.825	4.752	6.044	7.277	0.0
tutorial_data_4056	5.071	4.955	6.461	6.286	7.56	4.752	6.044	5.834	5.071	4.955	6.461	6.286	7.512	4.752	6.044	5.834	0.0
tutorial_data_1791	5.071	4.955	6.461	6.286	6.36	4.752	6.044	5.834	5.071	4.955	6.461	6.286	6.328	4.752	6.044	5.834	0.0
tutorial_data_2956	5.071	4.955	6.0	8.7	6.825	4.752	6.044	5.834	5.071	4.955	5.877	8.403	6.825	4.752	6.044	5.834	0.0
tutorial_data_7271	5.071	4.955	5.0	6.286	6.825	4.752	6.044	5.834	5.071	4.955	6.704	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_3990	5.071	4.955	6.461	6.286	7.42	4.752	6.044	5.834	5.071	4.955	6.461	6.286	7.774	4.752	6.044	5.834	0.0
tutorial_data_4468	5.071	4.955	6.925	6.286	6.825	4.752	6.044	5.834	5.071	5.145	7.417	6.286	6.825	4.752	6.044	6.139	0.0
tutorial_data_780	5.071	4.955	7.48	6.286	6.825	4.752	6.044	5.834	5.071	4.955	7.782	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_7078	5.071	4.955	6.461	6.286	6.825	4.752	4.383	5.834	5.486	5.412	6.849	6.286	6.238	4.535	5.54	6.472	0.0
tutorial_data_4867	5.071	4.955	7.5	6.286	6.825	4.752	6.044	5.834	5.071	4.955	7.629	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_5925	5.071	4.955	5.921	6.286	6.825	4.752	6.044	5.834	5.071	5.145	7.165	6.286	6.825	4.752	6.044	6.274	0.0
tutorial_data_7784	5.071	4.955	5.96	6.286	6.825	4.752	6.044	5.834	5.071	5.145	6.397	6.286	6.825	4.752	6.044	6.274	0.0
tutorial_data_5605	5.071	4.955	7.27	6.286	6.825	4.752	6.044	5.834	5.071	4.955	6.29	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_1413	5.071	4.955	6.461	6.286	6.3	4.752	6.044	5.834	5.071	4.955	6.461	6.286	5.76	4.752	6.044	5.834	0.0
tutorial_data_4016	5.071	4.955	6.461	6.286	7.68	4.752	6.044	5.834	5.071	4.955	6.461	6.286	8.242	4.752	6.044	5.834	0.0
tutorial_data_4061	5.071	4.955	7.5	6.286	6.825	4.752	6.044	5.834	5.071	5.145	7.383	6.286	6.825	4.752	6.044	6.278	0.0
tutorial_data_2079	5.071	4.955	6.461	6.69	6.825	4.752	6.044	5.834	5.071	4.955	5.585	8.41	6.825	4.752	6.044	5.834	0.0
tutorial_data_5816	3.66	4.955	6.461	6.286	6.825	4.752	6.044	4.39	4.447	4.701	6.461	6.286	6.825	4.79	6.044	4.908	0.0
tutorial_data_2607	5.071	4.955	6.461	6.286	7.05	4.752	6.044	5.834	5.071	4.955	6.461	6.286	7.569	4.752	6.149	5.834	0.0
tutorial_data_7655	5.071	4.955	5.0	6.286	6.825	4.752	6.044	5.834	5.071	4.955	6.824	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_4913	5.071	4.955	5.523	7.96	6.825	4.752	6.044	5.834	5.071	4.955	5.523	7.59	6.825	4.752	6.044	5.834	0.0
tutorial_data_5387	5.071	4.955	6.461	6.286	6.825	4.752	6.044	5.0	5.071	5.145	6.849	6.085	6.825	4.752	6.044	6.18	0.0
tutorial_data_7264	5.071	4.955	7.505	6.286	6.825	4.752	6.044	5.834	5.071	4.955	7.132	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_8218	5.071	4.955	6.461	6.286	6.825	4.752	6.044	5.37	5.071	4.955	6.461	6.286	6.825	4.752	6.044	5.93	0.0
tutorial_data_6462	5.071	4.955	6.461	6.286	4.523	4.752	6.044	5.834	5.071	4.955	6.461	6.286	5.787	4.752	6.044	5.834	0.0
tutorial_data_3133	5.071	4.955	5.0	6.286	6.825	4.752	6.044	5.834	5.071	4.955	5.735	5.772	6.825	4.752	6.044	5.834	0.0
tutorial_data_4667	5.071	4.955	7.2	6.286	6.825	4.752	6.044	5.834	5.071	4.955	6.52	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_7202	5.071	4.955	5.765	6.286	6.825	4.752	6.044	5.834	5.071	4.955	6.232	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_2784	5.071	4.955	6.461	6.286	7.28	4.752	6.044	5.834	5.071	4.955	6.461	6.286	7.686	4.752	5.74	5.834	0.0
tutorial_data_5812	5.071	4.955	5.37	6.286	6.825	4.752	6.044	5.834	5.071	4.955	5.174	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_6795	5.071	4.955	6.54	6.286	6.825	4.752	6.044	5.834	5.071	4.955	7.467	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_2716	5.071	4.955	6.461	6.286	8.3	4.752	6.044	5.834	5.071	4.955	6.461	6.286	7.82	4.752	6.044	5.834	0.0
tutorial_data_4805	5.071	4.955	8.38	6.286	6.825	4.752	6.044	5.834	5.071	4.955	7.191	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_456	5.071	4.955	5.77	6.286	6.825	4.752	6.044	5.834	5.057	4.964	6.01	6.029	6.46	4.802	5.835	5.667	0.0
tutorial_data_1408	5.071	4.955	6.461	6.286	6.6	4.752	6.044	5.834	5.071	4.955	6.461	6.286	5.76	4.752	6.044	5.834	0.0
tutorial_data_932	5.071	4.955	5.64	6.286	6.825	4.752	6.044	5.834	5.071	4.955	6.008	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_1005	5.071	4.955	6.461	5.925	6.825	4.752	6.044	5.834	5.071	4.955	6.461	6.26	6.825	4.752	6.044	5.834	0.0
tutorial_data_5270	5.071	4.955	6.461	6.286	6.01	4.752	6.044	5.834	5.071	4.955	6.461	6.286	6.652	4.752	6.044	5.834	0.0
tutorial_data_5883	5.071	4.955	6.05	6.286	6.825	4.752	6.044	5.834	5.071	4.955	5.737	6.286	6.825	4.752	6.044	5.803	0.0
tutorial_data_7040	5.071	4.955	4.523	6.286	6.825	4.752	6.044	5.834	5.071	4.955	5.944	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_3009	5.071	4.955	5.32	6.286	6.825	4.752	6.044	5.834	5.071	4.955	6.337	5.701	6.825	4.752	6.044	5.834	0.0
tutorial_data_6828	5.071	4.955	5.0	6.286	6.825	4.752	6.044	5.834	5.071	4.955	6.144	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_2646	5.071	4.955	6.461	6.286	6.44	4.752	6.044	5.834	5.071	4.955	6.461	6.286	5.864	4.752	6.044	5.834	0.0
tutorial_data_1451	5.071	4.955	7.03	6.286	6.825	4.752	6.044	5.834	5.071	4.955	7.411	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_7388	5.071	4.955	7.0	5.71	6.825	4.752	6.044	5.834	5.071	4.955	7.114	5.326	6.825	4.752	6.044	5.834	0.0
tutorial_data_5713	5.071	4.955	6.461	6.286	6.96	4.752	6.044	5.834	5.071	4.955	6.461	6.286	6.686	4.752	6.044	5.834	0.0
tutorial_data_1768	5.071	4.955	6.461	6.286	6.825	5.0	6.044	5.834	5.787	4.955	6.461	6.286	6.825	5.25	6.044	5.533	0.0
tutorial_data_7065	5.071	4.955	6.461	6.286	6.825	4.752	6.044	5.7	5.071	4.955	6.461	6.286	6.825	4.752	6.044	5.93	0.0
tutorial_data_2816	5.071	4.955	6.16	6.286	6.825	4.752	6.044	5.834	5.071	4.955	6.352	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_1714	5.071	4.955	6.47	5.0	6.825	4.752	6.044	5.834	5.071	4.955	7.582	5.803	6.825	4.752	6.044	5.834	0.0
tutorial_data_7254	5.071	4.955	7.575	6.286	6.825	4.752	6.044	5.834	5.071	5.145	6.904	6.286	6.825	4.752	6.044	6.274	0.0
tutorial_data_7144	5.071	4.955	6.39	6.286	6.825	4.752	6.044	5.834	5.071	4.955	6.628	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_2403	5.071	4.955	6.862	6.286	6.825	4.752	6.044	5.834	5.071	4.955	6.976	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_3378	5.071	4.955	6.461	5.0	6.825	4.752	6.044	5.834	5.071	4.955	6.461	6.271	6.825	4.752	6.044	5.965	0.0
tutorial_data_7501	5.071	4.955	6.461	6.286	6.08	4.752	6.044	5.834	5.071	4.955	6.461	6.286	5.787	4.752	6.044	5.834	0.0
tutorial_data_1905	5.071	4.955	4.0	7.002	6.825	4.752	6.044	5.834	5.071	4.955	5.094	7.869	6.46	4.802	6.044	5.667	0.0
tutorial_data_5295	5.071	4.955	6.461	6.286	6.522	4.752	6.044	5.834	5.071	4.955	6.461	6.286	5.96	4.752	6.044	5.834	0.0
tutorial_data_6974	5.071	4.955	6.461	6.286	6.825	4.752	6.044	6.76	5.071	4.955	6.461	6.286	6.825	4.752	6.044	6.607	0.0
tutorial_data_8195	5.071	4.955	5.68	6.286	6.825	4.752	6.044	5.834	5.071	4.955	6.204	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_7796	5.071	4.955	6.461	6.286	6.798	4.752	6.044	5.834	5.071	4.955	6.461	6.286	6.729	4.752	6.044	5.834	0.0
tutorial_data_6606	5.071	4.955	6.1	6.286	6.825	4.752	6.044	5.834	5.071	4.955	6.042	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_4228	5.071	4.955	7.85	6.286	6.825	4.752	6.044	5.834	5.071	4.955	6.937	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_935	5.071	4.955	6.36	6.286	6.825	4.752	6.044	5.834	5.071	4.955	7.172	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_1163	5.071	4.955	6.461	6.286	5.712	4.752	6.044	5.834	5.071	4.955	6.461	6.286	6.106	4.752	6.044	5.834	0.0
tutorial_data_4464	4.0	5.0	7.96	7.442	4.0	4.0	4.0	4.0	5.071	4.955	7.765	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_1491	5.071	4.955	7.75	6.286	6.825	4.752	6.044	5.834	5.071	4.955	7.622	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_2622	5.071	4.955	6.461	6.286	7.46	4.752	6.044	5.834	5.071	4.955	6.461	6.286	7.212	4.752	6.044	5.834	0.0
tutorial_data_2101	5.071	4.955	6.461	6.286	6.825	4.752	6.044	4.523	4.857	4.764	6.355	6.286	6.26	4.602	5.635	5.041	0.0
tutorial_data_1460	5.071	4.955	7.24	4.301	6.825	4.752	6.044	5.834	5.071	4.955	8.383	5.933	6.825	4.752	6.044	5.834	0.0
tutorial_data_7515	5.071	4.955	7.92	6.286	6.825	4.752	6.044	5.834	5.071	4.955	7.51	5.829	6.825	4.752	6.044	5.834	0.0
tutorial_data_3382	5.071	4.955	6.461	5.745	6.825	4.752	6.044	5.834	5.071	4.955	6.461	6.946	6.825	4.752	6.044	5.989	0.0
tutorial_data_3878	5.071	4.955	6.461	6.286	6.825	4.752	6.044	7.46	5.071	5.145	6.461	6.551	6.825	4.752	6.044	6.998	0.0
tutorial_data_3420	5.071	4.955	6.461	7.645	6.825	4.752	6.044	6.29	5.071	4.955	6.461	7.603	6.825	4.752	6.044	6.296	0.0
tutorial_data_2584	5.071	4.955	8.52	6.25	6.825	4.752	6.044	5.834	5.071	4.955	7.308	5.747	6.825	4.752	6.044	5.834	0.0
tutorial_data_6711	5.071	4.955	6.484	6.286	6.825	4.752	6.044	5.834	5.071	4.955	6.458	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_6317	5.071	4.955	3.523	3.523	3.523	4.752	6.044	5.834	4.142	4.904	3.558	4.096	4.531	4.752	4.201	4.909	0.0
tutorial_data_2781	5.071	5.71	6.461	6.286	6.753	4.752	8.767	4.93	5.071	4.955	6.461	6.286	7.252	4.752	8.576	5.834	0.0
tutorial_data_5008	5.071	4.955	4.0	5.62	6.825	4.752	6.044	5.834	5.071	4.955	4.204	5.538	6.825	4.752	6.044	5.834	0.0
tutorial_data_4256	5.071	4.955	5.83	6.286	6.825	4.752	6.044	5.834	5.071	4.955	6.244	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_1887	5.071	4.955	6.461	6.286	8.38	4.752	6.044	5.834	5.071	4.955	6.461	6.286	7.992	4.752	6.044	5.834	0.0
tutorial_data_2240	5.071	4.955	6.18	6.286	6.825	4.752	6.044	5.834	5.071	4.955	5.548	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_498	5.071	4.955	6.461	6.286	4.97	4.752	6.044	5.834	5.071	4.955	6.461	6.286	5.484	4.752	6.044	5.834	0.0
tutorial_data_6980	5.071	4.955	6.461	6.286	6.825	4.752	6.044	6.63	5.071	4.955	6.461	6.286	6.825	4.752	6.044	6.35	0.0
tutorial_data_7345	5.071	4.955	6.68	6.286	6.825	4.752	6.044	5.834	5.042	4.955	6.769	5.772	6.095	4.802	5.835	5.667	0.0
