SMILES	pchembl_value_Mean	Year
CC(C)CCn1cc2c(n1)nc(NC(=O)COc1ccc(Cl)cc1)n1nc(-c3ccco3)nc21	7.79	2009.0
OCC1OC(n2cnc3c2nc(Cl)nc3NC2CC3CCC2C3)C(O)C1O	6.1	2009.0
CNc1c2ncn(C3OC(CO)C(O)C3O)c2nc(-n2cc(-c3cnccc3)cn2)n1	5.39	2004.0
COc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1	8.742	2000.0
O=C(Nc1nc(-c2ccccc2)c(C(=O)c2cnccc2)s1)c1ccco1	6.26	2013.0
CCCn1c(=O)c2c(c(O)c(-c3ccc([N+](=O)[O-])cc3)[nH]2)n(CCC)c1=O	6.84	2008.0
Nc1nc2c(cnn2CCc2ccc(S(=O)(=O)N(CCCl)CCCl)cc2)c2nc(-c3ccco3)nn12	9.23	2002.0
CC(C)n1c(Br)nc2c1ncnc2N	7.13	2009.0
Nc1nc2c(cnn2CCCc2cc3c(cc2)OC(C(=O)O)O3)c2nc(-c3ccco3)nn12	7.23	2002.0
Cn1c(-c2ccco2)nc2c1ncnc2NC(=O)c1ccc(-c2ccccc2)cc1	5.9	2013.0
Cn1cc2c(n1)nc(NC(=O)Cc1c(Cl)cccc1Cl)n1nc(-c3ccco3)nc21	7.34	2009.0
O=C(Cc1cc2c(cccc2)cc1)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12	7.13	2009.0
CCCCC#Cc1nc(NC2CCCC2)c2ncn(C3C(O)C(O)C4CC43)c2n1	5.75	2014.0
CNC(=O)C12CC1C(n1cnc3c1nc(Cl)nc3NCc1cccc(I)c1)C(O)C2O	6.11	2005.0
Cn1cc2c(n1)nc(N1CCN(C(=O)OC(C)(C)C)CC1)n1nc(-c3ccco3)nc21	4.67	2019.0
CCNC(=O)C1OC(n2cnc3c2ncnc3NCCNc2ccc([N+](=O)[O-])c3nonc23)C(O)C1O	5.17	2001.0
CC(C)Oc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1	7.88	2010.0
Cc1ccc(-c2nc(-c3nccs3)cc(NC(=O)COc3cc(Cl)ccc3)n2)o1	7.85	2008.0
Cc1cc(CC(=O)Nc2nc(-c3ccccn3)nc(-n3nc(C)cc3C)c2)cc(C)c1	8.52	2008.0
Nc1nc(-c2ccco2)nc(C(=O)NCc2ccccc2Cl)n1	8.31	2009.0
C#CCn1c(=O)c2c(nc3N(Cc4cccs4)CCCn32)n(C)c1=O	6.2	2013.0
Cn1cc2c(n1)nc(NC(=O)Nc1ccc(CC(=O)OCCCOCCOCCOCCCNC(=O)OC(C)(C)C)cc1)n1nc(-c3ccco3)nc21	6.49	2020.0
CC(Oc1ccc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1)C(=O)Nc1ccc(Br)cc1	7.57	2006.0
CCC(O)Cc1nc(N)c2nc(-n3nccn3)n(C)c2n1	7.19	2013.0
O=c1[nH]c(-c2cccc(O)c2)cn2c(=O)n(-c3ccccc3)nc12	5.39	2017.0
CCNC(=O)C1OC(n2cnc3c(NOC)nc(C#Cc4ccc(F)cc4)nc32)C(O)C1O	5.2	2007.0
Cc1ccc(-c2nc(NC(=O)COc3ccccc3)cc(-c3nccs3)n2)o1	8.13	2008.0
Cn1cc2c(n1)nc(NNC(=S)N=C1C=CC(=C3c4ccc(O)cc4Oc4c3ccc(O)c4)C(C(=O)O)=C1)n1nc(-c3ccco3)nc21	5.61	2016.0
Cn1cc2c(n1)nc(NCCN)n1nc(-c3ccco3)nc21	6.12	2019.0
Cc1c(CNC(=O)c2nc(-c3ccco3)nc(N)n2)nccc1	7.73	2009.0
CC(C=NNc1nc(N)c2ncn(C3OC(CO)C(O)C3O)c2n1)Cc1ccc(C(C)C)cc1	8.2	2019.0
Nc1nc2c(cnn2CCc2cccc(-c3cccnc3)c2)c2nc(-c3ccco3)nn12	8.26	2008.0
COc1c(OC)cc(CNc2ncc(C(=O)NCCc3ccccc3)c3nc(-c4ccco4)nn23)cc1	7.19	2014.0
CCOC(=O)c1nc(NC(=O)c2ccc(C)cc2)nc2nn(C(C)C)cc12	5.64	2015.0
COc1ccc(NC(=O)Nc2nc3nn(CC=C(C)C)cc3c3nc(-c4ccco4)nn23)cc1	5.99	2000.0
COc1ccc(-n2nc3c(NC(C)=O)nc4c(cccc4N)n3c2=O)cc1	5.96	2006.0
COc1c2nc(NC(=O)N3CCC(OC)CC3)sc2c(N2CCOCC2)cc1	7.48	2021.0
CCCn1c(=O)c2c([nH]c(-c3ccc(OCC(=O)Nc4ccc(C#N)cc4)cc3)n2)n(CCC)c1=O	6.535	2000.0
CCOC(=O)CCCNc1nc2nn(C)cc2c2nc(-c3ccco3)nn12	6.64	2021.0
CNc1ncc(C(=O)OCc2ccc(OC)cc2)c2nc(-c3ccco3)nn12	6.71	2018.0
COc1cc(-n2c(=O)n(C)c3cnc(NC4CC4)nc32)ccc1	5.58	2009.0
Cc1cn2c(=O)n(-c3ccc(O)cc3)nc2c(N)n1	5.88	2017.0
CCn1c(=O)c2c(cc(-c3ccc(OCC(=O)Nc4ccc(C#N)cc4)cc3)[nH]2)n(CC)c1=O	6.92	2006.0
Nc1nc2c(ncn2CCN2CCN(c3ncc(Cl)cc3)CC2)c2nc(-c3ccco3)nn12	9.05	2007.0
O=C(NC1CC1)C12CC1C(n1cnc3c1nc(Cl)nc3NC1CC3CCC1C3)C(O)C2O	6.28	2019.0
Cc1nc2c(cc(NC(=O)Nc3ccnc4c3nccc4)cc2)o1	6.17	2013.0
CCn1c(=O)c2c([nH]c(-c3ccc(OCC(=O)Nc4ccc(O)cc4)cc3)n2)n(CCCOC)c1=O	6.38	2009.0
CCn1c(=O)c2c([nH]c(-c3ccc(OCC(=O)Nc4ccc(C(C)=O)cc4)cc3)n2)n(CCCOC)c1=O	6.83	2009.0
CCn1c(=O)c2c([nH]c(C3CCCC3)n2)n(CC)c1=O	6.8	2019.0
Cc1c(CNC(=O)c2nc(N)nc(-c3ccco3)c2)nccc1	8.55	2009.0
N#Cc1cccc(-c2c(-n3cncn3)sc(NC(=O)O)n2)c1	5.25	2005.0
Cn1cc2c(n1)nc(NCCCCCCO)n1nc(-c3ccco3)nc21	6.96	2012.0
Nc1nc(-c2cn(Cc3ccccc3)nc2)nc2c1ncn2C1OC(CO)C(O)C1O	8.82	2002.0
OC1COC(n2cnc3c2ncnc3NCc2cc(Br)ccc2)C1O	5.85	2009.0
CC(C)N(C)C(=O)c1cc(Cn2nnc3c2nc(N)nc3-c2ccco2)ccc1	7.66	2009.0
N#Cc1ccc(N2CCN(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1	8.68	2007.0
CCC(C)Oc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1	7.66	2010.0
COCCCn1c(N)nc2c1ccc(C(=O)NCc1cc(OC)ccc1)c2	5.17	2010.0
CCN(C(=O)c1ccc2nc(-c3cnc4ccccn34)oc2c1)C1CCCCC1	6.59	2015.0
CNc1c2ncn(C3SCC(O)C3O)c2nc(Cl)n1	7.89	2007.0
COc1cc(C=NNc2nc(N)c3ncn(C4OC(CO)C(O)C4O)c3n2)cc(OC)c1OC	5.26	2019.0
Cc1c(COC(=O)c2nn(-c3ccccc3)nc2N)cccc1	7.31	2018.0
CNC(=O)C1OC(n2cnc3c2nc(C#Cc2ccc(F)cc2)nc3NC)C(O)C1O	4.9	2009.0
CCc1ccc(-c2nc(N)c3cc(Cc4ccccc4)sc3n2)o1	7.31	2013.0
COc1cccc2c1nc(N)n1nc(CN3CCN(c4cnccc4)CC3C)nc21	7.4	2015.0
CCc1c(-c2nc(N)nc(C(=O)NCc3ncccc3C)c2)cccc1	6.97	2009.0
Nc1nc2nn(Cc3ccc(C4(C(F)(F)F)N=N4)cc3)cc2c2nc(-c3ccco3)nn12	7.4	2017.0
CCOC(=O)c1nc(NC(=O)c2ccc(F)cc2)nc2nn(CC(C)(C)C)cc12	5.24	2015.0
CCOC(=O)c1c(NC(=O)c2c(N(C)C)nc(Nc3ccc(OC)cc3)s2)sc(C(=O)OC)c1C	5.01	2015.0
CCCN1CCC(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)CC1	5.92	2012.0
Nc1c2ncn(C3OC(CO)C(O)C3O)c2nc(NN=Cc2ccc[nH]2)n1	8.08	2019.0
COc1cc(Cn2nnc3c2nc(N)nc3-c2ccco2)ccc1	8.74	2009.0
Cc1ccc(C(=O)Nc2nc(-c3ccccc3)c(-c3nc(N)nc(N(C)C)n3)s2)cc1	6.25	2013.0
CCNC(=O)C1OC(n2cnc3c2nc(NCCCN2CCN(c4ccccc4)CC2)nc3N)C(O)C1O	6.62	2015.0
CCn1cc2c(n1)nc(NC(=O)Nc1ccc(C(F)(F)F)cc1)n1nc(-c3ccco3)nc21	7.28	2002.0
Nc1nc(N2CCC(CNC(=O)c3ccc(S(N)(=O)=O)cc3)CC2)nc2c1nc(-c1ccco1)s2	6.31	2020.0
CCCn1c(=O)c2c(cc(-c3ccc(OCC(=O)c4c(NC(=O)O)n(C)c(=O)n(C)c4=O)cc3)[nH]2)n(CCC)c1=O	7.1	2006.0
Cc1nc(-c2nc(N)c3cc(Cc4ccccc4)sc3n2)cs1	7.24	2013.0
Nc1nc2c(cnn2CCN2CCC(N3CCOCC3)CC2)c2nn(Cc3cc(Cl)ccc3)c(=O)n12	8.17	2011.0
S=c1sc2c(ncn3nc(-c4ccco4)nc23)n1-c1ccccc1I	9.15	2010.0
COc1cc(-n2c(=O)n(Cc3ccccc3OC)c3cnc(NC4CC4)nc32)ccc1	7.62	2009.0
COc1ccccc1Cn1cc2nc(-c3ccco3)nc(N)c2n1	8.27	2016.0
COc1cc(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)ccc1	6.8	2002.0
O=[N+]([O-])c1ccc(Nc2nc(-c3ccccc3)nc3c2ncn3Cc2ccccc2)cc1	5.72	2008.0
COc1ccc(CC(=O)Nc2nc(-c3ccccn3)nc(-n3nc(C)cc3C)c2)cc1	9.0	2008.0
CCn1c(=O)[nH]c2c(nc(-c3ccc(S(=O)(=O)N4CCN(Cc5ccc(F)cc5)CC4)cc3)[nH]2)c1=O	7.04	2009.0
COc1ccc(-c2nc3c(ncnc3NC3CCCC3)n2C)cc1	5.75	2018.0
Nc1nc(-c2ccc(NC(=O)c3ccc(C(=O)NO)cc3)cc2)cn2c(=O)n(-c3ccccc3)nc12	7.44	2020.0
Nc1nc2c(scc2)c(-c2ccco2)n1	7.85	2008.0
CCCn1c(=O)c2c(cc(-c3ccc(OCC(=O)Nc4ccc(CS(=O)(=O)N5CCCC5)cc4)cc3)[nH]2)n(CCC)c1=O	7.28	2006.0
CCCn1c(=O)c2c([nH]c(-c3cn(Cc4ccccc4Cl)nc3)n2)n(CCC)c1=O	7.31	2006.0
CC1CCCC(C)N1Cc1cc2c(nc(-c3ccc(C4CC4)o3)nc2N)s1	6.96	2011.0
Nc1c2ncn(C3C(O)C(O)C4(CO)CC34)c2ncn1	4.65	2000.0
Cc1csc(-c2c(C)oc3c(ccc(O)c3)c2=O)n1	5.1	2014.0
CCCOc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1	7.93	2010.0
Nc1nc(-n2cccn2)nc(-n2cccn2)c1Br	7.842499999999999	2014.0
CCn1c(=O)c2c([nH]c(-c3ccc(OCC(=O)Nc4cnccc4)cc3)n2)n(CCCOC)c1=O	6.12	2009.0
Nc1nc(NCCCN2CCN(c3ccccc3)CC2)nc2nc(-c3ccco3)nn12	7.939999999999999	2016.0
CCCn1c(Br)nc2c1ncnc2N	6.52	2009.0
Cc1ccc(-c2ccc(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)cc2)cn1	9.22	2008.0
COC(=O)C1CCCN1c1nc(-n2nc(C)cc2C)nc(NC(C)=O)c1	6.69	2009.0
COCc1nc(CNC(=O)c2nc(-c3ccco3)nc(N)n2)ccc1	8.06	2009.0
COc1cccc(-c2nc(N)c3nc(-c4ccco4)sc3n2)c1	8.72	2019.0
COc1c2oc(=N)c(C(=O)NCC(O)c3ccccc3)cc2ccc1	6.3	2012.0
Oc1c2ccsc2c(-c2nccs2)nn1	5.47	2018.0
Nc1c2cc(Cc3ccccc3)sc2nc(-c2ccc(C(F)F)o2)n1	7.6	2013.0
Fc1ccc(CNc2nc3nc(-c4ccco4)nn3c(NCc3ccc(F)cc3)n2)cc1	7.36	2016.0
CC1CN2C(=O)N(Cc3ccccc3)c3c(nc(-c4cc(OCc5ccccc5)nn4C)[nH]3)C2=N1	5.7	2011.0
Cn1c(=O)c2c(cc(-c3ccc(OCC(=O)NC4CCc5ccccc54)cc3)[nH]2)n(C)c1=O	6.67	2006.0
COc1c(N2CCN(Cc3nn4c(N)nc5c(cccc5OC)c4n3)C(C)C2)cccc1	8.05	2015.0
CNC(=O)C1OC(n2cnc3c2nc(C#Cc2ccccc2)nc3NOC)C(O)C1O	4.79	2007.0
CCCCC(=O)N1CCN(c2nc3nc(-c4ccco4)nn3c(N)n2)CC1	6.91	2011.0
Nc1c2C(=O)c3c(cccc3)C(=O)c2c(Cl)cc1	6.6	2010.0
COc1nc2c(scc2)c(-c2cccs2)n1	6.35	2008.0
CC(=O)Nc1nc(-n2nc(C)cc2C)nc(-c2cc(CC#N)ccc2)c1	8.7	2008.0
N#Cc1c(N)nc(SCc2cc(CO)ccc2)c(C#N)c1-c1ccco1	7.51	2019.0
COc1cccc(-c2nc(N)nc(C(=O)NCc3ncccc3)c2)c1	7.55	2009.0
Nc1nc(-c2ccc(OCC(O)CN3CCCCC3)cc2)cn2c(=O)n(-c3ccccc3)nc12	7.04	2020.0
O=c1c(-c2ccco2)nnc2n(-c3ccccc3)c3c(cccc3)n12	5.49	2012.0
Cc1c(C)c2c(nc(-c3ccccc3)nc2NC2CCCCNC2=O)[nH]1	5.796666666666667	1999.0
Cn1c(-c2ccccc2)nc2c1ncnc2N	6.42	2018.0
CCc1cn(C2CC(n3cnc4c3nc(NC(CO)Cc3ccccc3)nc4N)C(O)C2O)nc1	6.74	2010.0
Cc1ccc(C(=O)Nc2nc3nn(CC(C)(C)C)cc3c(Cl)n2)cc1	5.68	2014.0
Nc1nc2c(cccc2)n2c(=O)c(-c3ccc(F)cc3)nn12	7.7	2007.0
O=C(NCCO)C12CC1C(n1cnc3c1nc(Cl)nc3NC1CC3CCC1C3)C(O)C2O	5.27	2019.0
CCCCN(C)c1nc2nn(C)cc2c2nc(-c3ccco3)nn12	5.86	2012.0
Nc1nc2c(cnn2CCCc2ccc(O)cc2)c2nc(-c3ccco3)nn12	7.82	1998.0
CCn1c(C#Cc2ccccc2)nc2c1ncnc2N	6.22	2001.0
C#CCn1c(=O)c2c(nc3N(Cc4ccccc4)CCCn32)n(C)c1=O	6.6	2013.0
Nc1nc2c(cnn2CCN2CCc3c(cccc3)CC2)c2nc(-c3ccco3)nn12	8.7	2008.0
CCOC(=O)c1nc(NC(=O)Cc2ccccc2)nc2nn(CC(C)(C)C)cc12	5.24	2015.0
CCCn1c(=O)n(C)c(=O)c2c1cc(-c1ccc(OCC(=O)N3CCN(c4nc5c(cc(Cl)cc5)s4)CC3)cc1)[nH]2	6.2	2008.0
Cc1nn(CC2OC(n3cnc4c3ncnc4NC3CC4CCC3C4)C(O)C2O)c(C)c1	4.71	2018.0
CCc1cn(C2CC(n3cnc4c3nc(NCCc3cn(CC)cn3)nc4NCC(CC)CC)C(O)C2O)nc1	7.47	2010.0
CN(CCN1CCN(c2c(F)cc(F)cc2)CC1)c1cc2nc(-c3ccco3)nn2c(N)n1	9.0	2009.0
c1ccc2nc(-c3nc4c(cccc4)[nH]3)cnc2c1	6.25	2005.0
CCCC(=O)Nc1cc(-c2cccs2)nc(-c2cccs2)n1	6.82	2011.0
O=C(COc1ccc(Nc2nc(OCCc3c[nH]c4c3ccc(Br)c4)nc3c2ncn3C2OC(CO)C(O)C2O)cc1)Nc1ccccc1	5.94	2008.0
COc1ccc(-n2c(C(=O)c3c(-c4ccccc4)nc(Nc4ccccc4)s3)cnc2N)cc1	5.05	2018.0
CC(=O)NCCn1c(NC(=O)c2cccc(C#N)c2)nc2c1ncc(C(=O)N1CCCCC1)c2	7.43	2010.0
Nc1c2cc(Cc3ccccc3)sc2nc(-c2cccc(Cl)n2)n1	6.76	2013.0
Cn1c(=O)c2c(cc(-c3ccc(OCC(=O)Nc4ccc(Br)cc4)cc3)[nH]2)n(C)c1=O	5.95	2006.0
O=C(Cc1cccs1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12	8.06	2009.0
Cc1ccccc1CNc1nc(Cl)nc2c1ncn2C1SC(C(=O)NC2CC2)C(O)C1O	6.7	2006.0
Cn1cc2c(n1)nc(NCCCO)n1nc(-c3ccco3)nc21	6.81	2012.0
Cc1cccnc1CNC(=O)c1cc(-c2c(Cl)cccc2)nc(N)n1	7.62	2009.0
CCC(=O)Nc1nc(-c2ccccc2)cc(-c2ccccc2)n1	6.154999999999999	2004.0
Cn1c(=O)c2c(c(O)c(-c3ccc(S(C)(=O)=O)cc3)[nH]2)n(C)c1=O	6.16	2008.0
Cc1nc2c(c(-c3cnccc3)nn(Cc3ccccc3)c2=O)c2cc(-c3ccccc3)nn12	5.67	2010.0
COc1c2nc(NC(=O)c3ccc(F)cc3)sc2c(NC(C)=O)cc1	6.6	2010.0
Nc1nc(-c2ccco2)cc(C(=O)NCc2ccc(Cl)cc2)n1	7.76	2009.0
Nc1ccc2oc(-c3ccco3)nc2c1	5.0	2018.0
Nc1nc(C#Cc2ccccc2)nc2c1ncn2C1OC(CO)C(O)C1O	6.210000000000001	2002.0
Nc1nc(-n2cccn2)nc(N2CCC2)c1Br	7.48	2014.0
COCCCn1c(NC(=O)c2cc(F)ccc2)nc2c1ccc(C(=O)NCc1cccc(OC)c1)c2	6.68	2010.0
Cc1ccc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1	6.9	2008.0
Cc1csc(-c2coc3c(c(C)cc(OCC4CC4)c3)c2=O)n1	7.1	2014.0
COc1ccccc1Cn1nnc2c1nc(N)nc2-c1ccco1	8.27	2009.0
COc1ccccc1C(=O)Nc1n[nH]c(-c2ccccc2)n1	6.7	2012.0
Nc1nc2c(C(=O)c3c-2cc(OCCN2CCOCC2)cc3)c(-c2ccccc2)n1	8.19	2010.0
CCOC(=O)c1nc(N)nc2nn(C(C)C)cc12	5.58	2015.0
CC(C)c1nc2c(scc2)c(-c2nccs2)n1	8.85	2008.0
N#Cc1nc(-c2nc(N)c3cc(Cc4ccccc4)sc3n2)ccc1	7.58	2013.0
Nc1nc(NCc2ccccc2)nc2nc(-c3ccco3)nn12	8.96	2016.0
Nc1c2cc(Cc3ccccc3)sc2nc(-c2ccccn2)n1	6.23	2013.0
Cc1ccc2c(O)c(C(=O)NCc3ccc(Cl)cc3)cnc2n1	6.82	2005.0
COc1ccc(CNC(=O)c2c(O)c3c(nc2)nc(C)cc3)cc1	5.62	2005.0
COc1ccc(-c2c(C#N)c(N)nc(SCc3ncc[nH]3)c2C#N)cc1	6.67	2004.0
COc1cccc(CNc2nc3c(nc(-c4ccccc4)s3)c(N)n2)c1	7.293333333333333	2018.0
CCCn1c(=O)[nH]c2c(nc(-c3ccc(S(=O)(=O)N(C)CCc4ccccc4)cc3)[nH]2)c1=O	6.45	2019.0
Cc1c(C)c2c(nc(-c3c(-c4ccccc4)nc(NC(=O)c4ccco4)s3)nc2N)s1	5.22	2013.0
O=C(Nc1ccccc1)Nc1nc(-c2ccccc2)nc2nn(CCc3ccccc3)cc12	7.02	2010.0
CCn1c(=O)c2c(cc(-c3ccc(OCC(=O)Nc4ccccc4)cc3)[nH]2)n(CC)c1=O	6.73	2006.0
COc1c2nc(NC(=O)N3CCC(F)CC3)sc2c(N2CCOCC2)cc1	8.31	2021.0
N#Cc1c(N)nc(-c2ccco2)cc1-c1ccco1	9.435	2008.0
CCCn1c(=O)c2c(cc(-c3ccc(OCC(=O)Nc4ccc(OCc5ccccc5)cc4)cc3)[nH]2)n(CCC)c1=O	7.73	2006.0
N#Cc1c(N)nc(-c2ccccc2)cc1-c1ccc(F)cc1	7.06	2006.0
CCCn1c(=O)c2c(c(Br)c(-c3ccc(OCC(=O)O)cc3)[nH]2)n(CCC)c1=O	6.31	2006.0
O=C(c1cccs1)c1nc(NCCCO)nc2c1scc2	8.09	2008.0
CCCCn1cc2c(n1)nc(NC(=O)Nc1c(OC)cccc1)n1nc(-c3ccco3)nc21	7.04	2002.0
CCCn1cc2c(n1)nc(NC(=O)Nc1ccc(C(F)(F)F)cc1)n1nc(-c3ccco3)nc21	7.47	2002.0
Nc1nc(-c2ccco2)cc(C(=O)NCc2ncccc2)n1	8.37	2009.0
COc1c2nc(NC(=O)c3ccccc3)[nH]c2ccc1	6.28	2018.0
O=[N+]([O-])c1ccc(Nc2nc3c(ncnc3N3CCCC3)s2)cc1	5.5	2016.0
CC(C)(C)OC(=O)NCCNc1ncc(C(=O)O)c2nc(-c3ccco3)nn12	4.65	2018.0
CCCn1cnc2c1nc(NCCCc1ccccc1)nc2N	5.04	2015.0
O=C(Nc1nc2nn(CCc3ccccc3)cc2c(Cl)n1)c1ccc(F)cc1	5.69	2014.0
CCC(=O)NC1CC(n2cnc3c2nc(NCCc2cn(CC)cn2)nc3NC(CC)CC)C(O)C1O	8.27	2010.0
CCCn1c(=O)c2c([nH]c(-c3cn(Cc4cc(Cl)ccc4)nc3)n2)n(CCC)c1=O	7.1	2006.0
C=C(c1ccccc1)c1cc2c(nc(-c3cccc(C#N)c3)nc2N)s1	7.2	2013.0
COCC1CCCN1c1cc(NC(C)=O)nc(-c2ncccc2)n1	7.32	2009.0
CCn1c(=O)c2c(nc(Cc3cccs3)n2C)n(Cc2cccs2)c1=O	6.91	2010.0
Cc1nn(-c2cc(NC(=O)COc3cc(CCN(C)C)ccc3)nc(-c3ccc(C)o3)n2)c(C)c1	9.3	2008.0
CCCN(CCCCCCNc1nc2nc(-c3ccco3)nn2c(N)n1)CCc1cccc2c1CC(=O)N2	5.75	2015.0
CC1=Nc2nc3c(cccc3)n2C(c2ccco2)C1=C(O)OC(C)C	7.55	2019.0
CCCn1c(=O)c2c([nH]c(-c3cc(OCC(=O)c4ccc(F)cc4)nn3C)n2)n(CCC)c1=O	7.9	2006.0
N#Cc1cc(-c2nc(N)c3nc(-c4ccccc4)sc3n2)ccc1	7.47	2019.0
N#Cc1cc(-c2nc3c(cc(CN4CC=CCC4)s3)c(N)n2)ccc1	7.88	2011.0
Nc1c2ncn(C3OC(CO)C(O)C3O)c2nc(Cl)n1	6.75	1991.0
C=Cn1ncc2c1nc(N)n1c(=O)n(Cc3ccccc3)nc21	9.52	2011.0
Cn1cc2c(n1)nc(NCCO)n1nc(-c3ccco3)nc21	6.8	2012.0
COc1ccc(N2CCN(C(=O)COc3ccc(-c4cc5c([nH]4)c(=O)n(C)c(=O)n5C)cc3)CC2)cc1	6.77	2008.0
CC(=O)Nc1nc(-n2nc(C)cc2C)nc(N2CCc3c(cccc3)C2)c1	8.38	2009.0
COc1ccc(-c2cn(-c3nc(N)c4ncn(C5OC(CO)C(O)C5O)c4n3)nc2)cc1	6.72	2002.0
O=C(c1ccc2c(-c3cnc4ccc(F)cn34)noc2c1)N1CCCCCC1	8.4	2014.0
CCCCC(CC)CNc1nc2nn(C)cc2c2nc(-c3ccco3)nn12	6.29	2012.0
N#CC(=NNc1ccc(S(N)(=O)=O)cc1)c1nc2c(cccc2)[nH]1	5.3	2012.0
Cn1c(=O)c2c(cc(-c3ccc(OCC(=O)NC4CCCC4)cc3)[nH]2)n(C)c1=O	6.16	2006.0
